date,1억투자
2020-03-20,46.52014
2020-03-21,34.43223
2020-03-22,31.50183
2020-03-23,41.02564
2020-03-24,39.56043
2020-03-25,43.58974
2020-03-26,46.52014
2020-03-27,40.29304
2020-03-28,39.56043
2020-03-29,36.99633
2020-03-30,50.91575
2020-03-31,28.57142
2020-04-01,39.92673
2020-04-02,53.47985
2020-04-03,57.87545
2020-04-04,67.76556
2020-04-05,62.27106
2020-04-06,50.91575
2020-04-07,64.83516
2020-04-08,37.72893
2020-04-09,53.11355
2020-04-10,37.36263
2020-04-11,34.06593
2020-04-12,35.53113
2020-04-13,48.71794
2020-04-14,49.08424
2020-04-15,42.12454
2020-04-16,39.19413
2020-04-17,36.26373
2020-04-18,35.89743
2020-04-19,45.78754
2020-04-20,46.52014
2020-04-21,34.43223
2020-04-22,51.64835
2020-04-23,37.36263
2020-04-24,44.32234
2020-04-25,28.57142
2020-04-26,37.36263
2020-04-27,52.01465
2020-04-28,47.61904
2020-04-29,35.16483
2020-04-30,47.25274
2020-05-01,35.89743
2020-05-02,45.05494
2020-05-03,37.72893
2020-05-04,53.84615
2020-05-05,47.25274
2020-05-06,52.74725
2020-05-07,52.38095
2020-05-08,33.69963
2020-05-09,36.99633
2020-05-10,40.29304
2020-05-11,42.85714
2020-05-12,37.72893
2020-05-13,47.25274
2020-05-14,41.39194
2020-05-15,36.63003
2020-05-16,32.96703
2020-05-17,40.65934
2020-05-18,50.18315
2020-05-19,44.32234
2020-05-20,45.42124
2020-05-21,35.16483
2020-05-22,43.58974
2020-05-23,31.86813
2020-05-24,38.09523
2020-05-25,40.65934
2020-05-26,46.15384
2020-05-27,45.78754
2020-05-28,47.98534
2020-05-29,37.72893
2020-05-30,33.33333
2020-05-31,33.69963
2020-06-01,47.98534
2020-06-02,55.67765
2020-06-03,43.95604
2020-06-04,46.15384
2020-06-05,41.39194
2020-06-06,43.95604
2020-06-07,47.98534
2020-06-08,56.77655
2020-06-09,48.35164
2020-06-10,51.64835
2020-06-11,51.28205
2020-06-12,39.56043
2020-06-13,32.60073
2020-06-14,37.72893
2020-06-15,47.61904
2020-06-16,52.01465
2020-06-17,41.02564
2020-06-18,34.43223
2020-06-19,38.09523
2020-06-20,37.36263
2020-06-21,38.46153
2020-06-22,50.54945
2020-06-23,35.53113
2020-06-24,48.71794
2020-06-25,41.75824
2020-06-26,40.29304
2020-06-27,39.19413
2020-06-28,39.19413
2020-06-29,53.47985
2020-06-30,42.12454
2020-07-01,42.49084
2020-07-02,32.23443
2020-07-03,34.79853
2020-07-04,36.26373
2020-07-05,38.09523
2020-07-06,45.78754
2020-07-07,49.08424
2020-07-08,52.74725
2020-07-09,42.85714
2020-07-10,41.75824
2020-07-11,27.10622
2020-07-12,35.16483
2020-07-13,41.75824
2020-07-14,40.65934
2020-07-15,41.39194
2020-07-16,38.46153
2020-07-17,33.33333
2020-07-18,39.19413
2020-07-19,37.72893
2020-07-20,48.35164
2020-07-21,44.68864
2020-07-22,56.04395
2020-07-23,46.52014
2020-07-24,44.32234
2020-07-25,32.60073
2020-07-26,51.64835
2020-07-27,59.70695
2020-07-28,63.73626
2020-07-29,63.36996
2020-07-30,49.45054
2020-07-31,56.41025
2020-08-01,39.92673
2020-08-02,52.74725
2020-08-03,75.45787
2020-08-04,56.41025
2020-08-05,54.21245
2020-08-06,56.41025
2020-08-07,52.01465
2020-08-08,37.72893
2020-08-09,58.24175
2020-08-10,62.63736
2020-08-11,66.66666
2020-08-12,60.07326
2020-08-13,56.04395
2020-08-14,52.38095
2020-08-15,44.32234
2020-08-16,34.06593
2020-08-17,43.58974
2020-08-18,44.68864
2020-08-19,47.25274
2020-08-20,36.63003
2020-08-21,38.46153
2020-08-22,40.29304
2020-08-23,29.67032
2020-08-24,46.15384
2020-08-25,87.91208
2020-08-26,50.54945
2020-08-27,53.11355
2020-08-28,60.80586
2020-08-29,59.70695
2020-08-30,54.57875
2020-08-31,68.49816
2020-09-01,83.88278
2020-09-02,67.76556
2020-09-03,55.67765
2020-09-04,32.96703
2020-09-05,53.84615
2020-09-06,71.42857
2020-09-07,88.27838
2020-09-08,100.0
2020-09-09,79.85347
2020-09-10,71.79487
2020-09-11,54.57875
2020-09-12,35.16483
2020-09-13,36.99633
2020-09-14,78.75457
2020-09-15,73.62637
2020-09-16,67.76556
2020-09-17,61.90476
2020-09-18,27.83882
2020-09-19,50.18315
2020-09-20,54.21245
2020-09-21,57.50915
2020-09-22,44.32234
2020-09-23,31.50183
2020-09-24,31.50183
2020-09-25,19.78021
2020-09-26,24.90842
2020-09-27,29.30402
2020-09-28,33.33333
2020-09-29,31.86813
2020-09-30,28.20512
2020-10-01,27.47252
2020-10-02,38.82783
2020-10-03,46.52014
2020-10-04,58.97435
2020-10-05,49.45054
2020-10-06,46.15384
2020-10-07,39.19413
2020-10-08,45.42124
2020-10-09,30.76923
2020-10-10,26.37362
2020-10-11,27.10622
2020-10-12,50.54945
2020-10-13,46.15384
2020-10-14,46.88644
2020-10-15,53.84615
2020-10-16,58.24175
2020-10-17,39.92673
2020-10-18,41.02564
2020-10-19,46.15384
2020-10-20,41.75824
2020-10-21,41.02564
2020-10-22,49.45054
2020-10-23,34.06593
2020-10-24,20.87912
2020-10-25,32.60073
2020-10-26,34.79853
2020-10-27,42.85714
2020-10-28,42.85714
2020-10-29,42.85714
2020-10-30,33.33333
2020-10-31,28.20512
2020-11-01,29.67032
2020-11-02,35.89743
2020-11-03,32.96703
2020-11-04,28.93772
2020-11-05,33.69963
2020-11-06,44.32234
