date,라울뒤피
2020-11-07,0.81986
2020-11-08,1.05411
2020-11-09,0.89013
2020-11-10,0.96041
2020-11-11,0.93698
2020-11-12,0.98383
2020-11-13,0.84328
2020-11-14,0.81986
2020-11-15,1.40548
2020-11-16,0.72616
2020-11-17,0.96041
2020-11-18,0.74959
2020-11-19,0.23424
2020-11-20,0.49191
2020-11-21,1.12438
2020-11-22,1.21808
2020-11-23,0.96041
2020-11-24,1.00726
2020-11-25,0.67931
2020-11-26,0.70274
2020-11-27,0.58561
2020-11-28,0.84328
2020-11-29,0.81986
2020-11-30,0.44506
2020-12-01,1.17123
2020-12-02,0.98383
2020-12-03,1.05411
2020-12-04,0.58561
2020-12-05,1.2415
2020-12-06,0.93698
2020-12-07,1.10096
2020-12-08,0.98383
2020-12-09,0.98383
2020-12-10,0.93698
2020-12-11,0.86671
2020-12-12,1.92082
2020-12-13,0.84328
2020-12-14,0.79643
2020-12-15,0.93698
2020-12-16,0.49191
2020-12-17,0.74959
2020-12-18,0.79643
2020-12-19,0.60904
2020-12-20,0.44506
2020-12-21,0.65589
2020-12-22,0.58561
2020-12-23,0.65589
2020-12-24,0.67931
2020-12-25,0.49191
2020-12-26,0.63246
2020-12-27,0.84328
2020-12-28,0.77301
2020-12-29,1.1478
2020-12-30,0.67931
2020-12-31,0.74959
2021-01-01,0.56219
2021-01-02,1.00726
2021-01-03,0.72616
2021-01-04,0.86671
2021-01-05,0.89013
2021-01-06,1.47575
2021-01-07,0.96041
2021-01-08,0.70274
2021-01-09,0.70274
2021-01-10,0.79643
2021-01-11,0.63246
2021-01-12,0.89013
2021-01-13,1.00726
2021-01-14,0.70274
2021-01-15,1.3352
2021-01-16,0.84328
2021-01-17,0.37479
2021-01-18,0.63246
2021-01-19,0.89013
2021-01-20,0.84328
2021-01-21,1.05411
2021-01-22,1.17123
2021-01-23,1.47575
2021-01-24,0.86671
2021-01-25,0.74959
2021-01-26,1.3352
2021-01-27,0.79643
2021-01-28,0.89013
2021-01-29,1.19465
2021-01-30,1.03068
2021-01-31,0.74959
