date,회계사
2020-03-20,12.582
2020-03-21,10.61392
2020-03-22,11.78889
2020-03-23,13.17928
2020-03-24,13.94301
2020-03-25,12.99324
2020-03-26,13.21844
2020-03-27,21.43346
2020-03-28,11.51473
2020-03-29,11.59306
2020-03-30,13.06178
2020-03-31,13.14011
2020-04-01,12.04347
2020-04-02,11.96514
2020-04-03,12.26867
2020-04-04,11.26015
2020-04-05,12.57221
2020-04-06,13.48281
2020-04-07,14.7557
2020-04-08,13.28698
2020-04-09,13.21844
2020-04-10,14.37383
2020-04-11,13.28698
2020-04-12,14.14863
2020-04-13,17.19377
2020-04-14,16.15587
2020-04-15,12.3568
2020-04-16,15.80338
2020-04-17,15.71526
2020-04-18,13.06178
2020-04-19,16.95877
2020-04-20,17.46793
2020-04-21,16.43004
2020-04-22,16.97836
2020-04-23,16.88044
2020-04-24,16.009
2020-04-25,12.67012
2020-04-26,14.70674
2020-04-27,16.42024
2020-04-28,16.65524
2020-04-29,14.66758
2020-04-30,11.28953
2020-05-01,12.77783
2020-05-02,11.90639
2020-05-03,11.6616
2020-05-04,13.79614
2020-05-05,12.03368
2020-05-06,15.60755
2020-05-07,14.83403
2020-05-08,14.14863
2020-05-09,10.76079
2020-05-10,12.14138
2020-05-11,16.06775
2020-05-12,15.35298
2020-05-13,15.92088
2020-05-14,15.42152
2020-05-15,14.55987
2020-05-16,11.97493
2020-05-17,12.06305
2020-05-18,14.67737
2020-05-19,15.04944
2020-05-20,15.03965
2020-05-21,14.32488
2020-05-22,14.24654
2020-05-23,11.14266
2020-05-24,13.36531
2020-05-25,16.85107
2020-05-26,15.97963
2020-05-27,15.04944
2020-05-28,14.82424
2020-05-29,14.11925
2020-05-30,11.24057
2020-05-31,12.41554
2020-06-01,14.24654
2020-06-02,15.30402
2020-06-03,14.08009
2020-06-04,15.08861
2020-06-05,12.78762
2020-06-06,11.00558
2020-06-07,12.44492
2020-06-08,15.39214
2020-06-09,14.09967
2020-06-10,14.97111
2020-06-11,13.25761
2020-06-12,11.90639
2020-06-13,13.39469
2020-06-14,12.3568
2020-06-15,14.8634
2020-06-16,14.67737
2020-06-17,15.36277
2020-06-18,15.02007
2020-06-19,15.14736
2020-06-20,11.41682
2020-06-21,13.94301
2020-06-22,14.93194
2020-06-23,15.49985
2020-06-24,16.42024
2020-06-25,16.41045
2020-06-26,14.97111
2020-06-27,16.76294
2020-06-28,18.09458
2020-06-29,17.66376
2020-06-30,16.66503
2020-07-01,15.68589
2020-07-02,15.00048
2020-07-03,13.55135
2020-07-04,11.04474
2020-07-05,13.86468
2020-07-06,15.70547
2020-07-07,15.64672
2020-07-08,15.67609
2020-07-09,16.34191
2020-07-10,12.66033
2020-07-11,11.52452
2020-07-12,12.61137
2020-07-13,14.8634
2020-07-14,15.95025
2020-07-15,16.68461
