date,부부간증여
2020-03-20,16.90283
2020-03-21,11.33603
2020-03-22,15.2834
2020-03-23,22.57085
2020-03-24,16.39676
2020-03-25,17.71255
2020-03-26,20.64777
2020-03-27,18.1174
2020-03-28,11.53846
2020-03-29,14.17004
2020-03-30,22.2672
2020-03-31,18.21862
2020-04-01,17.30769
2020-04-02,19.53441
2020-04-03,18.52226
2020-04-04,12.95546
2020-04-05,14.87854
2020-04-06,16.49797
2020-04-07,20.64777
2020-04-08,17.81376
2020-04-09,14.97975
2020-04-10,14.97975
2020-04-11,11.03238
2020-04-12,14.77732
2020-04-13,22.87449
2020-04-14,19.33198
2020-04-15,12.34817
2020-04-16,17.10526
2020-04-17,16.49797
2020-04-18,25.60728
2020-04-19,21.65991
2020-04-20,26.51821
2020-04-21,28.84615
2020-04-22,28.34008
2020-04-23,22.77327
2020-04-24,19.73684
2020-04-25,15.48582
2020-04-26,13.2591
2020-04-27,23.68421
2020-04-28,24.79757
2020-04-29,17.51012
2020-04-30,16.49797
2020-05-01,16.80161
2020-05-02,11.23481
2020-05-03,13.56275
2020-05-04,18.31983
2020-05-05,12.95546
2020-05-06,19.83805
2020-05-07,26.72064
2020-05-08,19.83805
2020-05-09,17.00404
2020-05-10,17.91497
2020-05-11,26.31578
2020-05-12,24.39271
2020-05-13,22.57085
2020-05-14,20.44534
2020-05-15,22.06477
2020-05-16,14.27125
2020-05-17,20.54655
2020-05-18,31.37651
2020-05-19,26.92307
2020-05-20,27.32793
2020-05-21,28.03643
2020-05-22,25.80971
2020-05-23,19.12955
2020-05-24,19.23076
2020-05-25,30.26315
2020-05-26,26.31578
2020-05-27,22.67206
2020-05-28,23.98785
2020-05-29,23.48178
2020-05-30,15.2834
2020-05-31,18.82591
2020-06-01,27.32793
2020-06-02,25.10121
2020-06-03,23.78542
2020-06-04,25.30364
2020-06-05,23.68421
2020-06-06,20.34412
2020-06-07,20.74898
2020-06-08,29.85829
2020-06-09,31.17408
2020-06-10,29.25101
2020-06-11,26.92307
2020-06-12,24.79757
2020-06-13,28.13765
2020-06-14,25.80971
2020-06-15,35.02024
2020-06-16,37.04453
2020-06-17,45.34412
2020-06-18,42.51012
2020-06-19,37.44939
2020-06-20,27.53036
2020-06-21,23.88663
2020-06-22,37.34817
2020-06-23,39.87854
2020-06-24,29.45344
2020-06-25,30.87044
2020-06-26,30.36437
2020-06-27,20.95141
2020-06-28,21.5587
2020-06-29,34.31174
2020-06-30,37.24696
2020-07-01,30.26315
2020-07-02,32.18623
2020-07-03,26.92307
2020-07-04,18.21862
2020-07-05,26.01214
2020-07-06,37.24696
2020-07-07,38.96761
2020-07-08,46.25506
2020-07-09,39.77732
2020-07-10,59.71659
2020-07-11,60.82995
2020-07-12,52.42914
2020-07-13,88.46153
2020-07-14,82.28744
2020-07-15,57.89473
2020-07-16,47.2672
2020-07-17,39.27125
2020-07-18,27.22672
2020-07-19,32.38866
2020-07-20,42.00404
2020-07-21,39.67611
2020-07-22,37.65182
2020-07-23,28.64372
2020-07-24,36.03238
2020-07-25,20.34412
2020-07-26,23.38056
2020-07-27,33.80566
2020-07-28,36.63967
