date,노터스주가
2020-03-20,0.66317
2020-03-21,0.04521
2020-03-22,0.06244
2020-03-23,0.58135
2020-03-24,0.51891
2020-03-25,0.60073
2020-03-26,0.79236
2020-03-27,0.63088
2020-03-28,0.09043
2020-03-29,0.06459
2020-03-30,0.77514
2020-03-31,1.98738
2020-04-01,1.35865
2020-04-02,0.75576
2020-04-03,0.7493
2020-04-04,0.06674
2020-04-05,0.0732
2020-04-06,0.74499
2020-04-07,0.5792
2020-04-08,0.82681
2020-04-09,0.73423
2020-04-10,0.88495
2020-04-11,0.11196
2020-04-12,0.07751
2020-04-13,0.77945
2020-04-14,1.08304
2020-04-15,0.34881
2020-04-16,1.46631
2020-04-17,0.96247
2020-04-18,0.12703
2020-04-19,0.10335
2020-04-20,1.2553
2020-04-21,1.33712
2020-04-22,4.14271
2020-04-23,2.55797
2020-04-24,2.18547
2020-04-25,0.23038
2020-04-26,0.16364
2020-04-27,1.70316
2020-04-28,2.1381
2020-04-29,1.54167
2020-04-30,0.15287
2020-05-01,0.1378
2020-05-02,0.08397
2020-05-03,0.10335
2020-05-04,1.11965
2020-05-05,0.12273
2020-05-06,1.05075
2020-05-07,1.27252
2020-05-08,1.37157
2020-05-09,0.15718
2020-05-10,0.09904
2020-05-11,1.71608
2020-05-12,3.11564
2020-05-13,2.14025
2020-05-14,1.61272
2020-05-15,1.55244
2020-05-16,0.40479
2020-05-17,0.20455
2020-05-18,1.87972
2020-05-19,1.33496
2020-05-20,0.94955
2020-05-21,0.984
2020-05-22,0.90648
2020-05-23,0.10981
2020-05-24,0.09689
2020-05-25,1.07228
2020-05-26,0.92801
2020-05-27,0.63518
2020-05-28,0.68686
2020-05-29,0.76222
2020-05-30,0.1055
2020-05-31,0.10765
2020-06-01,0.77945
2020-06-02,0.88064
2020-06-03,0.93447
2020-06-04,1.03137
2020-06-05,1.64287
2020-06-06,0.43278
2020-06-07,0.32943
2020-06-08,1.4254
2020-06-09,1.47707
2020-06-10,1.701
2020-06-11,3.41278
2020-06-12,2.38787
2020-06-13,0.32512
2020-06-14,0.25622
2020-06-15,2.18332
2020-06-16,2.12518
2020-06-17,1.71177
2020-06-18,4.4743
2020-06-19,3.29005
2020-06-20,0.41556
2020-06-21,0.2756
2020-06-22,2.19839
2020-06-23,1.81943
