date,전환사채
2020-11-07,14.19913
2020-11-08,11.60173
2020-11-09,25.42568
2020-11-10,25.3391
2020-11-11,28.97546
2020-11-12,26.7821
2020-11-13,36.45021
2020-11-14,17.17171
2020-11-15,14.31457
2020-11-16,40.34632
2020-11-17,39.16305
2020-11-18,67.99422
2020-11-19,50.15873
2020-11-20,39.16305
2020-11-21,20.25974
2020-11-22,17.66233
2020-11-23,50.90909
2020-11-24,43.72294
2020-11-25,43.69408
2020-11-26,48.9466
2020-11-27,37.37373
2020-11-28,16.96969
2020-11-29,17.60461
2020-11-30,26.08946
2020-12-01,35.75757
2020-12-02,30.88023
2020-12-03,45.22366
2020-12-04,43.95382
2020-12-05,20.1443
2020-12-06,18.12409
2020-12-07,57.20057
2020-12-08,45.42568
2020-12-09,50.36075
2020-12-10,37.37373
2020-12-11,30.62049
2020-12-12,16.27705
2020-12-13,15.95959
2020-12-14,24.64646
2020-12-15,35.03607
2020-12-16,34.48773
2020-12-17,30.12987
2020-12-18,33.16017
2020-12-19,15.69985
2020-12-20,15.03607
2020-12-21,32.03463
2020-12-22,29.00432
2020-12-23,32.09235
2020-12-24,26.66666
2020-12-25,10.36075
2020-12-26,12.35209
2020-12-27,12.64069
2020-12-28,31.42857
2020-12-29,35.18037
2020-12-30,27.61904
2020-12-31,18.12409
2021-01-01,10.18759
2021-01-02,16.73881
2021-01-03,15.84415
2021-01-04,24.73304
2021-01-05,34.66089
2021-01-06,34.63203
2021-01-07,32.46753
2021-01-08,33.13131
2021-01-09,23.05916
2021-01-10,21.96248
2021-01-11,36.59451
2021-01-12,52.03463
2021-01-13,43.8961
2021-01-14,33.10245
2021-01-15,31.11111
2021-01-16,17.80663
2021-01-17,21.90476
2021-01-18,55.12265
2021-01-19,62.56854
2021-01-20,43.23232
2021-01-21,34.34343
2021-01-22,36.42135
2021-01-23,20.8658
2021-01-24,18.70129
2021-01-25,33.93939
2021-01-26,36.62337
2021-01-27,34.40115
2021-01-28,33.67965
2021-01-29,26.86868
2021-01-30,11.77489
2021-01-31,11.19769
2021-02-01,22.62626
2021-02-02,32.12121
2021-02-03,27.24386
