date,자동차보험비교견적
2020-11-07,8.62533
2020-11-08,8.22102
2020-11-09,21.2938
2020-11-10,16.98113
2020-11-11,20.21563
2020-11-12,21.2938
2020-11-13,16.57681
2020-11-14,6.19946
2020-11-15,5.66037
2020-11-16,22.6415
2020-11-17,22.37196
2020-11-18,18.59838
2020-11-19,17.78975
2020-11-20,20.61994
2020-11-21,8.08625
2020-11-22,10.24258
2020-11-23,21.96765
2020-11-24,21.56334
2020-11-25,18.32884
2020-11-26,17.65498
2020-11-27,18.32884
2020-11-28,10.24258
2020-11-29,7.68194
2020-11-30,22.6415
2020-12-01,26.41509
2020-12-02,20.75471
2020-12-03,20.21563
2020-12-04,17.52021
2020-12-05,7.27762
2020-12-06,9.56873
2020-12-07,24.25876
2020-12-08,24.25876
2020-12-09,21.83288
2020-12-10,22.10242
2020-12-11,18.59838
2020-12-12,9.16442
2020-12-13,8.22102
2020-12-14,25.87601
2020-12-15,21.15902
2020-12-16,20.08086
2020-12-17,22.6415
2020-12-18,16.1725
2020-12-19,9.16442
2020-12-20,7.68194
2020-12-21,24.25876
2020-12-22,16.71159
2020-12-23,17.65498
2020-12-24,12.80323
2020-12-25,6.87331
2020-12-26,7.00808
2020-12-27,9.02964
2020-12-28,23.45013
2020-12-29,20.08086
2020-12-30,23.04582
2020-12-31,17.65498
2021-01-01,11.59029
2021-01-02,9.16442
2021-01-03,10.10781
2021-01-04,24.66307
2021-01-05,21.83288
2021-01-06,19.81132
2021-01-07,21.42857
2021-01-08,12.938
2021-01-09,7.54716
2021-01-10,9.43396
2021-01-11,19.94609
2021-01-12,19.81132
2021-01-13,17.65498
2021-01-14,22.50673
2021-01-15,16.71159
2021-01-16,10.6469
2021-01-17,6.87331
2021-01-18,19.54177
2021-01-19,19.94609
2021-01-20,13.74663
2021-01-21,17.92452
2021-01-22,15.36388
2021-01-23,8.08625
2021-01-24,9.02964
2021-01-25,18.19407
2021-01-26,17.65498
2021-01-27,19.27223
2021-01-28,18.19407
2021-01-29,14.42048
2021-01-30,6.19946
2021-01-31,7.41239
2021-02-01,18.86792
2021-02-02,17.38544
2021-02-03,17.65498
2021-02-04,18.19407
2021-02-05,12.938
2021-02-06,11.45552
2021-02-07,10.37735
2021-02-08,23.71967
2021-02-09,18.05929
2021-02-10,15.49865
2021-02-11,6.73854
2021-02-12,7.81671
2021-02-13,8.35579
2021-02-14,10.6469
2021-02-15,24.12398
2021-02-16,21.15902
2021-02-17,18.59838
2021-02-18,16.57681
2021-02-19,14.69002
2021-02-20,8.49056
2021-02-21,9.56873
2021-02-22,18.05929
2021-02-23,21.42857
2021-02-24,18.19407
2021-02-25,21.2938
2021-02-26,17.38544
2021-02-27,6.60377
2021-02-28,6.60377
2021-03-01,11.72506
2021-03-02,24.25876
2021-03-03,19.81132
2021-03-04,21.69811
2021-03-05,15.63342
2021-03-06,9.02964
2021-03-07,10.91644
2021-03-08,21.69811
2021-03-09,22.37196
2021-03-10,19.407
2021-03-11,17.92452
2021-03-12,16.03773
2021-03-13,7.27762
2021-03-14,8.62533
2021-03-15,24.93261
2021-03-16,20.61994
2021-03-17,19.54177
2021-03-18,17.65498
2021-03-19,14.28571
2021-03-20,11.18598
2021-03-21,8.35579
2021-03-22,21.69811
2021-03-23,17.92452
2021-03-24,20.48517
2021-03-25,15.22911
2021-03-26,16.1725
2021-03-27,6.469
2021-03-28,9.29919
2021-03-29,18.46361
2021-03-30,16.98113
2021-03-31,15.22911
2021-04-01,13.61185
2021-04-02,11.85983
2021-04-03,12.26415
2021-04-04,7.41239
2021-04-05,20.75471
2021-04-06,17.92452
2021-04-07,14.69002
2021-04-08,13.20754
2021-04-09,16.84636
2021-04-10,7.41239
2021-04-11,7.54716
2021-04-12,22.6415
2021-04-13,17.38544
2021-04-14,16.71159
2021-04-15,14.42048
2021-04-16,15.36388
2021-04-17,8.08625
2021-04-18,9.16442
2021-04-19,22.37196
2021-04-20,17.38544
2021-04-21,19.54177
2021-04-22,14.69002
2021-04-23,13.47708
2021-04-24,6.06469
2021-04-25,6.19946
2021-04-26,19.27223
2021-04-27,15.22911
2021-04-28,14.95956
2021-04-29,13.8814
2021-04-30,12.53369
2021-05-01,6.19946
2021-05-02,5.92991
2021-05-03,19.81132
2021-05-04,17.78975
2021-05-05,6.73854
2021-05-06,15.90296
2021-05-07,16.03773
2021-05-08,8.89487
2021-05-09,7.95148
2021-05-10,17.78975
2021-05-11,17.92452
2021-05-12,18.46361
2021-05-13,17.38544
2021-05-14,17.52021
2021-05-15,9.97304
2021-05-16,8.35579
2021-05-17,19.81132
2021-05-18,16.30727
2021-05-19,7.68194
2021-05-20,20.21563
2021-05-21,16.84636
2021-05-22,7.68194
2021-05-23,9.02964
2021-05-24,23.71967
2021-05-25,20.21563
2021-05-26,17.1159
2021-05-27,16.1725
2021-05-28,16.71159
2021-05-29,9.56873
2021-05-30,8.08625
2021-05-31,22.50673
2021-06-01,19.00269
2021-06-02,20.3504
2021-06-03,16.57681
