date,저축보험
2020-03-20,21.14413
2020-03-21,13.90914
2020-03-22,12.00224
2020-03-23,22.88278
2020-03-24,22.82669
2020-03-25,25.35053
2020-03-26,24.11665
2020-03-27,22.09758
2020-03-28,12.95569
2020-03-29,12.17049
2020-03-30,21.14413
2020-03-31,24.39708
2020-04-01,18.05945
2020-04-02,17.55468
2020-04-03,17.72293
2020-04-04,12.50701
2020-04-05,10.60011
2020-04-06,16.43297
2020-04-07,20.63937
2020-04-08,28.43522
2020-04-09,20.47111
2020-04-10,17.27425
2020-04-11,12.28266
2020-04-12,13.18003
2020-04-13,16.04038
2020-04-14,16.82557
2020-04-15,13.90914
2020-04-16,21.76107
2020-04-17,17.55468
2020-04-18,9.75883
2020-04-19,12.39484
2020-04-20,18.39596
2020-04-21,20.24677
2020-04-22,25.68704
2020-04-23,19.06898
2020-04-24,15.42344
2020-04-25,9.81491
2020-04-26,9.19798
2020-04-27,19.79809
2020-04-28,20.35894
2020-04-29,16.93774
2020-04-30,11.66573
2020-05-01,10.82445
2020-05-02,8.58104
2020-05-03,12.17049
2020-05-04,14.35782
2020-05-05,12.73135
2020-05-06,15.03084
2020-05-07,25.79921
2020-05-08,16.54514
2020-05-09,9.81491
2020-05-10,10.82445
2020-05-11,16.99383
2020-05-12,18.11553
2020-05-13,13.90914
2020-05-14,23.49971
2020-05-15,15.36735
2020-05-16,10.31968
2020-05-17,8.58104
2020-05-18,15.59169
2020-05-19,22.43409
2020-05-20,18.50813
2020-05-21,17.33034
2020-05-22,14.46999
2020-05-23,9.25406
2020-05-24,11.10487
2020-05-25,18.6203
2020-05-26,20.47111
2020-05-27,16.60123
2020-05-28,16.88166
2020-05-29,14.58216
2020-05-30,7.23499
2020-05-31,10.54402
2020-06-01,14.13348
2020-06-02,19.01289
2020-06-03,16.93774
2020-06-04,15.92821
2020-06-05,13.6848
2020-06-06,8.02019
2020-06-07,11.04879
2020-06-08,18.05945
2020-06-09,17.55468
2020-06-10,21.20022
2020-06-11,16.09646
2020-06-12,20.02243
2020-06-13,10.37577
2020-06-14,8.41278
2020-06-15,13.51654
2020-06-16,15.1991
2020-06-17,17.04991
2020-06-18,18.17162
2020-06-19,15.14301
2020-06-20,8.3567
2020-06-21,8.46887
2020-06-22,13.51654
2020-06-23,17.49859
2020-06-24,15.75995
2020-06-25,18.00336
2020-06-26,16.93774
2020-06-27,9.25406
2020-06-28,10.09534
2020-06-29,16.15255
2020-06-30,16.15255
2020-07-01,15.25518
2020-07-02,14.13348
2020-07-03,13.96522
2020-07-04,9.871
2020-07-05,11.27313
2020-07-06,13.74088
2020-07-07,15.14301
2020-07-08,14.46999
2020-07-09,20.35894
2020-07-10,11.7779
2020-07-11,8.13236
2020-07-12,9.75883
2020-07-13,13.85305
2020-07-14,15.59169
2020-07-15,20.69545
2020-07-16,19.01289
2020-07-17,15.70386
2020-07-18,7.9641
2020-07-19,9.871
2020-07-20,13.96522
2020-07-21,17.55468
2020-07-22,16.48906
2020-07-23,18.50813
2020-07-24,14.13348
2020-07-25,8.58104
2020-07-26,9.59057
2020-07-27,17.55468
2020-07-28,21.53673
