date,KT주가
2020-03-20,14.05018
2020-03-21,2.38019
2020-03-22,2.12881
2020-03-23,13.57459
2020-03-24,13.57233
2020-03-25,14.41253
2020-03-26,14.65938
2020-03-27,13.76483
2020-03-28,2.33037
2020-03-29,2.19902
2020-03-30,15.58338
2020-03-31,13.76256
2020-04-01,13.88939
2020-04-02,20.21016
2020-04-03,13.32548
2020-04-04,2.44813
2020-04-05,1.88649
2020-04-06,16.04764
2020-04-07,16.30356
2020-04-08,15.56073
2020-04-09,14.82697
2020-04-10,13.06957
2020-04-11,2.08578
2020-04-12,1.80269
2020-04-13,11.63828
2020-04-14,12.50113
2020-04-15,2.63157
2020-04-16,12.03686
2020-04-17,13.67651
2020-04-18,2.41416
2020-04-19,2.11296
2020-04-20,16.94899
2020-04-21,16.0635
2020-04-22,15.84382
2020-04-23,16.31035
2020-04-24,12.38563
2020-04-25,1.70078
2020-04-26,1.45393
2020-04-27,12.88613
2020-04-28,12.48754
2020-04-29,12.94501
2020-04-30,5.22239
2020-05-01,3.35628
2020-05-02,1.70078
2020-05-03,1.92499
2020-05-04,14.28571
2020-05-05,2.6044
2020-05-06,12.76836
2020-05-07,12.36525
2020-05-08,12.51019
2020-05-09,2.14013
2020-05-10,2.02463
2020-05-11,12.50339
2020-05-12,12.41507
2020-05-13,12.9903
2020-05-14,14.02753
2020-05-15,16.71573
2020-05-16,3.11848
2020-05-17,4.97554
2020-05-18,22.0423
2020-05-19,20.4321
2020-05-20,18.02473
2020-05-21,18.69508
2020-05-22,16.87652
2020-05-23,3.21134
2020-05-24,3.28154
2020-05-25,19.20463
2020-05-26,18.81058
2020-05-27,17.87073
2020-05-28,16.20391
2020-05-29,15.21197
2020-05-30,2.75387
2020-05-31,2.73122
2020-06-01,18.71999
2020-06-02,20.40945
2020-06-03,21.02545
2020-06-04,18.80152
2020-06-05,17.54234
2020-06-06,2.66328
2020-06-07,2.16052
2020-06-08,15.95026
2020-06-09,15.96385
2020-06-10,15.5245
2020-06-11,16.31035
2020-06-12,14.80433
2020-06-13,2.24205
2020-06-14,1.81628
2020-06-15,14.8315
2020-06-16,16.1337
2020-06-17,14.97191
2020-06-18,13.59951
2020-06-19,13.20998
2020-06-20,2.20128
2020-06-21,1.63284
2020-06-22,15.61056
2020-06-23,14.0683
2020-06-24,13.70368
2020-06-25,12.50113
2020-06-26,13.80559
2020-06-27,1.7574
2020-06-28,1.53093
2020-06-29,12.24748
2020-06-30,12.40601
2020-07-01,13.21904
2020-07-02,16.31261
2020-07-03,15.00588
2020-07-04,1.91593
2020-07-05,1.6034
2020-07-06,14.73865
2020-07-07,13.77842
2020-07-08,13.29604
2020-07-09,13.54289
2020-07-10,12.62116
2020-07-11,1.92725
2020-07-12,1.94537
2020-07-13,15.88459
2020-07-14,16.28317
2020-07-15,16.43491
2020-07-16,13.95053
2020-07-17,13.41833
2020-07-18,2.23978
2020-07-19,1.98161
2020-07-20,13.23262
2020-07-21,13.37757
2020-07-22,13.7218
2020-07-23,13.8758
2020-07-24,12.15916
2020-07-25,1.79364
2020-07-26,1.94084
2020-07-27,13.28245
2020-07-28,14.85188
2020-07-29,13.34812
2020-07-30,13.2281
2020-07-31,11.33707
2020-08-01,1.85252
2020-08-02,2.07899
2020-08-03,12.14783
2020-08-04,12.18633
2020-08-05,12.28145
2020-08-06,13.11713
2020-08-07,21.79092
2020-08-08,3.81601
2020-08-09,3.21134
2020-08-10,17.30455
2020-08-11,15.11685
2020-08-12,15.18253
2020-08-13,15.01721
2020-08-14,12.77742
2020-08-15,1.88422
2020-08-16,1.95669
2020-08-17,2.92598
2020-08-18,11.96892
2020-08-19,10.60331
2020-08-20,12.71627
2020-08-21,10.53537
2020-08-22,1.74381
2020-08-23,1.36561
2020-08-24,10.16396
2020-08-25,11.08116
2020-08-26,10.43346
2020-08-27,9.86728
2020-08-28,10.32928
2020-08-29,1.76419
2020-08-30,2.10616
2020-08-31,10.44252
2020-09-01,10.3089
2020-09-02,10.32022
2020-09-03,10.39722
2020-09-04,9.06558
2020-09-05,1.60567
2020-09-06,1.49923
2020-09-07,9.59778
2020-09-08,9.56155
2020-09-09,9.1539
2020-09-10,9.68611
2020-09-11,8.92517
2020-09-12,1.7189
2020-09-13,1.58981
2020-09-14,10.51046
2020-09-15,9.97599
2020-09-16,9.45737
2020-09-17,8.56282
2020-09-18,8.01929
2020-09-19,1.32711
2020-09-20,1.41996
2020-09-21,8.56961
2020-09-22,8.00117
2020-09-23,8.02608
2020-09-24,7.88114
2020-09-25,7.53464
2020-09-26,1.1414
2020-09-27,0.90361
2020-09-28,7.64788
2020-09-29,6.86656
2020-09-30,1.0259
2020-10-01,0.87643
2020-10-02,0.90587
2020-10-03,0.89002
2020-10-04,0.86058
2020-10-05,7.83358
2020-10-06,7.4667
2020-10-07,7.34894
2020-10-08,7.32629
2020-10-09,1.48111
2020-10-10,1.00326
2020-10-11,1.0712
2020-10-12,7.55276
