date,INVESTMENT
2020-03-20,61.83098
2020-03-21,44.22535
2020-03-22,42.95774
2020-03-23,74.64788
2020-03-24,76.33802
2020-03-25,74.0845
2020-03-26,80.84507
2020-03-27,71.83098
2020-03-28,46.9014
2020-03-29,41.40845
2020-03-30,70.42253
2020-03-31,66.9014
2020-04-01,71.69014
2020-04-02,73.94366
2020-04-03,61.69014
2020-04-04,41.97183
2020-04-05,42.11267
2020-04-06,62.11267
2020-04-07,71.12676
2020-04-08,71.54929
2020-04-09,68.4507
2020-04-10,64.0845
2020-04-11,41.12676
2020-04-12,41.40845
2020-04-13,78.02816
2020-04-14,74.0845
2020-04-15,49.01408
2020-04-16,68.87323
2020-04-17,69.29577
2020-04-18,40.84507
2020-04-19,45.6338
2020-04-20,67.88732
2020-04-21,75.91549
2020-04-22,69.15492
2020-04-23,70.98591
2020-04-24,89.57746
2020-04-25,46.47887
2020-04-26,49.43661
2020-04-27,80.42253
2020-04-28,78.59154
2020-04-29,66.05633
2020-04-30,47.04225
2020-05-01,58.4507
2020-05-02,42.67605
2020-05-03,40.28169
2020-05-04,58.02816
2020-05-05,47.46478
2020-05-06,67.32394
2020-05-07,78.59154
2020-05-08,61.40845
2020-05-09,44.78873
2020-05-10,45.35211
2020-05-11,69.29577
2020-05-12,74.22535
2020-05-13,68.02816
2020-05-14,68.30985
2020-05-15,59.29577
2020-05-16,38.59154
2020-05-17,39.85915
2020-05-18,76.19718
2020-05-19,74.22535
2020-05-20,70.28169
2020-05-21,73.52112
2020-05-22,55.49295
2020-05-23,40.98591
2020-05-24,38.16901
2020-05-25,68.87323
2020-05-26,74.50704
2020-05-27,74.92957
2020-05-28,70.56338
2020-05-29,61.40845
2020-05-30,44.78873
2020-05-31,45.91549
2020-06-01,61.54929
2020-06-02,64.78873
2020-06-03,66.76056
2020-06-04,64.78873
2020-06-05,59.43661
2020-06-06,47.18309
2020-06-07,50.0
2020-06-08,60.56338
2020-06-09,61.97183
2020-06-10,67.88732
2020-06-11,69.57746
2020-06-12,57.46478
2020-06-13,44.92957
2020-06-14,43.38028
2020-06-15,62.95774
2020-06-16,63.94366
2020-06-17,57.60563
2020-06-18,58.02816
2020-06-19,54.50704
2020-06-20,40.28169
2020-06-21,40.0
2020-06-22,59.43661
2020-06-23,65.49295
2020-06-24,57.18309
2020-06-25,55.35211
2020-06-26,46.47887
2020-06-27,32.67605
2020-06-28,31.2676
2020-06-29,51.69014
2020-06-30,52.8169
2020-07-01,43.09859
2020-07-02,50.70422
2020-07-03,41.12676
2020-07-04,30.14084
2020-07-05,31.83098
2020-07-06,56.33802
2020-07-07,59.01408
2020-07-08,58.02816
2020-07-09,53.80281
2020-07-10,42.8169
2020-07-11,36.19718
2020-07-12,38.73239
2020-07-13,57.32394
2020-07-14,55.91549
2020-07-15,62.8169
2020-07-16,60.56338
2020-07-17,51.69014
2020-07-18,38.4507
2020-07-19,43.94366
2020-07-20,56.33802
2020-07-21,58.59154
2020-07-22,59.7183
2020-07-23,61.2676
2020-07-24,51.40845
2020-07-25,40.0
2020-07-26,41.12676
2020-07-27,57.32394
2020-07-28,63.09859
2020-07-29,52.25352
2020-07-30,56.33802
2020-07-31,45.6338
2020-08-01,30.84507
2020-08-02,35.6338
2020-08-03,50.0
2020-08-04,55.77464
2020-08-05,56.33802
2020-08-06,58.87323
2020-08-07,52.95774
2020-08-08,35.35211
2020-08-09,34.92957
2020-08-10,51.40845
2020-08-11,67.04225
2020-08-12,55.6338
2020-08-13,64.36619
2020-08-14,57.04225
2020-08-15,37.32394
2020-08-16,35.49295
2020-08-17,54.64788
2020-08-18,62.25352
2020-08-19,58.16901
2020-08-20,61.40845
2020-08-21,52.11267
2020-08-22,36.9014
2020-08-23,36.19718
2020-08-24,63.66197
2020-08-25,59.01408
2020-08-26,54.78873
2020-08-27,64.92957
2020-08-28,61.69014
2020-08-29,37.04225
2020-08-30,39.15492
2020-08-31,87.46478
2020-09-01,63.94366
2020-09-02,69.15492
2020-09-03,63.66197
2020-09-04,54.78873
2020-09-05,37.60563
2020-09-06,33.38028
2020-09-07,59.57746
2020-09-08,61.54929
2020-09-09,61.69014
2020-09-10,64.64788
2020-09-11,61.54929
2020-09-12,38.02816
2020-09-13,39.43661
2020-09-14,65.07042
2020-09-15,60.70422
2020-09-16,64.36619
2020-09-17,55.07042
2020-09-18,45.77464
2020-09-19,29.85915
2020-09-20,33.52112
2020-09-21,51.69014
2020-09-22,54.92957
2020-09-23,56.61971
2020-09-24,54.92957
2020-09-25,49.43661
2020-09-26,33.80281
2020-09-27,33.66197
2020-09-28,41.97183
2020-09-29,39.15492
2020-09-30,23.38028
2020-10-01,19.29577
2020-10-02,28.4507
2020-10-03,29.57746
2020-10-04,37.04225
2020-10-05,47.46478
2020-10-06,60.0
2020-10-07,63.94366
2020-10-08,56.9014
2020-10-09,37.60563
2020-10-10,32.95774
2020-10-11,34.64788
2020-10-12,52.53521
2020-10-13,50.28169
2020-10-14,57.88732
2020-10-15,57.32394
2020-10-16,50.42253
2020-10-17,35.35211
2020-10-18,36.76056
2020-10-19,57.04225
2020-10-20,57.04225
2020-10-21,57.88732
2020-10-22,61.12676
2020-10-23,41.97183
2020-10-24,27.46478
2020-10-25,30.98591
2020-10-26,51.54929
2020-10-27,55.91549
2020-10-28,58.73239
2020-10-29,56.33802
2020-10-30,40.56338
2020-10-31,28.87323
2020-11-01,31.2676
2020-11-02,49.15492
2020-11-03,52.8169
2020-11-04,55.77464
2020-11-05,50.28169
2020-11-06,43.23943
2020-11-07,31.54929
2020-11-08,38.59154
2020-11-09,56.76056
2020-11-10,57.74647
2020-11-11,51.2676
2020-11-12,58.16901
2020-11-13,46.9014
2020-11-14,30.56338
2020-11-15,34.50704
2020-11-16,60.70422
2020-11-17,60.98591
2020-11-18,57.60563
2020-11-19,56.33802
2020-11-20,49.15492
2020-11-21,35.35211
2020-11-22,32.8169
2020-11-23,52.39436
2020-11-24,59.01408
2020-11-25,57.60563
2020-11-26,55.77464
2020-11-27,47.32394
2020-11-28,38.30985
2020-11-29,34.78873
2020-11-30,58.73239
2020-12-01,61.83098
2020-12-02,66.05633
2020-12-03,59.15492
2020-12-04,55.49295
2020-12-05,30.98591
2020-12-06,37.60563
2020-12-07,64.36619
2020-12-08,68.87323
2020-12-09,64.92957
2020-12-10,70.0
2020-12-11,59.01408
2020-12-12,40.56338
2020-12-13,36.61971
2020-12-14,56.05633
2020-12-15,59.29577
2020-12-16,63.38028
2020-12-17,58.59154
2020-12-18,45.49295
2020-12-19,34.0845
2020-12-20,32.95774
2020-12-21,53.66197
2020-12-22,52.25352
2020-12-23,57.32394
2020-12-24,48.73239
2020-12-25,26.33802
2020-12-26,36.19718
2020-12-27,40.84507
2020-12-28,66.05633
2020-12-29,65.77464
2020-12-30,69.15492
2020-12-31,52.53521
2021-01-01,30.42253
2021-01-02,50.70422
2021-01-03,48.87323
2021-01-04,84.22535
2021-01-05,86.19718
2021-01-06,84.36619
2021-01-07,87.60563
2021-01-08,86.9014
2021-01-09,51.83098
2021-01-10,55.91549
2021-01-11,86.05633
2021-01-12,93.66197
2021-01-13,92.53521
2021-01-14,87.88732
2021-01-15,86.33802
2021-01-16,54.22535
2021-01-17,55.49295
2021-01-18,91.97183
2021-01-19,89.43661
2021-01-20,85.49295
2021-01-21,92.8169
2021-01-22,81.97183
2021-01-23,49.15492
2021-01-24,49.57746
2021-01-25,86.76056
2021-01-26,85.49295
2021-01-27,88.30985
2021-01-28,74.92957
2021-01-29,72.25352
2021-01-30,51.83098
2021-01-31,45.49295
2021-02-01,85.21126
2021-02-02,79.7183
2021-02-03,83.09859
2021-02-04,91.2676
2021-02-05,79.01408
2021-02-06,57.04225
2021-02-07,50.84507
2021-02-08,82.39436
2021-02-09,82.11267
2021-02-10,77.32394
2021-02-11,43.52112
2021-02-12,31.2676
2021-02-13,40.98591
2021-02-14,51.69014
2021-02-15,90.98591
2021-02-16,97.46478
2021-02-17,88.30985
2021-02-18,100.0
2021-02-19,78.02816
2021-02-20,56.61971
2021-02-21,53.66197
2021-02-22,90.0
2021-02-23,88.4507
2021-02-24,90.28169
2021-02-25,85.49295
2021-02-26,68.87323
2021-02-27,47.88732
2021-02-28,40.84507
2021-03-01,54.92957
2021-03-02,69.85915
2021-03-03,77.46478
2021-03-04,74.78873
2021-03-05,68.16901
2021-03-06,53.09859
2021-03-07,58.59154
2021-03-08,83.66197
2021-03-09,92.95774
