date,양도세율
2020-12-11,13.00086
2020-12-12,10.72355
2020-12-13,8.15797
2020-12-14,12.91438
2020-12-15,13.60622
2020-12-16,13.77918
2020-12-17,16.71951
2020-12-18,14.52868
2020-12-19,13.57739
2020-12-20,11.76131
2020-12-21,15.22052
2020-12-22,14.98991
2020-12-23,13.63505
2020-12-24,11.30008
2020-12-25,9.97405
2020-12-26,11.50187
2020-12-27,8.82098
2020-12-28,16.6042
2020-12-29,16.77716
2020-12-30,11.79014
2020-12-31,10.3488
2021-01-01,9.71461
2021-01-02,10.14701
2021-01-03,8.50389
2021-01-04,13.11617
2021-01-05,13.6927
2021-01-06,12.62611
2021-01-07,11.35773
2021-01-08,9.80109
2021-01-09,9.42634
2021-01-10,11.12712
2021-01-11,15.36465
2021-01-12,12.42432
2021-01-13,12.04958
2021-01-14,11.24243
2021-01-15,10.81003
2021-01-16,10.55059
2021-01-17,8.61919
2021-01-18,12.30902
2021-01-19,12.56846
2021-01-20,12.0784
2021-01-21,12.3955
2021-01-22,12.25136
2021-01-23,10.14701
2021-01-24,8.84981
2021-01-25,9.80109
2021-01-26,12.74142
2021-01-27,12.02075
2021-01-28,11.79014
2021-01-29,9.5993
2021-01-30,9.08042
2021-01-31,10.0317
2021-02-01,11.30008
2021-02-02,12.22254
2021-02-03,11.70366
2021-02-04,12.02075
2021-02-05,9.13808
2021-02-06,7.84087
2021-02-07,7.84087
2021-02-08,10.60824
2021-02-09,10.11818
2021-02-10,8.01383
2021-02-11,5.15998
2021-02-12,6.05361
2021-02-13,5.96713
2021-02-14,7.66791
2021-02-15,10.49293
2021-02-16,10.49293
2021-02-17,9.484
2021-02-18,11.04064
2021-02-19,9.1669
2021-02-20,8.53271
2021-02-21,6.42836
2021-02-22,10.37763
2021-02-23,10.17584
2021-02-24,9.80109
2021-02-25,9.62813
2021-02-26,8.21562
2021-02-27,6.6878
2021-02-28,6.2554
2021-03-01,8.93629
2021-03-02,9.36869
2021-03-03,9.9164
2021-03-04,9.1669
2021-03-05,7.69674
2021-03-06,5.0735
2021-03-07,6.02479
2021-03-08,8.79215
2021-03-09,8.56154
2021-03-10,9.13808
2021-03-11,7.4373
2021-03-12,7.40847
2021-03-13,7.23551
2021-03-14,6.45719
2021-03-15,8.44623
2021-03-16,11.61718
2021-03-17,10.11818
2021-03-18,10.81003
2021-03-19,8.59037
2021-03-20,7.72556
2021-03-21,6.88959
2021-03-22,8.33093
2021-03-23,8.53271
2021-03-24,8.82098
2021-03-25,8.82098
2021-03-26,7.14903
2021-03-27,6.57249
2021-03-28,6.2554
2021-03-29,10.37763
2021-03-30,9.13808
2021-03-31,8.01383
2021-04-01,7.06255
2021-04-02,7.49495
2021-04-03,5.59238
2021-04-04,4.87172
2021-04-05,7.09138
2021-04-06,8.53271
2021-04-07,7.75439
2021-04-08,7.78322
2021-04-09,8.82098
2021-04-10,5.41942
2021-04-11,4.58345
2021-04-12,7.5526
2021-04-13,7.81204
2021-04-14,8.47506
2021-04-15,8.41741
2021-04-16,5.99596
2021-04-17,5.44825
2021-04-18,5.62121
2021-04-19,8.18679
2021-04-20,9.02277
2021-04-21,8.61919
2021-04-22,8.38858
2021-04-23,8.01383
2021-04-24,6.14009
2021-04-25,5.99596
2021-04-26,8.96511
2021-04-27,8.61919
2021-04-28,7.46612
2021-04-29,7.75439
2021-04-30,7.72556
2021-05-01,5.53473
2021-05-02,4.61228
2021-05-03,7.49495
2021-05-04,6.02479
2021-05-05,5.5059
2021-05-06,6.42836
2021-05-07,6.94724
2021-05-08,4.69876
2021-05-09,4.87172
2021-05-10,7.75439
2021-05-11,7.8697
2021-05-12,7.69674
2021-05-13,8.01383
2021-05-14,7.89852
2021-05-15,6.63015
2021-05-16,5.04468
2021-05-17,10.08936
2021-05-18,8.27327
2021-05-19,6.14009
2021-05-20,8.90746
2021-05-21,8.70567
2021-05-22,7.06255
2021-05-23,6.31305
2021-05-24,10.06053
2021-05-25,9.45517
2021-05-26,9.25338
2021-05-27,10.20466
2021-05-28,9.22456
2021-05-29,6.80311
2021-05-30,18.18968
2021-05-31,31.47881
2021-06-01,22.05246
2021-06-02,11.93427
2021-06-03,10.95416
2021-06-04,9.02277
2021-06-05,6.57249
2021-06-06,5.73652
2021-06-07,10.49293
2021-06-08,11.47304
2021-06-09,11.55952
2021-06-10,8.70567
2021-06-11,9.1669
2021-06-12,5.59238
2021-06-13,4.69876
2021-06-14,8.38858
2021-06-15,7.66791
2021-06-16,9.31104
2021-06-17,9.05159
2021-06-18,9.94522
2021-06-19,8.59037
2021-06-20,6.11127
2021-06-21,10.29115
2021-06-22,8.56154
2021-06-23,8.33093
2021-06-24,7.58143
2021-06-25,6.45719
2021-06-26,5.30412
2021-06-27,5.10233
2021-06-28,6.91842
2021-06-29,7.26434
2021-06-30,8.15797
2021-07-01,6.97607
2021-07-02,7.20668
2021-07-03,4.81406
2021-07-04,5.18881
2021-07-05,8.24445
2021-07-06,7.58143
2021-07-07,7.40847
2021-07-08,9.1669
2021-07-09,6.77428
2021-07-10,5.27529
2021-07-11,4.6411
2021-07-12,7.49495
2021-07-13,7.66791
2021-07-14,7.72556
2021-07-15,7.23551
2021-07-16,6.6878
2021-07-17,5.10233
2021-07-18,5.01585
2021-07-19,6.45719
2021-07-20,6.77428
2021-07-21,6.94724
2021-07-22,6.45719
2021-07-23,6.57249
2021-07-24,5.47708
2021-07-25,4.84289
2021-07-26,7.78322
2021-07-27,7.23551
2021-07-28,8.10031
2021-07-29,6.37071
2021-07-30,7.32199
2021-07-31,4.87172
2021-08-01,5.21764
2021-08-02,9.77226
2021-08-03,9.484
2021-08-04,8.50389
2021-08-05,8.18679
2021-08-06,9.484
2021-08-07,6.34188
2021-08-08,6.51484
2021-08-09,10.14701
2021-08-10,9.51282
2021-08-11,11.73248
2021-08-12,9.74344
2021-08-13,8.15797
2021-08-14,6.28423
2021-08-15,5.88065
2021-08-16,7.23551
2021-08-17,8.96511
2021-08-18,9.71461
2021-08-19,10.11818
2021-08-20,8.35975
2021-08-21,6.77428
2021-08-22,6.60132
2021-08-23,9.10925
2021-08-24,9.19573
2021-08-25,9.9164
2021-08-26,9.57048
2021-08-27,8.33093
2021-08-28,7.20668
2021-08-29,7.03372
2021-08-30,10.86768
2021-08-31,9.19573
2021-09-01,9.65696
2021-09-02,8.76333
2021-09-03,7.78322
2021-09-04,7.49495
2021-09-05,6.74545
2021-09-06,9.5993
2021-09-07,8.04266
2021-09-08,8.21562
2021-09-09,8.33093
2021-09-10,7.89852
2021-09-11,6.42836
2021-09-12,6.11127
2021-09-13,7.89852
2021-09-14,9.02277
2021-09-15,8.84981
2021-09-16,7.98501
2021-09-17,7.23551
2021-09-18,4.58345
2021-09-19,4.46814
2021-09-20,4.15105
2021-09-21,4.84289
2021-09-22,3.94926
2021-09-23,8.33093
2021-09-24,9.33986
2021-09-25,7.0049
2021-09-26,6.42836
2021-09-27,10.3488
2021-09-28,10.08936
2021-09-29,9.74344
2021-09-30,8.53271
2021-10-01,7.26434
2021-10-02,5.3906
2021-10-03,5.73652
2021-10-04,6.91842
2021-10-05,9.25338
2021-10-06,8.56154
2021-10-07,9.77226
2021-10-08,8.70567
2021-10-09,4.58345
2021-10-10,5.15998
2021-10-11,6.11127
2021-10-12,8.35975
2021-10-13,8.01383
2021-10-14,9.5993
2021-10-15,8.3021
2021-10-16,5.85183
2021-10-17,5.10233
