date,카드가맹점수수료
2020-03-20,19.25465
2020-03-21,10.559
2020-03-22,3.7267
2020-03-23,14.90683
2020-03-24,16.77018
2020-03-25,21.11801
2020-03-26,22.98136
2020-03-27,22.98136
2020-03-29,3.7267
2020-03-30,19.87577
2020-03-31,14.28571
2020-04-01,24.2236
2020-04-02,25.46583
2020-04-03,19.87577
2020-04-04,6.83229
2020-04-05,4.34782
2020-04-06,21.73913
2020-04-07,19.25465
2020-04-08,20.49689
2020-04-09,27.95031
2020-04-10,20.49689
2020-04-11,9.31677
2020-04-12,4.34782
2020-04-13,19.87577
2020-04-14,27.32919
2020-04-15,6.83229
2020-04-16,26.70807
2020-04-17,22.36024
2020-04-18,8.69565
2020-04-19,6.83229
2020-04-20,22.98136
2020-04-21,19.87577
2020-04-22,26.08695
2020-04-23,29.19254
2020-04-24,41.6149
2020-04-25,14.90683
2020-04-26,8.69565
2020-04-27,31.0559
2020-04-28,45.34161
2020-04-29,32.91925
2020-04-30,19.25465
2020-05-01,16.14906
2020-05-02,15.52795
2020-05-03,19.87577
2020-05-04,57.14285
2020-05-05,32.91925
2020-05-06,67.70186
2020-05-07,56.52173
2020-05-08,51.55279
2020-05-09,21.11801
2020-05-10,21.11801
2020-05-11,71.42857
2020-05-12,76.39751
2020-05-13,71.42857
2020-05-14,59.00621
2020-05-15,65.21739
2020-05-16,19.25465
2020-05-17,27.32919
2020-05-18,46.58385
2020-05-19,43.47826
2020-05-20,42.85714
2020-05-21,45.34161
2020-05-22,27.95031
2020-05-23,14.28571
2020-05-25,29.19254
2020-05-26,25.46583
2020-05-27,21.73913
2020-05-28,13.66459
2020-05-29,14.28571
2020-05-30,9.93788
2020-05-31,7.45341
2020-06-01,11.18012
2020-06-02,8.69565
2020-06-03,17.3913
2020-06-04,12.42236
2020-06-05,21.73913
2020-06-07,6.21118
2020-06-08,12.42236
2020-06-09,4.96894
2020-06-10,11.18012
2020-06-11,14.28571
2020-06-12,9.93788
2020-06-13,3.10559
2020-06-15,14.28571
2020-06-16,5.59006
2020-06-17,11.80124
2020-06-18,14.90683
2020-06-19,6.21118
2020-06-20,4.34782
2020-06-21,4.96894
2020-06-22,18.01242
2020-06-23,8.69565
2020-06-24,13.66459
2020-06-25,9.93788
2020-06-26,5.59006
2020-06-27,3.7267
2020-06-28,5.59006
2020-06-29,9.93788
2020-06-30,12.42236
2020-07-01,19.87577
2020-07-02,10.559
2020-07-03,9.31677
2020-07-06,14.28571
2020-07-07,12.42236
2020-07-08,16.77018
2020-07-09,8.69565
2020-07-10,9.93788
2020-07-11,3.10559
2020-07-13,11.18012
2020-07-14,13.66459
2020-07-15,11.18012
2020-07-16,6.21118
2020-07-17,10.559
2020-07-18,3.10559
2020-07-19,4.96894
2020-07-20,11.18012
2020-07-21,10.559
2020-07-22,9.93788
2020-07-23,10.559
2020-07-24,12.42236
2020-07-25,3.10559
2020-07-26,7.45341
2020-07-27,12.42236
2020-07-28,14.28571
2020-07-29,4.96894
2020-07-30,11.80124
2020-07-31,9.31677
2020-08-01,8.07453
2020-08-02,5.59006
2020-08-03,7.45341
2020-08-04,14.90683
2020-08-05,11.80124
2020-08-06,14.28571
2020-08-07,10.559
2020-08-09,5.59006
2020-08-10,4.34782
2020-08-11,8.07453
2020-08-12,16.14906
2020-08-13,13.04347
2020-08-14,9.31677
2020-08-16,4.34782
2020-08-17,3.7267
2020-08-18,10.559
2020-08-19,13.66459
2020-08-20,9.31677
2020-08-21,10.559
2020-08-24,8.69565
2020-08-25,13.04347
2020-08-26,7.45341
2020-08-27,5.59006
2020-08-28,5.59006
2020-08-29,3.7267
2020-08-31,11.18012
2020-09-01,18.63354
2020-09-02,3.10559
2020-09-03,10.559
2020-09-04,16.14906
2020-09-06,4.96894
2020-09-07,6.83229
2020-09-08,11.80124
2020-09-09,7.45341
2020-09-10,3.7267
2020-09-11,12.42236
2020-09-12,3.10559
2020-09-13,3.10559
2020-09-14,9.31677
2020-09-15,16.14906
2020-09-16,19.25465
2020-09-17,10.559
2020-09-18,6.21118
2020-09-19,4.96894
2020-09-21,10.559
2020-09-22,18.63354
2020-09-23,13.66459
2020-09-24,13.66459
2020-09-25,15.52795
2020-09-26,3.10559
2020-09-27,4.34782
2020-09-28,9.31677
2020-09-29,5.59006
2020-09-30,4.34782
2020-10-05,12.42236
2020-10-06,10.559
2020-10-07,9.93788
2020-10-08,8.69565
2020-10-09,9.93788
2020-10-10,4.96894
2020-10-12,12.42236
2020-10-13,10.559
2020-10-14,14.28571
2020-10-15,17.3913
2020-10-16,13.66459
2020-10-19,9.31677
2020-10-20,9.93788
2020-10-21,19.25465
2020-10-22,14.28571
2020-10-23,6.21118
2020-10-25,4.96894
2020-10-26,5.59006
2020-10-27,11.18012
2020-10-28,11.18012
2020-10-29,9.93788
2020-10-30,11.80124
2020-11-01,7.45341
2020-11-02,16.77018
2020-11-03,15.52795
2020-11-04,16.77018
2020-11-05,6.83229
2020-11-06,9.31677
2020-11-07,3.10559
2020-11-08,7.45341
2020-11-09,9.93788
2020-11-10,12.42236
2020-11-11,13.04347
2020-11-12,12.42236
2020-11-13,13.66459
2020-11-14,4.34782
2020-11-15,6.83229
2020-11-16,11.18012
2020-11-17,9.31677
2020-11-18,13.04347
2020-11-19,10.559
2020-11-20,5.59006
2020-11-22,3.10559
2020-11-23,11.80124
2020-11-24,10.559
2020-11-25,10.559
2020-11-26,14.90683
2020-11-27,9.93788
2020-11-28,3.10559
2020-11-30,10.559
2020-12-01,13.04347
2020-12-02,14.28571
2020-12-03,11.18012
2020-12-04,11.18012
2020-12-07,13.66459
2020-12-08,9.31677
2020-12-09,6.83229
2020-12-10,11.18012
2020-12-11,9.31677
2020-12-13,3.10559
2020-12-14,5.59006
2020-12-15,7.45341
2020-12-16,8.69565
2020-12-17,20.49689
2020-12-19,7.45341
2020-12-21,9.31677
2020-12-22,9.93788
2020-12-23,14.28571
2020-12-24,13.04347
2020-12-25,4.34782
2020-12-26,6.83229
