date,시제품제작
2020-03-20,30.40935
2020-03-21,20.46783
2020-03-22,10.52631
2020-03-23,51.46198
2020-03-24,37.4269
2020-03-25,53.80116
2020-03-26,42.10526
2020-03-27,36.2573
2020-03-28,20.46783
2020-03-29,23.9766
2020-03-30,57.30994
2020-03-31,49.7076
2020-04-01,45.02923
2020-04-02,50.29239
2020-04-03,46.19883
2020-04-04,8.77192
2020-04-05,18.71345
2020-04-06,50.29239
2020-04-07,47.36842
2020-04-08,52.04678
2020-04-09,32.16374
2020-04-10,34.50292
2020-04-11,21.05263
2020-04-12,25.73099
2020-04-13,58.47953
2020-04-14,43.85964
2020-04-15,22.80701
2020-04-16,47.36842
2020-04-17,33.91812
2020-04-18,21.05263
2020-04-19,12.2807
2020-04-20,57.30994
2020-04-21,49.1228
2020-04-22,60.23391
2020-04-23,45.02923
2020-04-24,44.44444
2020-04-25,11.6959
2020-04-26,16.37426
2020-04-27,43.27485
2020-04-28,49.1228
2020-04-29,46.19883
2020-04-30,20.46783
2020-05-01,25.73099
2020-05-02,12.86549
2020-05-03,16.95906
2020-05-04,46.78362
2020-05-05,19.88304
2020-05-06,47.36842
2020-05-07,56.72514
2020-05-08,39.18128
2020-05-09,21.63742
2020-05-10,15.78947
2020-05-11,40.93567
2020-05-12,63.74269
2020-05-13,49.7076
2020-05-14,46.19883
2020-05-15,40.35087
2020-05-16,21.05263
2020-05-17,18.71345
2020-05-18,44.44444
2020-05-19,47.36842
2020-05-20,42.69005
2020-05-21,42.10526
2020-05-22,39.18128
2020-05-23,17.54385
2020-05-24,18.71345
2020-05-25,49.1228
2020-05-26,44.44444
2020-05-27,54.38596
2020-05-28,49.1228
2020-05-29,35.08771
2020-05-30,10.52631
2020-05-31,24.5614
2020-06-01,55.55555
2020-06-02,36.8421
2020-06-03,38.01169
2020-06-04,49.1228
2020-06-05,39.18128
2020-06-06,16.37426
2020-06-07,20.46783
2020-06-08,45.02923
2020-06-09,45.02923
2020-06-10,43.85964
2020-06-11,61.4035
2020-06-12,45.61403
2020-06-13,16.95906
2020-06-14,17.54385
2020-06-15,38.59649
2020-06-16,46.78362
2020-06-17,36.8421
2020-06-18,44.44444
2020-06-19,47.36842
2020-06-20,12.86549
2020-06-21,18.71345
2020-06-22,39.18128
2020-06-23,45.02923
2020-06-24,51.46198
2020-06-25,37.4269
2020-06-26,32.16374
2020-06-27,14.03508
2020-06-28,22.80701
2020-06-29,38.01169
2020-06-30,50.29239
2020-07-01,50.87719
2020-07-02,40.35087
2020-07-03,26.31578
2020-07-04,7.60233
2020-07-05,12.86549
2020-07-06,50.87719
2020-07-07,41.52046
2020-07-08,35.08771
2020-07-09,47.95321
2020-07-10,30.40935
2020-07-11,19.29824
2020-07-12,12.2807
2020-07-13,41.52046
2020-07-14,50.29239
2020-07-15,40.35087
2020-07-16,38.01169
2020-07-17,30.99415
2020-07-18,16.37426
2020-07-19,17.54385
2020-07-20,46.78362
2020-07-21,42.69005
2020-07-22,53.21637
2020-07-23,33.33333
2020-07-24,32.74853
2020-07-25,16.37426
2020-07-26,16.95906
2020-07-27,61.4035
2020-07-28,33.91812
2020-07-29,43.27485
2020-07-30,31.57894
2020-07-31,35.67251
2020-08-01,18.71345
2020-08-02,10.52631
2020-08-03,43.27485
2020-08-04,29.23976
2020-08-05,32.16374
2020-08-06,29.23976
2020-08-07,25.14619
2020-08-08,19.29824
2020-08-09,19.88304
2020-08-10,36.8421
2020-08-11,49.7076
2020-08-12,53.21637
2020-08-13,43.27485
2020-08-14,31.57894
2020-08-15,18.12865
2020-08-16,13.45029
2020-08-17,25.14619
2020-08-18,47.36842
2020-08-19,24.5614
2020-08-20,32.16374
2020-08-21,36.8421
2020-08-22,15.20467
2020-08-23,18.12865
2020-08-24,40.35087
2020-08-25,45.02923
2020-08-26,32.16374
2020-08-27,47.95321
2020-08-28,45.02923
2020-08-29,23.9766
2020-08-30,14.03508
2020-08-31,42.69005
2020-09-01,35.08771
2020-09-02,52.04678
2020-09-03,28.07017
2020-09-04,32.74853
2020-09-05,15.20467
2020-09-06,12.86549
2020-09-07,56.72514
2020-09-08,45.61403
2020-09-09,45.61403
2020-09-10,45.02923
2020-09-11,35.08771
2020-09-12,16.95906
2020-09-13,23.9766
2020-09-14,50.87719
2020-09-15,49.1228
2020-09-16,47.95321
2020-09-17,38.01169
2020-09-18,32.74853
2020-09-19,11.6959
2020-09-20,22.80701
2020-09-21,31.57894
2020-09-22,47.36842
2020-09-23,42.69005
2020-09-24,39.76608
2020-09-25,27.48538
2020-09-26,21.63742
2020-09-27,14.61988
2020-09-28,33.33333
2020-09-29,40.35087
2020-09-30,64.91228
2020-10-01,39.76608
2020-10-02,50.29239
2020-10-03,58.47953
2020-10-04,56.14035
2020-10-05,85.38011
2020-10-06,90.05847
2020-10-07,73.09941
2020-10-08,63.15789
2020-10-09,54.97076
2020-10-10,49.7076
2020-10-11,60.81871
2020-10-12,72.51461
2020-10-13,73.09941
2020-10-14,53.21637
2020-10-15,77.19298
2020-10-16,66.08187
2020-10-17,52.04678
2020-10-18,57.89473
2020-10-19,74.269
2020-10-20,76.02339
2020-10-21,65.49707
2020-10-22,38.01169
2020-10-23,40.93567
2020-10-24,38.59649
2020-10-25,40.35087
2020-10-26,72.51461
2020-10-27,67.25146
2020-10-28,57.30994
2020-10-29,73.68421
2020-10-30,43.27485
2020-10-31,16.37426
2020-11-01,23.39181
2020-11-02,42.10526
2020-11-03,35.67251
2020-11-04,37.4269
2020-11-05,42.69005
2020-11-06,43.85964
2020-11-07,17.54385
2020-11-08,13.45029
2020-11-09,39.76608
2020-11-10,38.59649
2020-11-11,54.97076
2020-11-12,50.87719
2020-11-13,38.01169
2020-11-14,14.61988
2020-11-15,7.60233
2020-11-16,46.19883
2020-11-17,56.72514
2020-11-18,33.91812
2020-11-19,29.23976
2020-11-20,36.2573
2020-11-21,9.94152
2020-11-22,14.61988
2020-11-23,57.30994
2020-11-24,91.81286
2020-11-25,80.70175
2020-11-26,81.28654
2020-11-27,77.19298
2020-11-28,56.72514
2020-11-29,58.47953
2020-11-30,77.19298
2020-12-01,90.05847
2020-12-02,90.05847
2020-12-03,82.45614
2020-12-04,86.5497
2020-12-05,46.78362
2020-12-06,53.80116
2020-12-07,84.21052
2020-12-08,56.72514
2020-12-09,42.69005
2020-12-10,39.76608
2020-12-11,46.19883
2020-12-12,16.37426
2020-12-13,13.45029
2020-12-14,26.31578
2020-12-15,30.40935
2020-12-16,29.82456
2020-12-17,30.40935
2020-12-18,23.39181
2020-12-19,14.61988
2020-12-20,13.45029
2020-12-21,34.50292
2020-12-22,35.67251
2020-12-23,26.31578
2020-12-24,19.88304
2020-12-25,8.77192
2020-12-26,7.01754
2020-12-27,23.39181
2020-12-28,30.99415
2020-12-29,31.57894
2020-12-30,44.44444
2020-12-31,27.48538
2021-01-01,11.6959
2021-01-02,22.80701
2021-01-03,18.71345
2021-01-04,43.27485
2021-01-05,39.18128
2021-01-06,47.36842
2021-01-07,39.18128
2021-01-08,29.23976
2021-01-09,14.03508
2021-01-10,11.11111
2021-01-11,49.1228
2021-01-12,40.35087
2021-01-13,39.76608
2021-01-14,51.46198
