date,자산운용사
2020-03-20,4.57076
2020-03-21,3.15545
2020-03-22,3.66589
2020-03-23,5.1044
2020-03-24,5.77726
2020-03-25,5.26682
2020-03-26,5.0116
2020-03-27,4.59396
2020-03-28,3.01624
2020-03-29,3.68909
2020-03-30,5.0812
2020-03-31,5.66125
2020-04-01,4.94199
2020-04-02,5.35962
2020-04-03,4.94199
2020-04-04,3.10904
2020-04-05,3.41067
2020-04-06,5.26682
2020-04-07,4.84918
2020-04-08,4.77958
2020-04-09,4.59396
2020-04-10,3.96751
2020-04-11,2.90023
2020-04-12,3.24825
2020-04-13,5.42923
2020-04-14,4.75638
2020-04-15,3.17865
2020-04-16,4.59396
2020-04-17,4.70997
2020-04-18,3.08584
2020-04-19,3.20185
2020-04-20,5.29002
2020-04-21,4.98839
2020-04-22,5.82366
2020-04-23,4.64037
2020-04-24,6.10208
2020-04-25,2.99303
2020-04-26,4.01392
2020-04-27,5.38283
2020-04-28,4.33874
2020-04-29,3.8747
2020-04-30,2.32018
2020-05-01,2.80742
2020-05-02,2.99303
2020-05-03,2.80742
2020-05-04,3.41067
2020-05-05,2.45939
2020-05-06,3.8051
2020-05-07,3.61948
2020-05-08,3.7819
2020-05-09,2.25058
2020-05-10,2.6218
2020-05-11,4.12993
2020-05-12,4.38515
2020-05-13,4.15313
2020-05-14,3.31786
2020-05-15,3.92111
2020-05-16,2.11136
2020-05-17,2.13457
2020-05-18,3.7587
2020-05-19,4.17633
2020-05-20,4.29234
2020-05-21,4.24593
2020-05-22,3.99071
2020-05-23,2.27378
2020-05-24,2.04176
2020-05-25,4.52436
2020-05-26,4.66357
2020-05-27,4.66357
2020-05-28,4.47795
2020-05-29,3.8515
2020-05-30,2.5754
2020-05-31,2.96983
2020-06-01,4.61716
2020-06-02,3.7819
2020-06-03,4.54756
2020-06-04,4.50116
2020-06-05,3.45707
2020-06-06,2.529
2020-06-07,2.29698
2020-06-08,4.31554
2020-06-09,3.94431
2020-06-10,4.68677
2020-06-11,5.77726
2020-06-12,3.66589
2020-06-13,2.5754
2020-06-14,2.85382
2020-06-15,4.66357
2020-06-16,4.17633
2020-06-17,5.56844
2020-06-18,6.56612
2020-06-19,5.35962
2020-06-20,2.96983
2020-06-21,3.31786
2020-06-22,4.98839
2020-06-23,5.1044
2020-06-24,5.31322
2020-06-25,6.47331
2020-06-26,4.66357
2020-06-27,2.85382
2020-06-28,2.92343
2020-06-29,4.40835
2020-06-30,4.64037
2020-07-01,5.29002
2020-07-02,4.59396
2020-07-03,4.31554
2020-07-04,2.41299
2020-07-05,5.87006
2020-07-06,7.00696
2020-07-07,5.35962
2020-07-08,5.70765
2020-07-09,5.73085
2020-07-10,4.31554
2020-07-11,3.34106
2020-07-12,4.40835
2020-07-13,5.52204
2020-07-14,4.68677
2020-07-15,5.61484
2020-07-16,5.68445
2020-07-17,4.68677
2020-07-18,3.13225
2020-07-19,3.92111
2020-07-20,4.87238
2020-07-21,5.26682
2020-07-22,4.73317
2020-07-23,5.058
2020-07-24,4.17633
2020-07-25,2.66821
2020-07-26,3.34106
2020-07-27,5.0348
2020-07-28,4.70997
2020-07-29,6.07888
2020-07-30,4.15313
2020-07-31,3.22505
2020-08-01,3.17865
2020-08-02,2.69141
2020-08-03,4.29234
2020-08-04,4.66357
2020-08-05,4.59396
2020-08-06,4.26914
2020-08-07,4.68677
2020-08-08,2.38979
2020-08-09,3.24825
2020-08-10,4.50116
2020-08-11,3.8283
2020-08-12,3.92111
2020-08-13,5.1044
2020-08-14,3.61948
2020-08-15,2.45939
2020-08-16,2.73781
2020-08-17,3.36426
2020-08-18,3.45707
2020-08-19,3.7587
2020-08-20,3.89791
2020-08-21,3.38747
2020-08-22,3.41067
2020-08-23,3.61948
2020-08-24,5.1044
2020-08-25,5.26682
2020-08-26,4.73317
2020-08-27,4.12993
2020-08-28,4.15313
2020-08-29,2.29698
2020-08-30,3.13225
2020-08-31,4.17633
2020-09-01,4.15313
2020-09-02,4.36194
2020-09-03,5.54524
2020-09-04,5.0116
2020-09-05,2.90023
2020-09-06,2.73781
2020-09-07,4.70997
2020-09-08,4.52436
2020-09-09,4.64037
2020-09-10,5.61484
2020-09-11,3.99071
2020-09-12,2.29698
2020-09-13,2.92343
2020-09-14,4.50116
2020-09-15,4.70997
2020-09-16,4.10672
2020-09-17,5.26682
2020-09-18,4.84918
2020-09-19,2.29698
2020-09-20,2.45939
2020-09-21,4.54756
2020-09-22,5.24361
2020-09-23,4.68677
2020-09-24,3.8051
2020-09-25,3.7587
2020-09-26,2.22737
2020-09-27,1.90255
2020-09-28,4.22273
2020-09-29,3.71229
2020-09-30,2.29698
2020-10-01,2.13457
2020-10-02,2.13457
2020-10-03,2.5058
2020-10-04,3.22505
2020-10-05,3.89791
2020-10-06,8.97911
2020-10-07,5.33642
2020-10-08,4.31554
2020-10-09,2.99303
2020-10-10,3.15545
2020-10-11,2.73781
2020-10-12,4.75638
2020-10-13,5.87006
2020-10-14,4.94199
2020-10-15,5.49883
2020-10-16,4.59396
2020-10-17,3.64269
2020-10-18,3.13225
