date,폐배터리관련주
2020-03-20,0.0991
2020-03-25,0.45589
2020-03-26,0.13875
2020-03-31,0.11892
2020-04-01,0.0991
2020-04-09,0.0991
2020-04-17,0.11892
2020-04-25,0.0991
2020-04-28,0.0991
2020-04-29,0.0991
2020-05-01,0.11892
2020-05-04,0.11892
2020-05-08,0.0991
2020-05-14,0.0991
2020-05-15,0.13875
2020-05-16,0.17839
2020-05-19,0.0991
2020-05-26,0.17839
2020-05-31,0.11892
2020-06-01,0.19821
2020-06-03,9.7324
2020-06-04,4.9554
2020-06-05,1.76412
2020-06-06,0.61446
2020-06-07,0.75322
2020-06-08,5.66897
2020-06-09,1.64519
2020-06-10,1.22893
2020-06-11,0.69375
2020-06-12,0.35678
2020-06-13,2.04162
2020-06-14,0.59464
2020-06-15,0.59464
2020-06-16,0.31714
2020-06-17,0.19821
2020-06-18,0.29732
2020-06-19,0.31714
2020-06-20,0.13875
2020-06-21,0.43607
2020-06-22,1.68483
2020-06-23,9.93062
2020-06-24,5.41129
2020-06-25,11.33795
2020-06-26,7.47274
2020-06-27,1.70465
2020-06-28,1.92269
2020-06-29,1.5659
2020-06-30,1.26858
2020-07-01,0.95143
2020-07-02,0.73339
2020-07-03,1.05054
2020-07-04,0.47571
2020-07-05,0.93161
2020-07-06,4.83647
2020-07-07,1.98216
2020-07-08,1.5659
2020-07-09,0.77304
2020-07-10,0.63429
2020-07-11,0.45589
2020-07-12,1.07036
2020-07-13,1.26858
2020-07-14,0.87215
2020-07-15,1.07036
2020-07-16,1.38751
2020-07-17,0.99108
2020-07-18,0.8325
2020-07-19,1.52626
2020-07-20,1.16947
2020-07-21,1.26858
2020-07-22,2.69573
2020-07-23,1.5659
2020-07-24,0.65411
2020-07-25,0.67393
2020-07-26,0.57482
2020-07-27,1.09018
2020-07-28,1.03072
2020-07-29,0.91179
2020-07-30,1.0109
2020-07-31,0.57482
2020-08-01,0.8325
2020-08-02,0.87215
2020-08-03,1.48662
2020-08-04,1.42715
2020-08-05,2.45787
2020-08-06,3.29038
2020-08-07,0.93161
2020-08-08,1.22893
2020-08-09,0.69375
2020-08-10,1.82358
2020-08-11,1.44697
2020-08-12,3.62735
2020-08-13,2.61645
2020-08-14,1.09018
2020-08-15,0.95143
2020-08-16,0.555
2020-08-17,0.71357
2020-08-18,0.47571
2020-08-19,0.93161
2020-08-20,0.61446
2020-08-21,0.63429
2020-08-22,0.43607
2020-08-23,0.51536
2020-08-24,0.57482
2020-08-25,0.99108
2020-08-26,1.40733
2020-08-27,1.48662
2020-08-28,0.93161
2020-08-29,0.59464
2020-08-30,0.87215
2020-08-31,1.30822
2020-09-01,1.2884
2020-09-02,1.50644
2020-09-03,1.78394
2020-09-04,1.07036
2020-09-05,0.75322
2020-09-06,0.79286
2020-09-07,0.93161
2020-09-08,2.12091
2020-09-09,2.97324
2020-09-10,4.10307
2020-09-11,0.85232
2020-09-12,0.67393
2020-09-13,12.72547
2020-09-14,9.39544
2020-09-15,6.91774
2020-09-16,9.49454
2020-09-17,2.08126
2020-09-18,1.14965
2020-09-19,0.95143
2020-09-20,1.32804
2020-09-21,1.68483
2020-09-22,1.80376
2020-09-23,3.05252
2020-09-24,2.41823
2020-09-25,10.34687
2020-09-26,4.32111
2020-09-27,2.0218
2020-09-28,1.96233
2020-09-29,1.60555
2020-09-30,1.46679
2020-10-01,1.42715
2020-10-02,1.16947
2020-10-03,1.38751
2020-10-04,1.66501
2020-10-05,1.7443
2020-10-06,1.62537
2020-10-07,1.82358
2020-10-08,1.38751
2020-10-09,0.61446
2020-10-10,0.95143
2020-10-11,1.46679
2020-10-12,1.20911
2020-10-13,1.03072
2020-10-14,1.76412
2020-10-15,0.39643
2020-10-16,0.53518
2020-10-17,0.2775
2020-10-18,0.45589
2020-10-19,3.92467
2020-10-20,48.08721
2020-10-21,15.5996
2020-10-22,7.47274
2020-10-23,9.21704
2020-10-24,2.45787
2020-10-25,2.18037
2020-10-26,2.69573
2020-10-27,2.7552
2020-10-28,9.23686
2020-10-29,7.67096
2020-10-30,4.55896
2020-10-31,5.86719
2020-11-01,2.81466
2020-11-02,3.38949
2020-11-03,9.77205
2020-11-04,4.44003
2020-11-05,5.66897
2020-11-06,4.65807
2020-11-07,2.4777
2020-11-08,3.84539
2020-11-09,6.81863
2020-11-10,6.10505
2020-11-11,5.98612
2020-11-12,4.14271
2020-11-13,3.29038
2020-11-14,2.39841
2020-11-15,3.05252
2020-11-16,3.29038
2020-11-17,3.25074
2020-11-18,2.20019
2020-11-19,3.09217
2020-11-20,3.2111
2020-11-21,3.88503
2020-11-22,8.70168
2020-11-23,2.91377
2020-11-24,3.2111
2020-11-25,2.93359
2020-11-26,2.63627
2020-11-27,5.47076
2020-11-28,3.40931
2020-11-29,3.0327
2020-11-30,2.06144
2020-12-01,3.62735
2020-12-02,3.7661
2020-12-03,4.0436
2020-12-04,6.56095
2020-12-05,20.29732
2020-12-06,29.03865
2020-12-07,17.44301
2020-12-08,13.32011
2020-12-09,14.94549
2020-12-10,15.99603
2020-12-11,16.78889
2020-12-12,16.23389
2020-12-13,18.13676
2020-12-14,10.48562
2020-12-15,4.42021
2020-12-16,8.18632
2020-12-17,7.07631
2020-12-18,3.23092
2020-12-19,1.96233
2020-12-20,2.08126
2020-12-21,4.4995
2020-12-22,7.2547
2020-12-23,4.85629
2020-12-24,8.24578
2020-12-25,3.50842
2020-12-26,2.81466
2020-12-27,3.33002
2020-12-28,2.89395
2020-12-29,3.01288
2020-12-30,3.40931
2020-12-31,4.24182
2021-01-01,3.58771
2021-01-02,2.65609
2021-01-03,2.63627
2021-01-04,6.62041
2021-01-05,6.40237
2021-01-06,8.32507
2021-01-07,8.8999
2021-01-08,9.51437
2021-01-09,9.03865
2021-01-10,48.30525
2021-01-11,73.93458
2021-01-12,26.06541
2021-01-13,23.96432
2021-01-14,31.13974
2021-01-15,12.86422
2021-01-16,5.92666
2021-01-17,7.57185
2021-01-18,9.93062
2021-01-19,13.91476
2021-01-20,42.61645
2021-01-21,45.6888
2021-01-22,21.72447
2021-01-23,8.64222
2021-01-24,8.8999
2021-01-25,11.53617
2021-01-26,6.79881
2021-01-27,6.87809
2021-01-28,5.84737
2021-01-29,4.53914
2021-01-30,2.27948
2021-01-31,2.14073
2021-02-01,3.52824
