date,금선물
2020-03-20,48.95796
2020-03-21,24.33768
2020-03-22,12.1865
2020-03-23,53.19675
2020-03-24,97.77463
2020-03-25,100.0
2020-03-26,72.41257
2020-03-27,55.24549
2020-03-28,20.91133
2020-03-29,12.71635
2020-03-30,44.47191
2020-03-31,37.93712
2020-04-01,40.26845
2020-04-02,41.2575
2020-04-03,32.81525
2020-04-04,14.83574
2020-04-05,10.03179
2020-04-06,45.88484
2020-04-07,63.0166
2020-04-08,42.63511
2020-04-09,39.52666
2020-04-10,38.29035
2020-04-11,13.59943
2020-04-12,15.29494
2020-04-13,50.93606
2020-04-14,47.43906
2020-04-15,37.08936
2020-04-16,42.91769
2020-04-17,40.44507
2020-04-18,15.43624
2020-04-19,11.05616
2020-04-20,31.11974
2020-04-21,47.26245
2020-04-22,47.72165
2020-04-23,50.6888
2020-04-24,42.59978
2020-04-25,15.89544
2020-04-26,9.60791
2020-04-27,35.3232
2020-04-28,28.82373
2020-04-29,28.85906
2020-04-30,24.0551
2020-05-01,26.88096
2020-05-02,16.00141
2020-05-03,9.50194
2020-05-04,31.57894
2020-05-05,26.63369
2020-05-06,33.41575
2020-05-07,31.68491
2020-05-08,33.13316
2020-05-09,12.96361
2020-05-10,5.75768
2020-05-11,21.33521
2020-05-12,23.91381
2020-05-13,23.66654
2020-05-14,31.57894
2020-05-15,35.81773
2020-05-16,13.91734
2020-05-17,6.57011
2020-05-18,37.40727
2020-05-19,40.05651
2020-05-20,37.23066
2020-05-21,31.40233
2020-05-22,25.96255
2020-05-23,8.51289
2020-05-24,4.59201
2020-05-25,15.78947
2020-05-26,16.35464
2020-05-27,15.11833
2020-05-28,16.46061
2020-05-29,13.77605
2020-05-30,7.27658
2020-05-31,3.99152
2020-06-01,15.29494
2020-06-02,15.89544
2020-06-03,15.96608
2020-06-04,15.43624
2020-06-05,12.75167
2020-06-06,5.86365
2020-06-07,3.03779
2020-06-08,11.97456
2020-06-09,14.83574
2020-06-10,12.39844
2020-06-11,15.78947
2020-06-12,17.41434
2020-06-13,5.54574
2020-06-14,3.32038
2020-06-15,13.14023
2020-06-16,14.09395
2020-06-17,12.25715
2020-06-18,12.46909
2020-06-19,11.69198
2020-06-20,6.35817
2020-06-21,3.24973
2020-06-22,18.05015
2020-06-23,17.94418
2020-06-24,18.82726
2020-06-25,17.94418
2020-06-26,14.41186
2020-06-27,6.81737
2020-06-28,2.01342
2020-06-29,18.1208
2020-06-30,17.59095
2020-07-01,23.34864
2020-07-02,19.1805
2020-07-03,15.78947
2020-07-04,5.01589
2020-07-05,3.67361
2020-07-06,13.88202
2020-07-07,18.05015
2020-07-08,18.15612
2020-07-09,20.27552
2020-07-10,18.68597
2020-07-11,5.05121
2020-07-12,3.07311
2020-07-13,14.19992
2020-07-14,19.14517
2020-07-15,17.94418
2020-07-16,16.1427
2020-07-17,15.61285
2020-07-18,5.58106
2020-07-19,3.85022
2020-07-20,15.93076
2020-07-21,16.21335
2020-07-22,22.57152
2020-07-23,25.574
2020-07-24,29.49487
2020-07-25,17.41434
2020-07-26,6.8527
2020-07-27,35.9237
2020-07-28,49.1699
2020-07-29,41.46944
2020-07-30,33.20381
2020-07-31,31.68491
2020-08-01,12.68103
2020-08-02,6.28753
2020-08-03,25.1148
2020-08-04,25.92723
2020-08-05,36.48887
2020-08-06,31.19039
2020-08-07,33.59237
2020-08-08,15.89544
2020-08-09,7.24125
2020-08-10,30.06004
2020-08-11,41.22218
2020-08-12,76.93394
2020-08-13,41.18685
2020-08-14,31.93217
