date,금시세18K
2020-03-20,77.4485
2020-03-21,54.42717
2020-03-22,44.12721
2020-03-23,55.33068
2020-03-24,53.12612
2020-03-25,53.16226
2020-03-26,50.74087
2020-03-27,47.12685
2020-03-28,40.83845
2020-03-29,36.79074
2020-03-30,44.41633
2020-03-31,48.10263
2020-04-01,41.34441
2020-04-02,40.0795
2020-04-03,41.30827
2020-04-04,39.82652
2020-04-05,35.52584
2020-04-06,46.22334
2020-04-07,45.4644
2020-04-08,48.24719
2020-04-09,44.66931
2020-04-10,50.19877
2020-04-11,45.31984
2020-04-12,57.53523
2020-04-13,66.13661
2020-04-14,64.54644
2020-04-15,52.07806
2020-04-16,56.01734
2020-04-17,56.23418
2020-04-18,50.45175
2020-04-19,39.82652
2020-04-20,55.83664
2020-04-21,54.96928
2020-04-22,55.14998
2020-04-23,51.68052
2020-04-24,58.5833
2020-04-25,52.6563
2020-04-26,44.27177
2020-04-27,69.31694
2020-04-28,53.95735
2020-04-29,50.70473
2020-04-30,43.36826
2020-05-01,46.7293
2020-05-02,39.7181
2020-05-03,38.95916
2020-05-04,47.16299
2020-05-05,45.89808
2020-05-06,60.17347
2020-05-07,52.36718
2020-05-08,49.40368
2020-05-09,44.27177
2020-05-10,39.176
2020-05-11,50.30719
2020-05-12,46.98229
2020-05-13,42.46476
2020-05-14,47.99421
2020-05-15,43.98265
2020-05-16,40.0795
2020-05-17,37.11601
2020-05-18,56.66787
2020-05-19,57.10155
2020-05-20,52.43946
2020-05-21,45.89808
2020-05-22,47.59667
2020-05-23,43.54897
2020-05-24,39.57354
2020-05-25,46.76544
2020-05-26,43.80195
2020-05-27,44.81387
2020-05-28,46.40404
2020-05-29,46.0065
2020-05-30,35.4897
2020-05-31,37.65811
2020-06-01,43.25984
2020-06-02,42.46476
2020-06-03,44.56089
2020-06-04,41.30827
2020-06-05,42.89844
2020-06-06,37.29671
2020-06-07,32.67076
2020-06-08,42.60932
2020-06-09,40.69389
2020-06-10,42.03108
2020-06-11,39.57354
2020-06-12,43.94651
2020-06-13,36.42934
2020-06-14,33.93567
2020-06-15,45.24756
2020-06-16,40.94687
2020-06-17,39.10372
2020-06-18,37.73039
2020-06-19,36.50162
2020-06-20,32.38164
2020-06-21,30.86375
2020-06-22,44.92229
2020-06-23,45.93422
2020-06-24,43.87423
2020-06-25,42.97072
2020-06-26,38.20021
2020-06-27,35.6704
2020-06-28,32.92374
2020-06-29,41.74195
2020-06-30,41.92265
2020-07-01,47.74123
2020-07-02,49.11456
2020-07-03,40.40477
2020-07-04,34.73075
2020-07-05,39.7181
2020-07-06,49.1507
2020-07-07,44.63317
2020-07-08,47.59667
2020-07-09,46.1872
2020-07-10,42.46476
2020-07-11,42.39248
2020-07-12,37.40513
2020-07-13,52.94542
2020-07-14,67.94362
2020-07-15,58.72786
2020-07-16,53.30683
2020-07-17,48.6086
2020-07-18,47.88579
2020-07-19,36.86302
2020-07-20,47.95807
2020-07-21,46.0065
2020-07-22,55.2584
2020-07-23,61.14925
2020-07-24,69.71449
2020-07-25,85.83303
2020-07-26,54.13805
2020-07-27,81.4962
2020-07-28,100.0
2020-07-29,98.62667
2020-07-30,66.71485
2020-07-31,68.3773
2020-08-01,54.60787
2020-08-02,48.97
2020-08-03,59.3061
2020-08-04,55.4391
2020-08-05,91.00108
2020-08-06,72.13588
2020-08-07,68.23274
2020-08-08,55.6198
2020-08-09,48.75316
2020-08-10,63.46223
2020-08-11,63.64293
2020-08-12,98.08456
2020-08-13,70.43729
2020-08-14,58.14962
2020-08-15,49.90964
2020-08-16,44.95843
2020-08-17,49.83736
2020-08-18,66.20889
2020-08-19,59.19768
2020-08-20,56.23418
2020-08-21,47.05457
2020-08-22,43.2237
2020-08-23,38.20021
2020-08-24,49.36754
2020-08-25,48.35561
2020-08-26,44.45247
2020-08-27,48.17491
2020-08-28,46.91001
2020-08-29,42.93458
2020-08-30,39.24828
2020-08-31,49.43982
2020-09-01,46.5486
2020-09-02,44.48861
