date,주식단타
2020-03-20,63.18785
2020-03-21,30.48703
2020-03-22,23.84566
2020-03-23,48.38709
2020-03-24,74.7628
2020-03-25,88.7413
2020-03-26,97.34345
2020-03-27,91.01834
2020-03-28,42.44149
2020-03-29,35.98987
2020-03-30,70.71473
2020-03-31,76.91334
2020-04-01,59.70904
2020-04-02,58.76027
2020-04-03,55.66097
2020-04-04,31.24604
2020-04-05,28.33649
2020-04-06,58.50727
2020-04-07,57.36875
2020-04-08,56.98924
2020-04-09,54.90196
2020-04-10,46.80581
2020-04-11,24.09867
2020-04-12,23.97216
2020-04-13,37.5079
2020-04-14,37.95066
2020-04-15,25.93295
2020-04-16,32.44781
2020-04-17,43.074
2020-04-18,26.37571
2020-04-19,23.21315
2020-04-20,35.86337
2020-04-21,34.72485
2020-04-22,41.04996
2020-04-23,42.31499
2020-04-24,32.89057
2020-04-25,22.32764
2020-04-26,21.88488
2020-04-27,33.33333
2020-04-28,31.5623
2020-04-29,29.85452
2020-04-30,19.29158
2020-05-01,16.63504
2020-05-02,15.18026
2020-05-03,15.37001
2020-05-04,21.12586
2020-05-05,16.38203
2020-05-06,24.79443
2020-05-07,27.38772
2020-05-08,26.81846
2020-05-09,12.83997
2020-05-10,14.86401
2020-05-11,22.26438
2020-05-12,33.96584
2020-05-13,40.98671
2020-05-14,37.76091
2020-05-15,32.82732
2020-05-16,19.67109
2020-05-17,16.82479
2020-05-18,28.77925
2020-05-19,31.11954
2020-05-20,34.09234
2020-05-21,31.75205
2020-05-22,25.49019
2020-05-23,21.44212
2020-05-24,18.21631
2020-05-25,28.20999
2020-05-26,35.04111
2020-05-27,35.92662
2020-05-28,31.05629
2020-05-29,27.45098
2020-05-30,17.64705
2020-05-31,16.31878
2020-06-01,24.73118
2020-06-02,33.27008
2020-06-03,35.48387
2020-06-04,36.81214
2020-06-05,33.64958
2020-06-06,18.53257
2020-06-07,19.73434
2020-06-08,31.18279
2020-06-09,30.29728
2020-06-10,36.81214
2020-06-11,33.14358
2020-06-12,27.26122
2020-06-13,16.88804
2020-06-14,15.49652
2020-06-15,22.51739
2020-06-16,30.55028
2020-06-17,32.19481
