date,포스코DX주가
2023-02-20,0.0197
2023-03-07,0.0197
2023-03-23,0.01094
2023-03-27,0.01751
2023-03-28,0.1708
2023-03-29,0.21678
2023-03-30,0.36788
2023-03-31,0.42919
2023-04-01,0.17518
2023-04-02,0.15328
2023-04-03,0.18831
2023-04-04,0.20364
2023-04-05,0.17299
2023-04-06,0.42262
2023-04-07,0.43576
2023-04-08,0.15328
2023-04-09,0.17737
2023-04-10,0.38101
2023-04-11,0.25401
2023-04-12,0.21021
2023-04-13,0.37444
2023-04-14,12.60866
2023-04-15,4.0204
2023-04-16,3.02187
2023-04-17,70.14693
2023-04-18,90.56868
2023-04-19,47.73906
2023-04-20,31.41436
2023-04-21,21.6721
2023-04-22,2.55983
2023-04-23,2.2029
2023-04-24,17.61665
2023-04-25,16.70133
2023-04-26,20.35824
2023-04-27,17.05826
2023-04-28,14.81814
2023-04-29,1.65108
2023-04-30,1.02262
2023-05-01,2.2883
2023-05-02,15.56047
2023-05-03,12.13786
2023-05-04,10.09043
2023-05-05,1.20875
2023-05-06,0.88466
2023-05-07,0.8759
2023-05-08,9.42693
2023-05-09,8.44154
2023-05-10,7.82841
2023-05-11,8.99117
2023-05-12,7.07294
2023-05-13,0.82773
2023-05-14,0.68101
2023-05-15,6.90651
2023-05-16,6.70068
2023-05-17,6.67221
2023-05-18,6.59119
2023-05-19,6.23426
2023-05-20,0.62408
2023-05-21,0.52116
2023-05-22,7.64665
2023-05-23,8.80066
2023-05-24,8.16344
2023-05-25,6.62841
2023-05-26,5.94083
2023-05-27,0.61532
2023-05-28,0.55839
2023-05-29,0.84743
2023-05-30,6.6306
2023-05-31,6.08754
2023-06-01,5.60141
2023-06-02,6.15104
2023-06-03,0.72043
2023-06-04,0.62408
2023-06-05,7.916
2023-06-06,1.16495
2023-06-07,9.69627
2023-06-08,8.42402
2023-06-09,7.71235
2023-06-10,1.0905
2023-06-11,1.08612
2023-06-12,10.3116
2023-06-13,7.65103
2023-06-14,8.15906
2023-06-15,7.0817
2023-06-16,10.18459
2023-06-17,1.36422
2023-06-18,1.30291
2023-06-19,13.42544
2023-06-20,23.1261
2023-06-21,15.659
2023-06-22,27.1706
2023-06-23,17.79622
2023-06-24,1.78246
2023-06-25,1.36422
2023-06-26,16.82177
2023-06-27,23.54216
2023-06-28,22.61151
2023-06-29,14.41084
2023-06-30,10.37291
2023-07-01,1.11021
2023-07-02,1.0905
2023-07-03,19.14292
2023-07-04,19.05314
2023-07-05,16.94221
2023-07-06,13.26997
2023-07-07,11.25977
2023-07-08,1.59414
2023-07-09,1.44524
2023-07-10,12.14662
2023-07-11,54.6193
2023-07-12,34.67492
2023-07-13,52.93756
2023-07-14,35.22893
2023-07-15,5.92988
2023-07-16,5.07149
2023-07-17,33.06983
2023-07-18,34.4012
2023-07-19,28.74942
2023-07-20,66.16594
2023-07-21,45.28872
2023-07-22,9.38533
2023-07-23,9.74226
2023-07-24,78.99577
2023-07-25,56.53754
2023-07-26,98.79781
2023-07-27,65.48054
2023-07-28,55.3266
2023-07-29,7.82841
2023-07-30,6.54082
2023-07-31,61.69006
2023-08-01,51.00838
2023-08-02,36.7771
2023-08-03,34.35084
2023-08-04,31.05743
2023-08-05,3.10508
2023-08-06,2.73501
2023-08-07,29.31876
2023-08-08,35.49609
2023-08-09,32.30779
2023-08-10,28.34212
2023-08-11,27.98957
2023-08-12,2.89267
2023-08-13,2.3737
2023-08-14,26.09542
2023-08-15,3.82989
2023-08-16,22.88304
2023-08-17,32.07129
2023-08-18,23.40201
2023-08-19,2.34742
2023-08-20,1.83283
2023-08-21,46.58944
2023-08-22,37.39242
2023-08-23,46.02448
2023-08-24,59.90759
2023-08-25,82.01108
2023-08-26,12.14005
2023-08-27,10.12109
2023-08-28,74.20237
2023-08-29,65.87251
2023-08-30,59.76525
2023-08-31,100.0
2023-09-01,75.02791
2023-09-02,8.54008
2023-09-03,7.32257
2023-09-04,83.66435
2023-09-05,70.71408
2023-09-06,96.96498
2023-09-07,68.16081
2023-09-08,62.21122
2023-09-09,9.37876
2023-09-10,7.8503
2023-09-11,56.66236
2023-09-12,55.37258
2023-09-13,60.25138
2023-09-14,57.34337
2023-09-15,50.13029
2023-09-16,6.19703
2023-09-17,5.7963
2023-09-18,40.9267
2023-09-19,36.0282
2023-09-20,35.69535
2023-09-21,28.55015
2023-09-22,27.7903
2023-09-23,3.01311
2023-09-24,3.17515
2023-09-25,29.46328
2023-09-26,34.98806
2023-09-27,32.10633
2023-09-28,3.37223
2023-09-29,2.51822
2023-09-30,2.42844
2023-10-01,2.36056
2023-10-02,2.91019
2023-10-03,2.8445
2023-10-04,35.08003
2023-10-05,39.80335
2023-10-06,35.46762
2023-10-07,3.31749
2023-10-08,2.35618
2023-10-09,3.23428
2023-10-10,30.14868
2023-10-11,29.52022
2023-10-12,45.59747
2023-10-13,36.35447
2023-10-14,3.62406
2023-10-15,2.9737
2023-10-16,30.764
2023-10-17,31.05086
2023-10-18,27.52972
2023-10-19,25.09032
2023-10-20,26.16988
2023-10-21,2.26421
2023-10-22,2.181
2023-10-23,23.90347
2023-10-24,33.22749
2023-10-25,25.54141
2023-10-26,26.36039
2023-10-27,39.28438
2023-10-28,3.64595
2023-10-29,2.94961
2023-10-30,38.67781
2023-10-31,26.19396
2023-11-01,23.82464
2023-11-02,26.50272
2023-11-03,23.47647
2023-11-04,2.22918
2023-11-05,2.49195
2023-11-06,66.42433
2023-11-07,46.69017
2023-11-08,30.86035
2023-11-09,27.60417
2023-11-10,30.03481
2023-11-11,2.98245
2023-11-12,2.61676
2023-11-13,26.53338
2023-11-14,26.8925
2023-11-15,33.2034
2023-11-16,25.52828
2023-11-17,26.55966
2023-11-18,3.00216
2023-11-19,2.55983
2023-11-20,25.17134
2023-11-21,21.2648
2023-11-22,20.64291
2023-11-23,24.32828
2023-11-24,19.85022
2023-11-25,2.2445
2023-11-26,2.19633
2023-11-27,18.34804
2023-11-28,19.93124
2023-11-29,20.09985
2023-11-30,21.37648
2023-12-01,23.61004
2023-12-02,3.27807
2023-12-03,2.5883
2023-12-04,19.74511
2023-12-05,16.46922
2023-12-06,18.913
2023-12-07,17.95169
2023-12-08,18.73343
2023-12-09,2.06932
2023-12-10,1.62042
2023-12-11,16.97067
2023-12-12,22.83049
2023-12-13,23.98887
2023-12-14,19.40788
2023-12-15,17.82906
2023-12-16,1.75838
2023-12-17,1.80436
2023-12-18,19.30715
2023-12-19,15.18383
2023-12-20,15.62616
2023-12-21,62.53749
2023-12-22,43.13399
2023-12-23,5.30799
2023-12-24,3.54085
2023-12-25,3.66785
2023-12-26,66.88418
2023-12-27,62.29005
2023-12-28,52.08137
2023-12-29,13.80208
2023-12-30,5.95397
2023-12-31,5.32988
2024-01-01,6.2255
2024-01-02,45.05441
2024-01-03,47.87264
2024-01-04,32.51582
2024-01-05,28.11001
2024-01-06,2.55764
2024-01-07,2.29487
2024-01-08,24.53412
2024-01-09,21.46845
2024-01-10,17.54001
2024-01-11,27.53629
2024-01-12,19.02686
2024-01-13,2.02115
2024-01-14,1.50217
2024-01-15,18.11811
2024-01-16,17.6079
2024-01-17,17.08235
2024-01-18,18.06337
2024-01-19,18.93051
2024-01-20,1.94889
2024-01-21,1.57006
2024-01-22,16.79549
2024-01-23,19.16482
2024-01-24,21.61517
2024-01-25,17.0714
2024-01-26,18.19694
2024-01-27,1.90071
2024-01-28,1.50217
2024-01-29,16.69914
2024-01-30,15.49477
2024-01-31,18.6546
2024-02-01,33.17931
2024-02-02,71.74765
2024-02-03,7.97293
2024-02-04,7.31381
2024-02-05,68.77833
2024-02-06,83.5899
2024-02-07,74.06661
2024-02-08,71.99947
2024-02-09,9.03935
2024-02-10,6.10287
2024-02-11,5.83353
2024-02-12,7.28534
2024-02-13,74.13887
2024-02-14,68.6338
2024-02-15,65.31631
2024-02-16,71.36225
2024-02-17,6.21455
2024-02-18,5.14375
2024-02-19,54.73755
2024-02-20,49.59817
2024-02-21,46.02448
2024-02-22,44.13471
2024-02-23,41.82232
2024-02-24,3.71603
2024-02-25,3.25399
2024-02-26,39.01285
2024-02-27,38.14351
2024-02-28,42.65224
2024-02-29,39.21212
2024-03-01,4.58098
2024-03-02,2.9934
2024-03-03,2.67808
2024-03-04,38.84205
2024-03-05,40.32233
2024-03-06,34.72748
2024-03-07,33.72238
2024-03-08,31.55451
2024-03-09,2.75472
2024-03-10,2.34742
2024-03-11,38.32088
2024-03-12,40.6705
2024-03-13,40.0508
2024-03-14,39.3238
2024-03-15,31.7494
2024-03-16,2.81822
2024-03-17,2.48319
2024-03-18,31.39247
2024-03-19,27.68081
2024-03-20,28.21731
