date,신용카드이벤트
2020-03-20,4.09356
2020-03-21,2.92397
2020-03-22,2.92397
2020-03-24,5.26315
2020-03-27,4.67836
2020-03-30,3.50877
2020-03-31,2.92397
2020-04-01,5.84795
2020-04-02,3.50877
2020-04-03,4.09356
2020-04-04,2.92397
2020-04-05,4.67836
2020-04-06,2.92397
2020-04-07,4.09356
2020-04-08,8.18713
2020-04-10,4.09356
2020-04-11,4.09356
2020-04-12,5.26315
2020-04-13,5.26315
2020-04-14,2.92397
2020-04-15,5.26315
2020-04-16,6.43274
2020-04-17,5.26315
2020-04-18,4.67836
2020-04-20,2.92397
2020-04-21,8.18713
2020-04-22,2.92397
2020-04-23,2.92397
2020-04-24,3.50877
2020-04-25,2.92397
2020-04-26,2.92397
2020-04-27,5.26315
2020-04-28,7.60233
2020-04-29,7.01754
2020-04-30,7.60233
2020-05-01,9.94152
2020-05-02,5.84795
2020-05-03,4.67836
2020-05-04,8.77192
2020-05-05,11.6959
2020-05-06,11.11111
2020-05-07,6.43274
2020-05-08,14.61988
2020-05-09,2.92397
2020-05-10,5.26315
2020-05-11,17.54385
2020-05-12,9.35672
2020-05-13,6.43274
2020-05-14,9.35672
2020-05-15,3.50877
2020-05-17,5.84795
2020-05-18,4.09356
2020-05-19,7.60233
2020-05-20,11.6959
2020-05-21,11.6959
2020-05-22,11.6959
2020-05-23,5.84795
2020-05-24,3.50877
2020-05-25,11.11111
2020-05-26,9.94152
2020-05-27,4.09356
2020-05-28,7.60233
2020-05-29,8.77192
2020-05-30,7.01754
2020-05-31,5.84795
2020-06-01,14.61988
2020-06-02,12.2807
2020-06-03,5.26315
2020-06-04,6.43274
2020-06-05,2.92397
2020-06-06,5.26315
2020-06-07,8.18713
2020-06-08,21.63742
2020-06-09,22.22222
2020-06-10,21.63742
2020-06-11,18.71345
2020-06-12,13.45029
2020-06-13,2.92397
2020-06-14,6.43274
2020-06-15,8.18713
2020-06-16,18.71345
2020-06-17,11.11111
2020-06-18,14.03508
2020-06-19,5.84795
2020-06-20,5.84795
2020-06-21,5.84795
2020-06-22,9.94152
2020-06-23,16.37426
2020-06-24,9.94152
2020-06-25,11.6959
2020-06-26,8.18713
2020-06-27,6.43274
2020-06-28,4.67836
2020-06-29,12.2807
2020-06-30,11.6959
2020-07-01,36.8421
2020-07-02,22.22222
2020-07-03,12.86549
2020-07-04,14.61988
2020-07-05,10.52631
2020-07-06,22.22222
2020-07-07,22.80701
2020-07-08,15.78947
2020-07-09,11.11111
2020-07-10,8.18713
2020-07-11,6.43274
2020-07-12,8.18713
2020-07-13,11.6959
2020-07-14,19.29824
2020-07-15,5.84795
2020-07-16,12.86549
2020-07-17,12.2807
2020-07-18,8.18713
2020-07-19,8.77192
2020-07-20,16.95906
2020-07-21,7.60233
2020-07-22,9.35672
2020-07-23,12.2807
2020-07-24,14.03508
2020-07-25,4.67836
2020-07-26,8.77192
2020-07-27,16.95906
2020-07-28,15.78947
2020-07-29,15.20467
2020-07-30,11.6959
2020-07-31,6.43274
2020-08-01,7.01754
2020-08-02,11.11111
2020-08-03,20.46783
2020-08-04,19.88304
2020-08-05,18.12865
2020-08-06,22.22222
2020-08-07,16.37426
2020-08-08,17.54385
2020-08-09,18.12865
2020-08-10,19.29824
2020-08-11,13.45029
2020-08-12,13.45029
2020-08-13,14.03508
2020-08-14,14.03508
2020-08-15,8.77192
2020-08-16,5.26315
2020-08-17,11.11111
2020-08-18,15.20467
2020-08-19,13.45029
2020-08-20,12.2807
2020-08-21,13.45029
2020-08-22,7.60233
2020-08-23,9.94152
2020-08-24,7.01754
2020-08-25,15.20467
2020-08-26,14.61988
2020-08-27,11.11111
2020-08-28,16.37426
2020-08-29,9.35672
2020-08-30,11.6959
2020-08-31,14.61988
2020-09-01,26.31578
2020-09-02,19.29824
2020-09-03,8.18713
2020-09-04,19.88304
2020-09-05,13.45029
2020-09-06,8.77192
2020-09-07,21.05263
2020-09-08,10.52631
2020-09-09,16.95906
2020-09-10,19.88304
2020-09-11,16.37426
2020-09-12,7.60233
2020-09-13,11.6959
2020-09-14,11.6959
2020-09-15,16.37426
2020-09-16,11.11111
2020-09-17,14.61988
2020-09-18,8.18713
2020-09-19,11.11111
2020-09-20,10.52631
2020-09-21,7.60233
2020-09-22,19.88304
2020-09-23,10.52631
2020-09-24,9.94152
2020-09-25,13.45029
2020-09-26,8.77192
2020-09-27,5.84795
2020-09-28,14.03508
2020-09-29,8.77192
2020-09-30,12.86549
2020-10-01,25.73099
2020-10-02,11.6959
2020-10-03,10.52631
2020-10-04,7.60233
2020-10-05,23.39181
2020-10-06,18.71345
2020-10-07,22.80701
2020-10-08,15.78947
2020-10-09,11.6959
2020-10-10,8.77192
2020-10-11,9.94152
2020-10-12,16.37426
2020-10-13,17.54385
2020-10-14,12.86549
2020-10-15,11.11111
2020-10-16,12.86549
2020-10-17,12.2807
2020-10-18,9.94152
2020-10-19,8.18713
2020-10-20,22.80701
2020-10-21,8.18713
2020-10-22,15.20467
2020-10-23,9.94152
2020-10-24,9.35672
2020-10-25,7.01754
2020-10-26,5.84795
2020-10-27,6.43274
2020-10-28,11.6959
2020-10-29,7.60233
2020-10-30,8.18713
2020-10-31,5.84795
2020-11-01,13.45029
2020-11-02,13.45029
2020-11-03,12.2807
2020-11-04,9.35672
2020-11-05,13.45029
