date,근저당
2020-03-20,24.1791
2020-03-21,15.59701
2020-03-22,15.14925
2020-03-23,24.10447
2020-03-24,25.37313
2020-03-25,26.79104
2020-03-26,25.07462
2020-03-27,21.49253
2020-03-28,14.36567
2020-03-29,13.39552
2020-03-30,25.18656
2020-03-31,25.93283
2020-04-01,23.95522
2020-04-02,27.76119
2020-04-03,24.29104
2020-04-04,17.16417
2020-04-05,19.44029
2020-04-06,32.98507
2020-04-07,29.66417
2020-04-08,27.12686
2020-04-09,27.91044
2020-04-10,26.86567
2020-04-11,15.78358
2020-04-12,13.0597
2020-04-13,26.45522
2020-04-14,23.69402
2020-04-15,16.90298
2020-04-16,26.79104
2020-04-17,25.93283
2020-04-18,15.11194
2020-04-19,15.37313
2020-04-20,28.09701
2020-04-21,26.41791
2020-04-22,26.97761
2020-04-23,25.82089
2020-04-24,26.82835
2020-04-25,17.53731
2020-04-26,18.50746
2020-04-27,30.0
2020-04-28,34.21641
2020-04-29,29.58955
2020-04-30,23.50746
2020-05-01,23.54477
2020-05-02,17.94776
2020-05-03,17.42537
2020-05-04,25.2985
2020-05-05,19.40298
2020-05-06,26.19402
2020-05-07,24.7388
2020-05-08,20.63432
2020-05-09,17.20149
2020-05-10,13.13432
2020-05-11,24.77611
2020-05-12,23.69402
2020-05-13,23.99253
2020-05-14,22.08955
2020-05-15,20.37313
2020-05-16,15.33582
2020-05-17,13.6194
2020-05-18,26.82835
2020-05-19,24.88805
2020-05-20,23.47014
2020-05-21,23.69402
2020-05-22,19.88805
2020-05-23,13.20895
2020-05-24,13.47014
2020-05-25,26.23134
2020-05-26,26.71641
2020-05-27,23.84328
2020-05-28,22.16417
2020-05-29,19.88805
2020-05-30,12.42537
2020-05-31,12.64925
2020-06-01,24.02985
2020-06-02,24.36567
2020-06-03,21.71641
2020-06-04,25.03731
2020-06-05,19.70149
2020-06-06,14.10447
2020-06-07,12.42537
2020-06-08,25.03731
2020-06-09,22.2388
2020-06-10,23.0597
2020-06-11,21.82835
2020-06-12,22.31343
2020-06-13,12.94776
2020-06-14,12.98507
2020-06-15,22.98507
2020-06-16,22.72388
2020-06-17,25.26119
2020-06-18,24.77611
2020-06-19,20.18656
2020-06-20,12.91044
2020-06-21,12.53731
2020-06-22,23.02238
2020-06-23,22.94776
2020-06-24,23.54477
2020-06-25,21.00746
2020-06-26,23.95522
2020-06-27,17.98507
2020-06-28,13.02238
2020-06-29,26.45522
2020-06-30,24.62686
2020-07-01,21.82835
2020-07-02,22.53731
2020-07-03,21.00746
2020-07-04,21.79104
2020-07-05,15.70895
2020-07-06,25.82089
2020-07-07,28.88059
2020-07-08,25.67164
2020-07-09,26.26865
2020-07-10,23.28358
2020-07-11,16.38059
2020-07-12,29.47761
2020-07-13,47.57462
2020-07-14,33.99253
2020-07-15,29.14179
2020-07-16,26.60447
2020-07-17,25.67164
2020-07-18,18.58208
2020-07-19,16.19402
2020-07-20,26.19402
2020-07-21,25.41044
2020-07-22,24.29104
2020-07-23,25.0
2020-07-24,24.1791
2020-07-25,15.74626
2020-07-26,13.6194
2020-07-27,24.06716
2020-07-28,26.08208
2020-07-29,23.47014
2020-07-30,23.17164
2020-07-31,20.44776
2020-08-01,14.29104
2020-08-02,14.44029
2020-08-03,24.88805
2020-08-04,26.6791
2020-08-05,23.95522
2020-08-06,21.86567
2020-08-07,22.83582
2020-08-08,14.96268
2020-08-09,16.79104
2020-08-10,24.25373
2020-08-11,24.32835
2020-08-12,23.95522
2020-08-13,24.1791
2020-08-14,21.34328
2020-08-15,14.44029
2020-08-16,11.60447
2020-08-17,17.27611
2020-08-18,23.02238
2020-08-19,23.20895
2020-08-20,21.60447
2020-08-21,21.1194
2020-08-22,15.74626
2020-08-23,13.47014
2020-08-24,23.88059
2020-08-25,25.82089
2020-08-26,25.48507
2020-08-27,24.40298
2020-08-28,21.79104
2020-08-29,12.98507
2020-08-30,12.68656
2020-08-31,23.88059
2020-09-01,21.90298
2020-09-02,25.03731
2020-09-03,19.88805
2020-09-04,21.52985
2020-09-05,13.91791
2020-09-06,13.76865
2020-09-07,23.58208
2020-09-08,27.42537
2020-09-09,24.55223
2020-09-10,24.81343
2020-09-11,27.01492
2020-09-12,18.0597
2020-09-13,16.1194
2020-09-14,33.24626
2020-09-15,33.28358
2020-09-16,30.89552
2020-09-17,27.91044
2020-09-18,26.90298
2020-09-19,20.37313
2020-09-20,18.73134
2020-09-21,30.0
2020-09-22,25.78358
2020-09-23,26.26865
2020-09-24,23.32089
2020-09-25,19.81343
2020-09-26,13.91791
2020-09-27,11.30597
2020-09-28,21.60447
2020-09-29,17.5
2020-09-30,10.22388
2020-10-01,10.52238
2020-10-02,12.08955
2020-10-03,12.76119
2020-10-04,16.64179
2020-10-05,28.91791
2020-10-06,27.91044
2020-10-07,27.27611
2020-10-08,24.36567
2020-10-09,22.91044
2020-10-10,21.60447
2020-10-11,26.52985
2020-10-12,36.38059
2020-10-13,33.84328
2020-10-14,30.67164
2020-10-15,29.21641
2020-10-16,24.66417
2020-10-17,18.43283
2020-10-18,15.2985
2020-10-19,26.23134
2020-10-20,26.60447
2020-10-21,26.64179
2020-10-22,22.72388
2020-10-23,19.92537
2020-10-24,15.26119
2020-10-25,14.70149
2020-10-26,23.39552
2020-10-27,23.88059
2020-10-28,23.54477
2020-10-29,21.45522
2020-10-30,20.97014
2020-10-31,13.0597
2020-11-01,10.59701
2020-11-02,22.12686
2020-11-03,21.45522
2020-11-04,20.48507
2020-11-05,20.14925
2020-11-06,19.29104
