date,정보공개
2020-03-20,36.43254
2020-03-21,9.34815
2020-03-22,11.62203
2020-03-23,47.85245
2020-03-24,46.63971
2020-03-25,42.19302
2020-03-26,47.4482
2020-03-27,40.37392
2020-03-28,9.49974
2020-03-29,9.14603
2020-03-30,39.91915
2020-03-31,40.12127
2020-04-01,41.28347
2020-04-02,41.53612
2020-04-03,41.48559
2020-04-04,9.80293
2020-04-05,8.53966
2020-04-06,45.93228
2020-04-07,42.84992
2020-04-08,44.82061
2020-04-09,42.6478
2020-04-10,37.54421
2020-04-11,6.92268
2020-04-12,8.59019
2020-04-13,44.4669
2020-04-14,43.00151
2020-04-15,10.61141
2020-04-16,39.81808
2020-04-17,38.25164
2020-04-18,10.30823
2020-04-19,10.45982
2020-04-20,46.08388
2020-04-21,47.39767
2020-04-22,39.61596
2020-04-23,40.98029
2020-04-24,34.25972
2020-04-25,9.7524
2020-04-26,9.14603
2020-04-27,44.71955
2020-04-28,45.42698
2020-04-29,37.54421
2020-04-30,9.55027
2020-05-01,22.23345
2020-05-02,9.04497
2020-05-03,8.59019
2020-05-04,35.92723
2020-05-05,11.5715
2020-05-06,52.24861
2020-05-07,43.60788
2020-05-08,34.25972
2020-05-09,12.88529
2020-05-10,8.94391
2020-05-11,50.48004
2020-05-12,50.93481
2020-05-13,47.04396
2020-05-14,42.74886
2020-05-15,39.06013
2020-05-16,8.59019
2020-05-17,9.24709
2020-05-18,53.51187
2020-05-19,48.91359
2020-05-20,46.286
2020-05-21,46.53865
2020-05-22,39.71702
2020-05-23,8.59019
2020-05-24,9.7524
2020-05-25,46.63971
2020-05-26,49.51995
2020-05-27,45.93228
2020-05-28,44.51743
2020-05-29,39.81808
2020-05-30,8.99444
2020-05-31,10.10611
2020-06-01,53.30975
2020-06-02,55.17938
2020-06-03,53.76452
2020-06-04,52.19807
2020-06-05,47.85245
2020-06-06,10.9146
2020-06-07,10.15664
2020-06-08,47.4482
2020-06-09,53.15816
2020-06-10,43.60788
2020-06-11,48.50934
2020-06-12,42.54674
2020-06-13,10.15664
2020-06-14,10.35876
