date,서민형ISA
2020-03-29,1.53374
2020-03-30,4.29447
2020-03-31,1.84049
2020-04-02,2.14723
2020-04-04,1.84049
2020-04-05,2.45398
2020-04-09,1.53374
2020-04-10,1.84049
2020-04-12,2.76073
2020-04-17,2.76073
2020-05-05,1.84049
2020-05-22,1.53374
2020-06-23,1.84049
2020-07-29,1.53374
2020-08-07,1.53374
2020-08-09,1.53374
2020-09-11,1.53374
2020-10-07,1.53374
2020-11-01,1.53374
2020-11-07,4.90797
2020-11-26,1.53374
2020-12-07,1.53374
2020-12-14,1.53374
2020-12-17,1.84049
2020-12-28,1.84049
2020-12-29,1.53374
2020-12-31,1.84049
2021-01-01,1.53374
2021-01-04,4.90797
2021-01-06,1.53374
2021-01-07,3.68098
2021-01-10,1.84049
2021-01-11,1.53374
2021-01-12,1.84049
2021-01-13,1.53374
2021-01-18,4.29447
2021-01-19,1.53374
2021-01-20,2.14723
2021-01-25,3.68098
2021-01-26,1.84049
2021-01-28,2.76073
2021-02-02,1.84049
2021-02-08,3.68098
2021-02-15,3.06748
2021-02-17,3.68098
2021-02-22,4.90797
2021-02-23,9.5092
2021-02-24,1.84049
2021-02-25,11.34969
2021-02-26,6.13496
2021-02-27,2.14723
2021-02-28,1.84049
2021-03-01,4.90797
2021-03-02,6.44171
2021-03-03,7.36196
2021-03-04,7.36196
2021-03-05,5.21472
2021-03-06,1.53374
2021-03-07,3.68098
2021-03-08,5.52147
2021-03-09,7.97546
2021-03-10,5.82822
2021-03-11,7.05521
2021-03-12,9.81595
2021-03-13,6.44171
2021-03-14,6.74846
2021-03-15,10.42944
2021-03-16,15.64417
2021-03-17,8.8957
2021-03-18,5.82822
2021-03-19,5.52147
2021-03-20,4.29447
2021-03-21,7.36196
2021-03-22,15.33742
2021-03-23,12.57668
2021-03-24,9.5092
2021-03-25,11.65644
2021-03-26,9.20245
2021-03-27,4.60122
2021-03-28,9.81595
2021-03-29,11.65644
2021-03-30,17.48466
2021-03-31,18.4049
2021-04-01,19.6319
2021-04-02,15.33742
2021-04-03,10.42944
2021-04-04,6.74846
2021-04-05,11.34969
2021-04-06,13.49693
2021-04-07,18.4049
2021-04-08,15.95092
2021-04-09,13.80368
2021-04-10,9.81595
2021-04-11,9.81595
2021-04-12,22.08588
2021-04-13,22.08588
2021-04-14,21.47239
2021-04-15,13.49693
2021-04-16,19.0184
