date,의료실비
2020-03-20,27.27272
2020-03-21,15.15151
2020-03-22,10.85858
2020-03-23,33.83838
2020-03-24,32.0707
2020-03-25,32.82828
2020-03-26,38.88888
2020-03-27,27.0202
2020-03-28,17.92929
2020-03-29,13.63636
2020-03-30,37.37373
2020-03-31,27.77777
2020-04-01,28.28282
2020-04-02,24.49494
2020-04-03,21.71717
2020-04-04,14.89898
2020-04-05,13.63636
2020-04-06,27.77777
2020-04-07,29.0404
2020-04-08,22.47474
2020-04-09,26.26262
2020-04-10,30.80808
2020-04-11,13.63636
2020-04-12,13.88888
2020-04-13,31.0606
2020-04-14,27.27272
2020-04-15,15.65656
2020-04-16,25.0
2020-04-17,29.29292
2020-04-18,10.85858
2020-04-19,9.84848
2020-04-20,32.0707
2020-04-21,39.89898
2020-04-22,33.0808
2020-04-23,27.0202
2020-04-24,26.0101
2020-04-25,20.95959
2020-04-26,12.12121
2020-04-27,31.81818
2020-04-28,34.59595
2020-04-29,26.51515
2020-04-30,13.63636
2020-05-01,15.40404
2020-05-02,11.36363
2020-05-03,12.87878
2020-05-04,24.24242
2020-05-05,20.20202
2020-05-06,26.76767
2020-05-07,27.27272
2020-05-08,26.26262
2020-05-09,20.70707
2020-05-10,11.61616
2020-05-11,36.86868
2020-05-12,35.35353
2020-05-13,25.75757
2020-05-14,34.59595
2020-05-15,30.0505
2020-05-16,15.65656
2020-05-17,9.84848
2020-05-18,32.32323
2020-05-19,33.83838
2020-05-20,34.59595
2020-05-21,33.33333
2020-05-22,25.0
2020-05-23,14.39393
2020-05-24,10.60606
2020-05-25,28.28282
2020-05-26,24.49494
2020-05-27,28.28282
2020-05-28,22.22222
2020-05-29,24.49494
2020-05-30,17.92929
2020-05-31,8.58585
2020-06-01,28.28282
2020-06-02,23.73737
2020-06-03,27.52525
2020-06-04,21.21212
2020-06-05,26.51515
2020-06-06,13.88888
2020-06-07,12.87878
2020-06-08,26.51515
2020-06-09,27.27272
2020-06-10,29.54545
2020-06-11,27.52525
2020-06-12,20.95959
2020-06-13,8.83838
