date,노인학대
2020-03-20,10.27466
2020-03-21,7.32451
2020-03-22,8.95218
2020-03-23,11.49542
2020-03-24,8.74872
2020-03-25,9.86775
2020-03-26,11.19023
2020-03-27,11.59715
2020-03-28,8.24008
2020-03-29,8.03662
2020-03-30,10.98677
2020-03-31,9.56256
2020-04-01,8.95218
2020-04-02,9.46083
2020-04-03,7.73143
2020-04-04,4.88301
2020-04-05,8.34181
2020-04-06,14.44557
2020-04-07,17.80264
2020-04-08,16.37843
2020-04-09,15.15768
2020-04-10,12.71617
2020-04-11,8.13835
2020-04-12,8.95218
2020-04-13,14.44557
2020-04-14,14.24211
2020-04-15,9.15564
2020-04-16,12.00406
2020-04-17,11.49542
2020-04-18,5.39165
2020-04-19,8.34181
2020-04-20,12.10579
2020-04-21,14.44557
2020-04-22,11.59715
2020-04-23,12.91963
2020-04-24,11.0885
2020-04-25,6.40895
2020-04-26,8.74872
2020-04-27,19.22685
2020-04-28,13.53001
2020-04-29,14.95422
2020-04-30,10.98677
2020-05-01,10.07121
2020-05-02,4.57782
2020-05-03,9.66429
2020-05-04,15.15768
2020-05-05,9.3591
2020-05-06,15.15768
2020-05-07,12.71617
2020-05-08,15.15768
2020-05-09,8.34181
2020-05-10,8.54526
2020-05-11,14.85249
2020-05-12,19.53204
2020-05-13,17.19226
2020-05-14,16.78535
2020-05-15,19.7355
2020-05-16,10.68158
2020-05-17,13.93692
2020-05-18,21.26144
2020-05-19,20.04069
2020-05-20,20.4476
2020-05-21,19.7355
2020-05-22,15.97151
2020-05-23,15.97151
2020-05-24,16.17497
2020-05-25,22.07527
2020-05-26,19.83723
2020-05-27,18.92166
2020-05-28,19.02339
2020-05-29,15.36113
2020-05-30,12.8179
2020-05-31,16.48016
2020-06-01,22.99084
2020-06-02,21.26144
2020-06-03,19.83723
2020-06-04,19.43031
2020-06-05,16.68362
2020-06-06,13.02136
2020-06-07,16.48016
2020-06-08,23.9064
2020-06-09,25.33062
2020-06-10,24.21159
2020-06-11,28.68769
2020-06-12,39.36927
2020-06-13,22.38046
2020-06-14,21.66836
2020-06-15,100.0
2020-06-16,81.38351
2020-06-17,48.62665
2020-06-18,36.31739
2020-06-19,26.44964
2020-06-20,18.0061
2020-06-21,25.53407
2020-06-22,28.48423
2020-06-23,23.09257
2020-06-24,25.53407
2020-06-25,26.55137
2020-06-26,30.21363
