date,홍콩주식
2020-03-20,29.51015
2020-03-21,7.8853
2020-03-22,4.54002
2020-03-23,26.28434
2020-03-24,24.97013
2020-03-25,23.65591
2020-03-26,21.3859
2020-03-27,24.37275
2020-03-28,6.33213
2020-03-29,5.73476
2020-03-30,21.62485
2020-03-31,18.63799
2020-04-01,20.31063
2020-04-02,18.75746
2020-04-03,16.7264
2020-04-04,4.77897
2020-04-05,3.58422
2020-04-06,18.27956
2020-04-07,22.58064
2020-04-08,19.95221
2020-04-09,21.74432
2020-04-10,23.89486
2020-04-11,4.89844
2020-04-12,6.45161
2020-04-13,29.51015
2020-04-14,19.23536
2020-04-15,16.2485
2020-04-16,18.87694
2020-04-17,15.53166
2020-04-18,6.81003
2020-04-19,5.61529
2020-04-20,17.32377
2020-04-21,15.89008
2020-04-22,17.32377
2020-04-23,19.11589
2020-04-24,14.69534
2020-04-25,5.25686
2020-04-26,5.73476
2020-04-27,17.92114
2020-04-28,23.05854
2020-04-29,19.59378
2020-04-30,14.21744
2020-05-01,9.79689
2020-05-02,3.34528
2020-05-03,3.82317
2020-05-04,19.95221
2020-05-05,13.14217
2020-05-06,16.84587
2020-05-07,15.53166
2020-05-08,14.09796
2020-05-09,6.57108
2020-05-10,6.45161
2020-05-11,16.12903
2020-05-12,12.18637
2020-05-13,14.93428
2020-05-14,11.589
2020-05-15,15.53166
2020-05-16,4.89844
2020-05-17,3.94265
2020-05-18,17.68219
2020-05-19,14.21744
2020-05-20,14.45639
2020-05-21,16.96535
2020-05-22,40.14336
2020-05-23,17.2043
2020-05-24,15.89008
2020-05-25,47.67025
2020-05-26,32.61648
2020-05-27,32.37753
2020-05-28,56.75029
2020-05-29,40.26284
2020-05-30,26.40382
2020-05-31,17.32377
2020-06-01,42.05495
2020-06-02,30.34647
2020-06-03,33.21385
2020-06-04,24.25328
2020-06-05,18.87694
2020-06-06,9.79689
2020-06-07,10.63321
2020-06-08,19.11589
2020-06-09,20.07168
2020-06-10,20.54958
2020-06-11,15.41218
2020-06-12,15.89008
2020-06-13,4.65949
2020-06-14,5.37634
2020-06-15,23.17801
2020-06-16,16.36798
2020-06-17,16.84587
2020-06-18,15.29271
2020-06-19,14.93428
2020-06-20,3.94265
2020-06-21,5.85424
2020-06-22,20.908
2020-06-23,16.12903
2020-06-24,19.71326
2020-06-25,22.46117
