date,저축은행예금
2020-03-20,0.0504
2020-03-21,0.02016
2020-03-22,0.021
2020-03-23,0.04872
2020-03-24,0.03864
2020-03-25,0.042
2020-03-26,0.03864
2020-03-27,0.03948
2020-03-28,0.03528
2020-03-29,0.02268
2020-03-30,0.0504
2020-03-31,0.03528
2020-04-01,0.04956
2020-04-02,0.05712
2020-04-03,0.04368
2020-04-04,0.03612
2020-04-05,0.02604
2020-04-06,0.04452
2020-04-07,0.04116
2020-04-08,0.04452
2020-04-09,0.0294
2020-04-10,0.04536
2020-04-11,0.0168
2020-04-12,0.0294
2020-04-13,0.06216
2020-04-14,0.03696
2020-04-15,0.02688
2020-04-16,0.04452
2020-04-17,0.04368
2020-04-18,0.01932
2020-04-19,0.03108
2020-04-20,0.04116
2020-04-21,0.04872
2020-04-22,0.05208
2020-04-23,0.04788
2020-04-24,0.0462
2020-04-25,0.0252
2020-04-26,0.02772
2020-04-27,0.06132
2020-04-28,0.04536
2020-04-29,0.063
2020-04-30,0.0168
2020-05-01,0.03276
2020-05-02,0.02604
2020-05-03,0.02856
2020-05-04,0.063
2020-05-05,0.03528
2020-05-06,0.042
2020-05-07,0.04032
2020-05-08,0.03024
2020-05-09,0.02436
2020-05-10,0.0252
2020-05-11,0.03948
2020-05-12,0.03528
2020-05-13,0.0336
2020-05-14,0.02604
2020-05-15,0.03276
2020-05-16,0.0252
2020-05-17,0.021
2020-05-18,0.05292
2020-05-19,0.02856
2020-05-20,0.03864
2020-05-21,0.0294
2020-05-22,0.0294
2020-05-23,0.0126
2020-05-24,0.01512
2020-05-25,0.05208
2020-05-26,0.04872
2020-05-27,0.02604
2020-05-28,0.04368
2020-05-29,0.01344
2020-05-30,0.02688
2020-05-31,0.02604
2020-06-01,0.06216
2020-06-02,0.03612
2020-06-03,0.0336
2020-06-04,0.0252
2020-06-05,0.03192
2020-06-06,0.0168
2020-06-07,0.0168
2020-06-08,0.05544
2020-06-09,0.04368
2020-06-10,0.03276
2020-06-11,0.03444
2020-06-12,0.03444
2020-06-13,0.01848
2020-06-14,0.01764
2020-06-15,0.04284
2020-06-16,0.04032
2020-06-17,0.02268
2020-06-18,0.02604
2020-06-19,0.0252
2020-06-20,0.01512
2020-06-21,0.0126
2020-06-22,0.05208
2020-06-23,0.02856
2020-06-24,0.03444
2020-06-25,0.0336
2020-06-26,0.02856
2020-06-27,0.02688
2020-06-28,0.01596
2020-06-29,0.03696
2020-06-30,0.03192
2020-07-01,0.03612
2020-07-02,0.0336
2020-07-03,0.03696
2020-07-04,0.01764
2020-07-05,0.02016
2020-07-06,0.04536
2020-07-07,0.03192
2020-07-08,0.04956
2020-07-09,0.0336
2020-07-10,0.03612
2020-07-11,0.01512
2020-07-12,0.021
2020-07-13,0.03108
2020-07-14,0.021
2020-07-15,0.02436
2020-07-16,0.03024
2020-07-17,0.0168
2020-07-18,0.0168
2020-07-19,0.02604
2020-07-20,0.04704
2020-07-21,0.0672
2020-07-22,0.03612
2020-07-23,0.03948
2020-07-24,0.03528
2020-07-25,0.01428
2020-07-26,0.02856
2020-07-27,0.03612
2020-07-28,0.02352
2020-07-29,0.02268
2020-07-30,0.02268
2020-07-31,0.03864
2020-08-01,0.0126
2020-08-02,0.01092
2020-08-03,0.03276
2020-08-04,0.02856
2020-08-05,0.02352
2020-08-06,0.021
2020-08-07,0.03444
2020-08-08,0.00504
2020-08-09,0.01848
2020-08-10,0.03612
2020-08-11,0.03108
2020-08-12,0.02016
2020-08-13,0.03024
2020-08-14,0.0336
