date,미국달러환율
2020-03-20,100.0
2020-03-21,31.16699
2020-03-22,24.18762
2020-03-23,75.0777
2020-03-24,71.46086
2020-03-25,61.31675
2020-03-26,55.24159
2020-03-27,55.24159
2020-03-28,22.80305
2020-03-29,17.32127
2020-03-30,48.88386
2020-03-31,44.61712
2020-04-01,43.59988
2020-04-02,44.81491
2020-04-03,38.93755
2020-04-04,18.90364
2020-04-05,14.86295
2020-04-06,39.58745
2020-04-07,39.72873
2020-04-08,39.72873
2020-04-09,34.8686
2020-04-10,38.45719
2020-04-11,16.21927
2020-04-12,13.25233
2020-04-13,35.37722
2020-04-14,33.68183
2020-04-15,18.70584
2020-04-16,34.35998
2020-04-17,31.87341
2020-04-18,13.36535
2020-04-19,11.24611
2020-04-20,29.35857
2020-04-21,37.8638
2020-04-22,36.87482
2020-04-23,30.20627
2020-04-24,30.82791
2020-04-25,14.01525
2020-04-26,11.38739
2020-04-27,28.70867
2020-04-28,30.63012
2020-04-29,27.94574
2020-04-30,15.71065
2020-05-01,15.68239
2020-05-02,11.52868
2020-05-03,9.88979
2020-05-04,24.30064
2020-05-05,14.66515
2020-05-06,27.46538
2020-05-07,25.00706
2020-05-08,22.94433
2020-05-09,12.37637
2020-05-10,8.98558
2020-05-11,22.06838
2020-05-12,22.69002
2020-05-13,24.41367
2020-05-14,23.14213
2020-05-15,23.65074
2020-05-16,10.82226
2020-05-17,7.91183
2020-05-18,23.42469
2020-05-19,23.79203
2020-05-20,23.05736
2020-05-21,22.06838
2020-05-22,26.13732
2020-05-23,13.61966
2020-05-24,11.75473
2020-05-25,30.9692
2020-05-26,28.25656
2020-05-27,25.03532
2020-05-28,27.49364
2020-05-29,26.36337
2020-05-30,12.71545
2020-05-31,10.39841
2020-06-01,27.46538
2020-06-02,26.16558
2020-06-03,32.24074
2020-06-04,30.7714
2020-06-05,28.87821
2020-06-06,14.41085
2020-06-07,9.43769
2020-06-08,29.04775
2020-06-09,32.04294
2020-06-10,32.24074
2020-06-11,28.14354
2020-06-12,29.01949
