date,시황
2020-03-20,28.49099
2020-03-21,11.14864
2020-03-22,9.45945
2020-03-23,30.85585
2020-03-24,28.26576
2020-03-25,27.25225
2020-03-26,29.61711
2020-03-27,24.54954
2020-03-28,7.99549
2020-03-29,7.65765
2020-03-30,26.57657
2020-03-31,22.07207
2020-04-01,29.39189
2020-04-02,25.45045
2020-04-03,20.94594
2020-04-04,8.1081
2020-04-05,7.54504
2020-04-06,26.35135
2020-04-07,22.29729
2020-04-08,18.46846
2020-04-09,19.48198
2020-04-10,20.27027
2020-04-11,6.98198
2020-04-12,7.88288
2020-04-13,22.18468
2020-04-14,13.85135
2020-04-15,8.67117
2020-04-16,17.79279
2020-04-17,18.8063
2020-04-18,9.57207
2020-04-19,6.64414
2020-04-20,21.28378
2020-04-21,30.51801
2020-04-22,23.42342
2020-04-23,15.54054
2020-04-24,19.48198
2020-04-25,5.74324
2020-04-26,8.55855
2020-04-27,16.1036
2020-04-28,16.44144
2020-04-29,14.86486
2020-04-30,6.41891
2020-05-01,6.75675
2020-05-02,4.61711
2020-05-03,7.43243
2020-05-04,17.11711
2020-05-05,8.55855
2020-05-06,18.01801
2020-05-07,15.09009
2020-05-08,13.85135
2020-05-09,5.96846
2020-05-10,6.08108
2020-05-11,14.75225
2020-05-12,15.76576
2020-05-13,14.18918
2020-05-14,16.66666
2020-05-15,15.54054
2020-05-16,4.72972
2020-05-17,5.63063
2020-05-18,16.66666
2020-05-19,18.91891
2020-05-20,13.06306
2020-05-21,11.82432
2020-05-22,20.15765
2020-05-23,4.95495
2020-05-24,6.64414
2020-05-25,13.28828
2020-05-26,16.55405
2020-05-27,14.86486
2020-05-28,29.95495
2020-05-29,15.09009
2020-05-30,5.63063
2020-05-31,5.96846
2020-06-01,19.48198
2020-06-02,18.01801
2020-06-03,16.55405
2020-06-04,18.58108
2020-06-05,12.5
2020-06-06,5.96846
2020-06-07,6.86936
2020-06-08,18.01801
2020-06-09,22.97297
2020-06-10,18.8063
2020-06-11,21.84684
2020-06-12,20.72072
2020-06-13,6.19369
2020-06-14,6.64414
2020-06-15,49.54954
2020-06-16,24.32432
2020-06-17,20.27027
2020-06-18,18.46846
2020-06-19,13.85135
2020-06-20,5.29279
2020-06-21,5.4054
2020-06-22,14.86486
2020-06-23,14.86486
2020-06-24,14.07657
2020-06-25,18.46846
2020-06-26,10.13513
2020-06-27,5.96846
2020-06-28,5.51801
2020-06-29,16.89189
2020-06-30,16.55405
2020-07-01,18.13063
2020-07-02,13.62612
2020-07-03,10.92342
2020-07-04,6.19369
2020-07-05,6.75675
2020-07-06,17.22972
2020-07-07,20.38288
2020-07-08,15.99099
2020-07-09,16.66666
2020-07-10,12.72522
2020-07-11,5.18018
2020-07-12,5.06756
2020-07-13,13.17567
2020-07-14,15.42792
2020-07-15,16.66666
2020-07-16,16.1036
2020-07-17,13.73873
2020-07-18,4.5045
2020-07-19,3.71621
2020-07-20,14.52702
2020-07-21,13.4009
2020-07-22,17.0045
2020-07-23,15.09009
2020-07-24,18.46846
2020-07-25,6.08108
2020-07-26,7.2072
2020-07-27,16.1036
2020-07-28,17.34234
2020-07-29,16.21621
2020-07-30,12.5
2020-07-31,12.95045
2020-08-01,5.06756
2020-08-02,7.09459
2020-08-03,13.51351
2020-08-04,14.3018
2020-08-05,15.76576
2020-08-06,16.77927
2020-08-07,14.63963
