date,국고채금리
2020-03-20,100.0
2020-03-21,27.14453
2020-03-22,20.44653
2020-03-23,97.06227
2020-03-24,93.18448
2020-03-25,78.14336
2020-03-26,80.61104
2020-03-27,71.91539
2020-03-28,18.6839
2020-03-29,16.45123
2020-03-30,51.82138
2020-03-31,48.0611
2020-04-01,45.00587
2020-04-02,45.59341
2020-04-03,44.88836
2020-04-04,13.51351
2020-04-05,13.396
2020-04-06,41.71562
2020-04-07,39.95299
2020-04-08,36.42773
2020-04-09,39.60047
2020-04-10,35.01762
2020-04-11,9.04817
2020-04-12,11.16333
2020-04-13,35.01762
2020-04-14,31.96239
2020-04-15,12.45593
2020-04-16,32.54994
2020-04-17,36.0752
2020-04-18,16.45123
2020-04-19,17.97884
2020-04-20,34.66509
2020-04-21,41.24559
2020-04-22,37.13278
2020-04-23,33.3725
2020-04-24,30.55229
2020-04-25,10.6933
2020-04-26,13.74853
2020-04-27,27.26204
2020-04-28,23.61927
2020-04-29,22.32667
2020-04-30,10.6933
2020-05-01,9.51821
2020-05-02,5.28789
2020-05-03,6.46298
2020-05-04,23.14923
2020-05-05,8.81316
2020-05-06,25.14688
2020-05-07,23.14923
2020-05-08,25.02937
2020-05-09,9.98824
2020-05-10,7.87309
2020-05-11,26.90951
2020-05-12,27.61457
2020-05-13,29.49471
2020-05-14,29.14218
2020-05-15,22.32667
2020-05-16,7.16803
2020-05-17,7.63807
2020-05-18,21.85663
2020-05-19,19.38895
2020-05-20,24.0893
2020-05-21,28.31962
2020-05-22,22.6792
2020-05-23,5.64042
2020-05-24,6.34547
2020-05-25,22.56169
2020-05-26,24.44183
2020-05-27,21.73913
2020-05-28,44.65334
2020-05-29,27.96709
2020-05-30,7.28554
2020-05-31,6.34547
2020-06-01,24.67685
2020-06-02,24.20681
2020-06-03,24.44183
2020-06-04,23.85428
2020-06-05,22.44418
2020-06-06,8.22561
2020-06-07,5.52291
2020-06-08,29.25969
2020-06-09,22.20916
2020-06-10,26.90951
2020-06-11,27.49706
2020-06-12,27.02702
2020-06-13,11.51586
2020-06-14,12.57344
2020-06-15,24.20681
2020-06-16,23.61927
