date,명의이전
2020-03-20,31.28834
2020-03-21,23.31288
2020-03-22,14.11042
2020-03-23,46.01226
2020-03-24,34.35582
2020-03-25,39.8773
2020-03-26,38.6503
2020-03-27,31.90184
2020-03-28,20.85889
2020-03-29,20.85889
2020-03-30,33.74233
2020-03-31,41.71779
2020-04-01,54.60122
2020-04-02,30.06134
2020-04-03,32.51533
2020-04-04,19.6319
2020-04-05,22.69938
2020-04-06,42.33128
2020-04-07,36.80981
2020-04-08,44.17177
2020-04-09,34.96932
2020-04-10,39.8773
2020-04-11,25.15337
2020-04-12,24.53987
2020-04-13,38.6503
2020-04-14,34.96932
2020-04-15,28.22085
2020-04-16,39.8773
2020-04-17,34.96932
2020-04-18,23.31288
2020-04-19,29.44785
2020-04-20,38.6503
2020-04-21,39.2638
2020-04-22,48.46625
2020-04-23,48.46625
2020-04-24,27.60736
2020-04-25,22.69938
2020-04-26,20.85889
2020-04-27,48.46625
2020-04-28,44.17177
2020-04-29,40.49079
2020-04-30,22.69938
2020-05-01,28.83435
2020-05-02,17.79141
2020-05-03,17.79141
2020-05-04,44.17177
2020-05-05,22.69938
2020-05-06,36.19631
2020-05-07,44.17177
2020-05-08,39.2638
2020-05-09,22.08588
2020-05-10,19.6319
2020-05-11,51.53374
2020-05-12,46.01226
2020-05-13,36.80981
2020-05-14,39.2638
2020-05-15,34.35582
2020-05-16,22.69938
2020-05-17,28.22085
2020-05-18,49.69325
2020-05-19,42.94478
2020-05-20,30.06134
2020-05-21,42.33128
2020-05-22,31.90184
2020-05-23,25.15337
2020-05-24,22.69938
2020-05-25,54.60122
2020-05-26,52.14723
2020-05-27,30.06134
2020-05-28,37.42331
2020-05-29,38.6503
2020-05-30,20.85889
2020-05-31,19.0184
2020-06-01,47.23926
2020-06-02,41.71779
2020-06-03,38.0368
2020-06-04,33.12883
2020-06-05,34.35582
2020-06-06,20.24539
2020-06-07,29.44785
2020-06-08,41.71779
2020-06-09,37.42331
2020-06-10,45.39877
2020-06-11,46.01226
2020-06-12,32.51533
2020-06-13,28.83435
2020-06-14,18.4049
2020-06-15,47.85276
2020-06-16,41.71779
2020-06-17,58.2822
2020-06-18,43.55828
2020-06-19,36.80981
2020-06-20,29.44785
2020-06-21,22.08588
2020-06-22,51.53374
2020-06-23,52.76073
2020-06-24,44.17177
2020-06-25,50.92024
2020-06-26,31.90184
2020-06-27,17.79141
2020-06-28,22.08588
2020-06-29,44.78527
2020-06-30,47.23926
2020-07-01,39.2638
2020-07-02,47.85276
2020-07-03,48.46625
2020-07-04,22.69938
2020-07-05,26.99386
2020-07-06,47.85276
2020-07-07,42.33128
2020-07-08,42.94478
2020-07-09,43.55828
2020-07-10,39.2638
2020-07-11,22.08588
2020-07-12,27.60736
2020-07-13,45.39877
2020-07-14,46.01226
2020-07-15,44.78527
2020-07-16,33.12883
2020-07-17,43.55828
2020-07-18,15.95092
2020-07-19,25.15337
2020-07-20,49.69325
2020-07-21,51.53374
2020-07-22,41.10429
2020-07-23,36.19631
2020-07-24,42.94478
2020-07-25,22.08588
2020-07-26,20.24539
2020-07-27,38.6503
2020-07-28,42.33128
2020-07-29,49.07975
2020-07-30,33.74233
2020-07-31,23.31288
2020-08-01,13.49693
2020-08-02,27.60736
