date,부동산매매
2020-03-20,64.00679
2020-03-21,51.78268
2020-03-22,53.65025
2020-03-23,81.49405
2020-03-24,65.5348
2020-03-25,59.42275
2020-03-26,60.78098
2020-03-27,55.6876
2020-03-28,50.08488
2020-03-29,52.29202
2020-03-30,57.72495
2020-03-31,61.62988
2020-04-01,59.7623
2020-04-02,56.02716
2020-04-03,50.764
2020-04-04,57.55517
2020-04-05,48.38709
2020-04-06,69.43972
2020-04-07,55.51782
2020-04-08,60.78098
2020-04-09,66.3837
2020-04-10,53.31069
2020-04-11,52.97113
2020-04-12,56.87606
2020-04-13,67.91171
2020-04-14,59.7623
2020-04-15,44.99151
2020-04-16,56.5365
2020-04-17,60.6112
2020-04-18,55.34804
2020-04-19,65.87436
2020-04-20,67.57215
2020-04-21,75.55178
2020-04-22,62.81833
2020-04-23,63.66723
2020-04-24,57.21561
2020-04-25,60.78098
2020-04-26,59.93208
2020-04-27,71.13752
2020-04-28,71.47707
2020-04-29,47.87775
2020-04-30,54.15959
2020-05-01,56.87606
2020-05-02,56.87606
2020-05-03,59.7623
2020-05-04,63.49745
2020-05-05,68.76061
2020-05-06,67.74193
2020-05-07,65.02546
2020-05-08,63.32767
2020-05-09,55.51782
2020-05-10,57.72495
2020-05-11,69.43972
2020-05-12,68.08149
2020-05-13,58.23429
2020-05-14,60.27164
2020-05-15,58.74363
2020-05-16,53.65025
2020-05-17,49.40577
2020-05-18,68.25127
2020-05-19,68.25127
2020-05-20,61.4601
2020-05-21,60.44142
2020-05-22,59.08319
2020-05-23,51.6129
2020-05-24,57.55517
2020-05-25,70.11884
2020-05-26,69.94906
2020-05-27,60.10186
2020-05-28,66.3837
2020-05-29,54.8387
2020-05-30,56.5365
2020-05-31,50.25466
2020-06-01,67.57215
2020-06-02,57.38539
2020-06-03,62.81833
2020-06-04,59.42275
2020-06-05,53.98981
2020-06-06,53.14091
2020-06-07,63.32767
2020-06-08,69.10016
2020-06-09,63.83701
2020-06-10,60.27164
2020-06-11,64.34634
2020-06-12,56.19694
2020-06-13,61.4601
2020-06-14,65.36502
2020-06-15,81.32427
2020-06-16,78.77758
2020-06-17,79.28692
2020-06-18,76.57045
2020-06-19,71.81663
2020-06-20,62.47877
2020-06-21,70.11884
2020-06-22,80.98471
2020-06-23,81.32427
2020-06-24,78.94736
2020-06-25,75.55178
2020-06-26,69.77928
2020-06-27,63.66723
2020-06-28,72.49575
2020-06-29,90.32258
2020-06-30,79.11714
2020-07-01,81.15449
2020-07-02,79.4567
2020-07-03,79.96604
2020-07-04,65.19524
2020-07-05,68.42105
2020-07-06,78.26825
2020-07-07,91.17147
2020-07-08,81.32427
2020-07-09,79.11714
2020-07-10,70.96774
2020-07-11,68.93039
2020-07-12,64.51612
2020-07-13,85.90831
2020-07-14,80.64516
2020-07-15,77.41935
2020-07-16,63.83701
2020-07-17,65.70458
2020-07-18,57.38539
2020-07-19,72.32597
2020-07-20,81.15449
2020-07-21,74.02376
2020-07-22,76.57045
