date,아이폰매입
2020-03-20,34.03693
2020-03-21,24.53825
2020-03-22,23.48284
2020-03-23,33.50923
2020-03-24,40.36939
2020-03-25,41.16094
2020-03-26,40.36939
2020-03-27,33.77308
2020-03-28,31.39841
2020-03-29,26.38522
2020-03-30,43.00791
2020-03-31,36.14775
2020-04-01,36.14775
2020-04-02,36.67546
2020-04-03,35.62005
2020-04-04,20.05277
2020-04-05,21.37203
2020-04-06,32.98153
2020-04-07,43.53562
2020-04-08,38.78627
2020-04-09,32.18997
2020-04-10,39.84168
2020-04-11,25.06596
2020-04-12,25.32981
2020-04-13,39.05013
2020-04-14,38.52242
2020-04-15,25.06596
2020-04-16,52.50659
2020-04-17,46.17414
2020-04-18,37.73087
2020-04-19,29.28759
2020-04-20,49.34036
2020-04-21,44.32717
2020-04-22,31.66226
2020-04-23,39.84168
2020-04-24,31.13456
2020-04-25,31.92612
2020-04-26,26.91292
2020-04-27,40.89709
2020-04-28,41.9525
2020-04-29,52.50659
2020-04-30,28.23218
2020-05-01,34.03693
2020-05-02,24.53825
2020-05-03,24.2744
2020-05-04,41.9525
2020-05-05,31.13456
2020-05-06,60.68601
2020-05-07,49.34036
2020-05-08,37.73087
2020-05-09,34.82849
2020-05-10,26.91292
2020-05-11,46.17414
2020-05-12,40.63324
2020-05-13,42.48021
2020-05-14,38.52242
2020-05-15,39.84168
2020-05-16,36.93931
2020-05-17,31.13456
2020-05-18,45.64643
2020-05-19,45.11873
2020-05-20,51.18733
2020-05-21,38.52242
2020-05-22,36.14775
2020-05-23,28.23218
2020-05-24,28.23218
2020-05-25,35.09234
2020-05-26,36.14775
2020-05-27,34.56464
2020-05-28,37.73087
2020-05-29,31.66226
2020-05-30,26.64907
2020-05-31,21.63588
2020-06-01,34.82849
2020-06-02,31.92612
2020-06-03,36.93931
2020-06-04,33.50923
2020-06-05,26.38522
2020-06-06,19.52506
2020-06-07,21.10817
2020-06-08,29.55145
2020-06-09,34.03693
2020-06-10,31.13456
2020-06-11,29.28759
2020-06-12,25.32981
2020-06-13,29.8153
2020-06-14,20.05277
2020-06-15,35.62005
2020-06-16,32.45382
2020-06-17,30.87071
2020-06-18,30.87071
2020-06-19,25.85751
2020-06-20,19.78891
2020-06-21,17.94195
2020-06-22,34.56464
2020-06-23,39.57783
2020-06-24,31.13456
2020-06-25,30.60686
2020-06-26,31.66226
2020-06-27,27.17678
2020-06-28,20.31662
2020-06-29,23.21899
2020-06-30,26.38522
2020-07-01,25.85751
2020-07-02,27.96833
2020-07-03,21.10817
2020-07-04,16.35883
2020-07-05,18.46965
2020-07-06,24.80211
2020-07-07,27.70448
2020-07-08,30.07915
2020-07-09,25.32981
2020-07-10,20.05277
2020-07-11,20.31662
2020-07-12,18.46965
2020-07-13,30.87071
2020-07-14,36.93931
2020-07-15,26.38522
2020-07-16,23.48284
2020-07-17,23.21899
2020-07-18,25.59366
2020-07-19,13.45646
2020-07-20,25.59366
2020-07-21,34.03693
2020-07-22,28.49604
2020-07-23,22.95514
2020-07-24,27.17678
2020-07-25,19.26121
2020-07-26,21.37203
2020-07-27,31.66226
2020-07-28,27.17678
2020-07-29,21.89973
2020-07-30,29.02374
2020-07-31,22.16358
2020-08-01,20.05277
2020-08-02,17.15039
2020-08-03,22.95514
2020-08-04,33.77308
2020-08-05,24.01055
2020-08-06,24.01055
2020-08-07,20.84432
2020-08-08,18.2058
2020-08-09,19.52506
2020-08-10,26.64907
2020-08-11,29.02374
2020-08-12,32.71767
2020-08-13,22.16358
2020-08-14,22.95514
2020-08-15,17.41424
2020-08-16,17.6781
2020-08-17,21.63588
2020-08-18,30.60686
2020-08-19,25.06596
2020-08-20,30.07915
2020-08-21,33.50923
2020-08-22,28.75989
2020-08-23,22.69129
2020-08-24,31.92612
2020-08-25,32.45382
2020-08-26,26.64907
2020-08-27,26.38522
2020-08-28,22.42744
2020-08-29,21.63588
2020-08-30,20.31662
2020-08-31,21.10817
2020-09-01,25.59366
2020-09-02,28.75989
2020-09-03,26.38522
2020-09-04,25.85751
2020-09-05,30.07915
2020-09-06,23.7467
2020-09-07,20.84432
2020-09-08,32.45382
2020-09-09,25.59366
2020-09-10,27.17678
2020-09-11,24.01055
2020-09-12,24.53825
2020-09-13,16.09498
2020-09-14,25.32981
2020-09-15,30.343
2020-09-16,31.92612
2020-09-17,30.87071
2020-09-18,27.17678
2020-09-19,20.05277
2020-09-20,16.35883
2020-09-21,26.64907
2020-09-22,24.53825
2020-09-23,25.59366
2020-09-24,21.10817
2020-09-25,21.37203
2020-09-26,18.2058
2020-09-27,17.6781
2020-09-28,21.89973
2020-09-29,23.7467
2020-09-30,12.6649
2020-10-01,11.34564
2020-10-02,13.19261
2020-10-03,14.77572
2020-10-04,20.05277
2020-10-05,34.82849
2020-10-06,26.12137
2020-10-07,35.3562
2020-10-08,25.85751
2020-10-09,20.58047
2020-10-10,19.26121
2020-10-11,24.01055
2020-10-12,36.67546
2020-10-13,27.44063
2020-10-14,98.15303
2020-10-15,60.15831
2020-10-16,44.59102
2020-10-17,35.62005
2020-10-18,36.14775
2020-10-19,44.85488
2020-10-20,47.22955
2020-10-21,51.45118
2020-10-22,59.6306
2020-10-23,68.60158
2020-10-24,46.70184
2020-10-25,49.60422
2020-10-26,68.60158
2020-10-27,70.18469
2020-10-28,69.65699
2020-10-29,65.6992
2020-10-30,96.56992
2020-10-31,85.48812
2020-11-01,71.76781
2020-11-02,92.08443
2020-11-03,94.9868
2020-11-04,88.65435
2020-11-05,78.89182
2020-11-06,72.03166
2020-11-07,67.54617
2020-11-08,55.40897
2020-11-09,62.79683
2020-11-10,70.18469
2020-11-11,61.21372
2020-11-12,65.6992
2020-11-13,89.70976
2020-11-14,49.34036
2020-11-15,47.75725
2020-11-16,64.90765
2020-11-17,63.85224
2020-11-18,62.79683
2020-11-19,58.57519
2020-11-20,82.05804
2020-11-21,78.62796
2020-11-22,76.25329
2020-11-23,100.0
2020-11-24,79.15567
2020-11-25,85.48812
2020-11-26,75.19788
2020-11-27,74.67018
2020-11-28,58.57519
2020-11-29,58.04749
2020-11-30,73.87862
2020-12-01,74.93403
2020-12-02,81.26649
2020-12-03,75.98944
2020-12-04,67.81002
2020-12-05,61.21372
2020-12-06,53.0343
2020-12-07,66.49076
2020-12-08,67.01846
2020-12-09,57.51978
2020-12-10,56.99208
2020-12-11,48.81266
2020-12-12,44.32717
2020-12-13,35.09234
2020-12-14,49.60422
2020-12-15,51.71503
2020-12-16,43.79947
2020-12-17,46.43799
2020-12-18,45.64643
2020-12-19,45.64643
2020-12-20,36.4116
2020-12-21,57.51978
2020-12-22,49.60422
2020-12-23,46.70184
2020-12-24,35.09234
2020-12-25,29.8153
2020-12-26,33.77308
2020-12-27,31.39841
2020-12-28,47.22955
2020-12-29,50.13192
2020-12-30,46.70184
2020-12-31,32.18997
2021-01-01,23.48284
2021-01-02,43.53562
2021-01-03,28.23218
2021-01-04,50.39577
2021-01-05,37.99472
2021-01-06,46.17414
2021-01-07,39.05013
2021-01-08,44.32717
2021-01-09,37.46701
2021-01-10,41.9525
2021-01-11,45.38258
2021-01-12,41.68865
2021-01-13,47.22955
2021-01-14,49.86807
2021-01-15,46.43799
2021-01-16,40.63324
2021-01-17,35.09234
2021-01-18,41.4248
2021-01-19,41.4248
2021-01-20,35.09234
2021-01-21,43.27176
2021-01-22,28.75989
2021-01-23,34.82849
2021-01-24,26.91292
2021-01-25,55.14511
2021-01-26,35.8839
2021-01-27,38.52242
2021-01-28,31.39841
2021-01-29,40.10554
2021-01-30,34.03693
2021-01-31,32.45382
