date,옵션거래
2020-03-20,64.4186
2020-03-21,52.55813
2020-03-22,38.8372
2020-03-23,37.2093
2020-03-24,37.67441
2020-03-25,36.27906
2020-03-26,26.04651
2020-03-27,23.72093
2020-03-28,24.18604
2020-03-29,22.09302
2020-03-30,25.11627
2020-03-31,23.02325
2020-04-01,27.67441
2020-04-02,23.72093
2020-04-03,30.69767
2020-04-04,26.97674
2020-04-05,27.44186
2020-04-06,29.30232
2020-04-07,40.69767
2020-04-08,63.72093
2020-04-09,59.76744
2020-04-10,27.44186
2020-04-11,19.53488
2020-04-12,22.09302
2020-04-13,20.0
2020-04-14,13.25581
2020-04-15,12.79069
2020-04-16,13.25581
2020-04-17,20.69767
2020-04-18,13.72093
2020-04-19,13.72093
2020-04-20,19.53488
2020-04-21,29.76744
2020-04-22,27.2093
2020-04-23,24.18604
2020-04-24,13.72093
2020-04-25,14.4186
2020-04-26,14.18604
2020-04-27,15.34883
2020-04-28,13.25581
2020-04-29,16.04651
2020-04-30,13.02325
2020-05-01,13.95348
2020-05-02,12.55813
2020-05-03,10.46511
2020-05-04,12.55813
2020-05-05,14.4186
2020-05-06,16.27906
2020-05-07,11.6279
2020-05-08,15.58139
2020-05-09,10.46511
2020-05-10,8.37209
2020-05-11,11.16279
2020-05-12,21.39534
2020-05-13,27.44186
2020-05-14,31.16279
2020-05-15,20.93023
2020-05-16,12.32558
2020-05-17,13.02325
2020-05-18,9.30232
2020-05-19,20.23255
2020-05-20,19.06976
2020-05-21,13.25581
2020-05-22,12.09302
2020-05-23,9.30232
2020-05-24,12.79069
2020-05-25,12.79069
2020-05-26,13.72093
2020-05-27,17.2093
2020-05-28,10.69767
2020-05-29,12.32558
2020-05-30,12.32558
2020-05-31,7.67441
2020-06-01,8.37209
2020-06-02,9.76744
2020-06-03,26.74418
2020-06-04,31.39534
2020-06-05,24.4186
2020-06-06,23.95348
2020-06-07,24.18604
2020-06-08,30.46511
2020-06-09,39.53488
2020-06-10,47.90697
