date,주식장외거래
2020-11-07,3.55515
2020-11-08,2.55241
2020-11-09,13.49134
2020-11-10,17.68459
2020-11-11,18.41385
2020-11-12,16.95533
2020-11-13,17.59343
2020-11-14,4.37556
2020-11-15,4.55788
2020-11-16,18.68732
2020-11-17,25.25068
2020-11-18,21.42206
2020-11-19,19.78122
2020-11-20,18.14038
2020-11-21,7.56608
2020-11-22,9.84503
2020-11-23,22.15132
2020-11-24,19.87237
2020-11-25,20.41932
2020-11-26,17.31996
2020-11-27,15.04102
2020-11-28,6.19872
2020-11-29,6.19872
2020-11-30,28.4412
2020-12-01,21.05742
2020-12-02,20.51048
2020-12-03,25.34184
2020-12-04,19.14311
2020-12-05,6.38103
2020-12-06,6.47219
2020-12-07,21.87784
2020-12-08,20.96627
2020-12-09,18.14038
2020-12-10,19.87237
2020-12-11,18.77848
2020-12-12,7.65724
2020-12-13,5.28714
2020-12-14,14.03828
2020-12-15,16.77301
2020-12-16,19.05195
2020-12-17,21.51321
2020-12-18,19.69006
2020-12-19,8.3865
2020-12-20,6.10756
2020-12-21,19.05195
2020-12-22,20.41932
2020-12-23,22.78942
2020-12-24,18.14038
2020-12-25,7.93072
2020-12-26,4.10209
2020-12-27,5.56061
2020-12-28,25.52415
2020-12-29,26.80036
2020-12-30,23.88331
2020-12-31,9.93618
2021-01-01,4.37556
2021-01-02,4.7402
2021-01-03,9.57155
2021-01-04,26.89152
2021-01-05,36.1896
2021-01-06,31.54056
2021-01-07,31.72288
2021-01-08,44.21148
2021-01-09,15.31449
2021-01-10,18.68732
2021-01-11,43.20875
2021-01-12,34.63992
2021-01-13,36.73655
2021-01-14,39.47128
2021-01-15,30.08204
2021-01-16,7.47493
2021-01-17,7.29261
2021-01-18,25.52415
2021-01-19,43.75569
2021-01-20,41.93254
2021-01-21,73.56426
2021-01-22,47.12853
2021-01-23,16.13491
2021-01-24,11.8505
2021-01-25,34.18413
2021-01-26,30.8113
2021-01-27,35.46034
2021-01-28,26.98268
2021-01-29,28.98814
2021-01-30,8.20419
2021-01-31,7.47493
2021-02-01,20.60164
2021-02-02,20.96627
2021-02-03,27.52962
2021-02-04,26.43573
2021-02-05,21.87784
2021-02-06,9.57155
2021-02-07,7.83956
2021-02-08,25.15952
2021-02-09,23.33637
2021-02-10,29.99088
2021-02-11,9.66271
2021-02-12,11.30355
2021-02-13,8.75113
2021-02-14,11.12123
2021-02-15,26.98268
2021-02-16,30.72014
2021-02-17,28.25888
2021-02-18,30.26435
2021-02-19,24.70373
2021-02-20,10.66545
2021-02-21,8.11303
