date,3D프린터가격
2020-03-20,21.52777
2020-03-21,12.5
2020-03-22,15.27777
2020-03-23,26.38888
2020-03-24,21.52777
2020-03-25,18.40277
2020-03-26,18.40277
2020-03-27,22.22222
2020-03-28,24.30555
2020-03-29,25.34722
2020-03-30,23.61111
2020-03-31,17.70833
2020-04-01,22.91666
2020-04-02,18.05555
2020-04-03,19.79166
2020-04-04,15.97222
2020-04-05,23.26388
2020-04-06,19.44444
2020-04-07,15.97222
2020-04-08,24.65277
2020-04-09,23.95833
2020-04-10,19.79166
2020-04-11,24.30555
2020-04-12,29.51388
2020-04-13,31.59722
2020-04-14,31.25
2020-04-15,20.48611
2020-04-16,29.16666
2020-04-17,21.52777
2020-04-18,15.625
2020-04-19,15.97222
2020-04-20,26.38888
2020-04-21,19.44444
2020-04-22,20.48611
2020-04-23,16.66666
2020-04-24,25.34722
2020-04-25,18.75
2020-04-26,19.09722
2020-04-27,15.625
2020-04-28,17.70833
2020-04-29,19.09722
2020-04-30,17.01388
2020-05-01,12.84722
2020-05-02,21.875
2020-05-03,15.27777
2020-05-04,19.44444
2020-05-05,20.83333
2020-05-06,19.44444
2020-05-07,18.40277
2020-05-08,22.91666
2020-05-09,20.83333
2020-05-10,18.75
2020-05-11,21.875
2020-05-12,19.79166
2020-05-13,20.83333
2020-05-14,20.83333
2020-05-15,26.38888
2020-05-16,18.40277
2020-05-17,12.84722
2020-05-18,18.05555
2020-05-19,15.97222
2020-05-20,22.56944
2020-05-21,14.58333
2020-05-22,16.31944
2020-05-23,11.45833
2020-05-24,13.88888
2020-05-25,17.36111
2020-05-26,23.61111
2020-05-27,22.22222
2020-05-28,18.05555
2020-05-29,20.48611
2020-05-30,15.27777
2020-05-31,10.41666
2020-06-01,18.40277
2020-06-02,23.95833
2020-06-03,15.625
2020-06-04,20.13888
2020-06-05,12.84722
2020-06-06,8.68055
2020-06-07,13.54166
2020-06-08,13.54166
2020-06-09,18.40277
2020-06-10,14.93055
2020-06-11,21.52777
2020-06-12,14.23611
2020-06-13,13.19444
2020-06-14,11.11111
2020-06-15,14.58333
2020-06-16,17.01388
2020-06-17,13.88888
2020-06-18,15.97222
2020-06-19,13.54166
2020-06-20,11.11111
2020-06-21,12.5
2020-06-22,16.31944
2020-06-23,12.84722
2020-06-24,14.23611
2020-06-25,10.76388
2020-06-26,9.02777
2020-06-27,9.02777
2020-06-28,9.02777
2020-06-29,11.80555
2020-06-30,11.45833
2020-07-01,14.93055
2020-07-02,20.48611
2020-07-03,13.54166
2020-07-04,11.80555
2020-07-05,10.41666
2020-07-06,15.27777
2020-07-07,13.88888
2020-07-08,12.5
2020-07-09,16.66666
2020-07-10,13.88888
2020-07-11,11.45833
2020-07-12,9.72222
2020-07-13,11.11111
2020-07-14,14.58333
2020-07-15,17.01388
2020-07-16,9.72222
2020-07-17,10.76388
2020-07-18,8.33333
2020-07-19,13.54166
2020-07-20,12.84722
2020-07-21,19.79166
2020-07-22,11.80555
2020-07-23,16.66666
2020-07-24,10.76388
2020-07-25,10.41666
2020-07-26,10.06944
2020-07-27,12.15277
2020-07-28,15.625
2020-07-29,14.58333
2020-07-30,10.76388
