date,오늘주식시세
2020-03-20,100.0
2020-03-21,14.47682
2020-03-22,5.99617
2020-03-23,92.35547
2020-03-24,94.29049
2020-03-25,87.2193
2020-03-26,93.31103
2020-03-27,85.16483
2020-03-28,11.20401
2020-03-29,5.7095
2020-03-30,76.6364
2020-03-31,66.67462
2020-04-01,73.05303
2020-04-02,72.86192
2020-04-03,59.60344
2020-04-04,9.19732
2020-04-05,4.10893
2020-04-06,57.14285
2020-04-07,58.12231
2020-04-08,58.28953
2020-04-09,53.15336
2020-04-10,53.70281
2020-04-11,6.66507
2020-04-12,4.06115
2020-04-13,50.215
2020-04-14,43.50215
2020-04-15,11.39512
2020-04-16,47.96942
2020-04-17,44.95938
2020-04-18,6.92785
2020-04-19,2.74725
2020-04-20,45.50883
2020-04-21,54.92116
2020-04-22,53.15336
2020-04-23,45.93884
2020-04-24,43.93215
2020-04-25,6.95174
2020-04-26,3.24892
2020-04-27,38.81987
2020-04-28,41.04156
2020-04-29,34.66316
2020-04-30,7.35785
2020-05-01,10.96512
2020-05-02,4.25226
2020-05-03,2.1978
2020-05-04,37.38652
2020-05-05,7.07118
2020-05-06,33.8987
2020-05-07,35.2365
2020-05-08,30.26755
2020-05-09,4.53893
2020-05-10,2.10224
2020-05-11,31.96368
2020-05-12,33.44481
2020-05-13,33.06258
2020-05-14,34.49593
2020-05-15,32.72814
2020-05-16,4.65838
2020-05-17,2.00668
2020-05-18,29.40754
2020-05-19,35.95317
2020-05-20,31.98757
2020-05-21,32.5848
2020-05-22,33.6837
2020-05-23,5.0645
2020-05-24,2.03057
2020-05-25,30.387
2020-05-26,32.7998
2020-05-27,35.06927
2020-05-28,38.60487
2020-05-29,31.74868
2020-05-30,3.77448
2020-05-31,1.76779
2020-06-01,32.51313
2020-06-02,32.82369
2020-06-03,38.89154
2020-06-04,37.57763
2020-06-05,34.30482
2020-06-06,3.98948
2020-06-07,2.69947
2020-06-08,39.10654
2020-06-09,38.36598
2020-06-10,35.69039
2020-06-11,37.36263
2020-06-12,44.50549
2020-06-13,5.08838
2020-06-14,2.24558
2020-06-15,54.32393
2020-06-16,50.19111
2020-06-17,48.6622
2020-06-18,40.65934
2020-06-19,36.95652
2020-06-20,4.08504
2020-06-21,1.76779
2020-06-22,30.76923
2020-06-23,32.5848
2020-06-24,33.39703
2020-06-25,36.95652
2020-06-26,29.16865
2020-06-27,4.6106
2020-06-28,1.93502
2020-06-29,32.51313
2020-06-30,30.96034
2020-07-01,32.25035
2020-07-02,28.95365
2020-07-03,29.0731
2020-07-04,4.30004
2020-07-05,2.12613
2020-07-06,30.76923
2020-07-07,34.49593
2020-07-08,31.17534
2020-07-09,30.50645
2020-07-10,28.16531
2020-07-11,3.65504
2020-07-12,2.05446
2020-07-13,31.10367
2020-07-14,31.41423
2020-07-15,31.82035
2020-07-16,36.04873
2020-07-17,31.74868
2020-07-18,4.37171
2020-07-19,2.34113
2020-07-20,31.98757
2020-07-21,34.1376
2020-07-22,35.4515
2020-07-23,34.97372
2020-07-24,34.47204
2020-07-25,3.98948
2020-07-26,2.34113
2020-07-27,29.69421
2020-07-28,31.50979
2020-07-29,34.28093
2020-07-30,34.40038
2020-07-31,32.25035
2020-08-01,3.96559
2020-08-02,2.29335
2020-08-03,30.26755
2020-08-04,30.21978
2020-08-05,33.0387
2020-08-06,33.99426
2020-08-07,38.05542
2020-08-08,4.75394
2020-08-09,2.89058
2020-08-10,32.60869
2020-08-11,35.30817
2020-08-12,41.63879
2020-08-13,36.64596
2020-08-14,39.56043
2020-08-15,4.10893
2020-08-16,2.29335
2020-08-17,22.59913
2020-08-18,40.01433
2020-08-19,34.16149
2020-08-20,42.18824
2020-08-21,38.27042
2020-08-22,5.11227
2020-08-23,2.53225
2020-08-24,33.56426
2020-08-25,32.01146
2020-08-26,34.32871
2020-08-27,33.18203
2020-08-28,29.98088
2020-08-29,3.82226
2020-08-30,2.26946
2020-08-31,31.00812
2020-09-01,30.172
2020-09-02,28.02197
2020-09-03,27.47252
2020-09-04,35.33205
2020-09-05,4.77783
2020-09-06,1.91113
2020-09-07,29.2881
2020-09-08,31.43812
2020-09-09,36.38318
2020-09-10,30.817
