date,동진쎄미켐주가
2020-03-20,4.98988
2020-03-21,0.45989
2020-03-22,0.29433
2020-03-23,4.4564
2020-03-24,6.63171
2020-03-25,5.96026
2020-03-26,5.67972
2020-03-27,5.43138
2020-03-28,0.52888
2020-03-29,0.4231
2020-03-30,4.0057
2020-03-31,4.02409
2020-04-01,3.95971
2020-04-02,3.61019
2020-04-03,3.21927
2020-04-04,0.31732
2020-04-05,0.28973
2020-04-06,3.71136
2020-04-07,4.13907
2020-04-08,3.5274
2020-04-09,3.12729
2020-04-10,2.96633
2020-04-11,0.29893
2020-04-12,0.26674
2020-04-13,2.87895
2020-04-14,2.78237
2020-04-15,0.64385
2020-04-16,3.24227
2020-04-17,3.22847
2020-04-18,0.77722
2020-04-19,0.40011
2020-04-20,4.38281
2020-04-21,3.60559
2020-04-22,4.04249
2020-04-23,3.84473
2020-04-24,2.96173
2020-04-25,0.36331
2020-04-26,0.32652
2020-04-27,3.68377
2020-04-28,2.92954
2020-04-29,5.00827
2020-04-30,1.02097
2020-05-01,0.92899
2020-05-02,0.67144
2020-05-03,0.8922
2020-05-04,6.02924
2020-05-05,0.91519
2020-05-06,5.39919
2020-05-07,7.24797
2020-05-08,6.6823
2020-05-09,1.25091
2020-05-10,0.8554
2020-05-11,7.07781
2020-05-12,6.61331
2020-05-13,7.32615
2020-05-14,6.20401
2020-05-15,9.95217
2020-05-16,1.20952
2020-05-17,1.14514
2020-05-18,7.1422
2020-05-19,11.05132
2020-05-20,9.96136
2020-05-21,12.08149
2020-05-22,8.9082
2020-05-23,1.10835
2020-05-24,0.89679
2020-05-25,8.9036
2020-05-26,7.50091
2020-05-27,6.95824
2020-05-28,7.01342
2020-05-29,7.46872
2020-05-30,0.8554
2020-05-31,0.97958
2020-06-01,7.65268
2020-06-02,14.67531
2020-06-03,13.66813
2020-06-04,12.55978
2020-06-05,16.0504
2020-06-06,2.44665
2020-06-07,2.45125
2020-06-08,12.69775
2020-06-09,14.37637
2020-06-10,12.33903
2020-06-11,16.24816
2020-06-12,14.20621
2020-06-13,1.21872
2020-06-14,0.84621
2020-06-15,12.0309
2020-06-16,11.98951
2020-06-17,12.29304
2020-06-18,16.36773
2020-06-19,22.02906
2020-06-20,2.77777
2020-06-21,2.34087
2020-06-22,22.3004
2020-06-23,19.90434
2020-06-24,36.39164
2020-06-25,42.20934
2020-06-26,35.10853
2020-06-27,4.17586
2020-06-28,3.21467
2020-06-29,39.49135
2020-06-30,37.05849
2020-07-01,30.02667
2020-07-02,30.23822
2020-07-03,30.75331
2020-07-04,3.71596
2020-07-05,2.38686
2020-07-06,32.29856
2020-07-07,32.63428
2020-07-08,29.73693
2020-07-09,33.80242
2020-07-10,49.32395
2020-07-11,5.83149
2020-07-12,4.4242
2020-07-13,39.18782
2020-07-14,34.17954
2020-07-15,31.41096
2020-07-16,28.1227
2020-07-17,28.85393
2020-07-18,2.92494
2020-07-19,2.44205
2020-07-20,29.58977
2020-07-21,26.7568
2020-07-22,36.44223
2020-07-23,31.32358
2020-07-24,25.76802
2020-07-25,2.2259
2020-07-26,2.03734
2020-07-27,29.47019
2020-07-28,30.94186
2020-07-29,34.72222
2020-07-30,32.45493
2020-07-31,25.80941
2020-08-01,5.07726
2020-08-02,4.85191
2020-08-03,36.71817
2020-08-04,33.98638
2020-08-05,38.67273
2020-08-06,40.55371
2020-08-07,38.57155
2020-08-08,4.52998
2020-08-09,4.76913
2020-08-10,38.11166
2020-08-11,30.39459
2020-08-12,29.8887
