date,보험청구서류
2020-03-20,10.10526
2020-03-21,3.57894
2020-03-22,3.15789
2020-03-23,13.89473
2020-03-24,13.47368
2020-03-25,9.68421
2020-03-26,12.63157
2020-03-27,10.73684
2020-03-28,7.36842
2020-03-29,2.94736
2020-03-30,12.8421
2020-03-31,10.10526
2020-04-01,6.52631
2020-04-02,10.31578
2020-04-03,9.26315
2020-04-04,5.89473
2020-04-05,1.47368
2020-04-06,12.21052
2020-04-07,12.8421
2020-04-08,12.21052
2020-04-09,8.8421
2020-04-10,11.36842
2020-04-11,3.78947
2020-04-12,4.42105
2020-04-13,10.31578
2020-04-14,9.68421
2020-04-15,6.10526
2020-04-16,12.63157
2020-04-17,7.78947
2020-04-18,5.26315
2020-04-19,3.15789
2020-04-20,13.89473
2020-04-21,11.57894
2020-04-22,10.94736
2020-04-23,10.52631
2020-04-24,10.73684
2020-04-25,5.68421
2020-04-26,5.89473
2020-04-27,13.89473
2020-04-28,15.15789
2020-04-29,11.78947
2020-04-30,2.31578
2020-05-01,9.89473
2020-05-02,6.52631
2020-05-03,4.21052
2020-05-04,14.52631
2020-05-05,6.73684
2020-05-06,11.36842
2020-05-07,9.05263
2020-05-08,14.31578
2020-05-09,5.68421
2020-05-10,3.15789
2020-05-11,13.47368
2020-05-12,12.42105
2020-05-13,10.31578
2020-05-14,13.47368
2020-05-15,13.68421
2020-05-16,6.94736
2020-05-17,4.63157
2020-05-18,13.26315
2020-05-19,10.94736
2020-05-20,9.05263
2020-05-21,11.57894
2020-05-22,11.57894
2020-05-23,7.36842
2020-05-24,3.15789
2020-05-25,15.57894
2020-05-26,8.42105
2020-05-27,11.15789
2020-05-28,11.57894
2020-05-29,10.73684
2020-05-30,6.31578
2020-05-31,3.78947
2020-06-01,9.47368
2020-06-02,15.15789
2020-06-03,15.15789
2020-06-04,12.0
2020-06-05,13.89473
2020-06-06,4.8421
2020-06-07,4.21052
2020-06-08,17.89473
2020-06-09,11.57894
2020-06-10,11.36842
2020-06-11,8.8421
2020-06-12,11.15789
2020-06-13,8.63157
2020-06-14,4.0
2020-06-15,12.8421
2020-06-16,14.73684
2020-06-17,12.0
2020-06-18,11.15789
2020-06-19,9.47368
2020-06-20,7.78947
2020-06-21,5.47368
2020-06-22,14.31578
2020-06-23,10.52631
2020-06-24,10.31578
2020-06-25,11.57894
2020-06-26,15.57894
2020-06-27,6.31578
2020-06-28,1.89473
2020-06-29,14.52631
2020-06-30,11.57894
2020-07-01,9.05263
2020-07-02,9.47368
2020-07-03,11.78947
2020-07-04,8.8421
2020-07-05,6.10526
2020-07-06,12.63157
2020-07-07,11.78947
2020-07-08,10.31578
2020-07-09,9.26315
2020-07-10,12.8421
2020-07-11,7.57894
2020-07-12,7.15789
2020-07-13,16.63157
2020-07-14,14.31578
2020-07-15,9.26315
2020-07-16,11.57894
2020-07-17,7.15789
2020-07-18,9.89473
2020-07-19,4.21052
2020-07-20,15.15789
2020-07-21,11.57894
2020-07-22,13.89473
2020-07-23,12.8421
2020-07-24,11.57894
2020-07-25,6.31578
2020-07-26,4.8421
2020-07-27,11.15789
2020-07-28,13.05263
2020-07-29,10.52631
2020-07-30,12.0
2020-07-31,12.0
2020-08-01,6.73684
2020-08-02,4.42105
2020-08-03,14.31578
2020-08-04,11.78947
2020-08-05,14.73684
2020-08-06,13.47368
2020-08-07,14.94736
2020-08-08,9.05263
2020-08-09,6.31578
2020-08-10,18.94736
2020-08-11,14.31578
2020-08-12,14.31578
2020-08-13,13.89473
2020-08-14,12.21052
2020-08-15,3.78947
2020-08-16,5.26315
2020-08-17,11.57894
2020-08-18,12.42105
2020-08-19,15.78947
2020-08-20,12.0
2020-08-21,11.57894
2020-08-22,6.52631
2020-08-23,2.73684
2020-08-24,12.21052
2020-08-25,12.63157
2020-08-26,14.73684
2020-08-27,10.52631
2020-08-28,11.57894
2020-08-29,3.57894
2020-08-30,4.21052
2020-08-31,13.47368
2020-09-01,13.89473
2020-09-02,13.89473
2020-09-03,9.89473
2020-09-04,15.36842
2020-09-05,8.42105
2020-09-06,3.15789
2020-09-07,12.8421
2020-09-08,16.8421
2020-09-09,12.63157
2020-09-10,9.89473
2020-09-11,12.42105
2020-09-12,12.21052
2020-09-13,4.8421
2020-09-14,13.89473
2020-09-15,10.31578
2020-09-16,11.15789
2020-09-17,13.68421
2020-09-18,11.78947
2020-09-19,8.63157
2020-09-20,5.47368
2020-09-21,15.78947
2020-09-22,13.68421
2020-09-23,13.05263
2020-09-24,12.21052
2020-09-25,12.0
2020-09-26,6.73684
2020-09-27,5.89473
2020-09-28,16.21052
2020-09-29,13.68421
2020-09-30,4.42105
2020-10-01,2.73684
