date,카드발급이벤트
2020-03-24,5.74712
2020-03-28,5.74712
2020-03-29,5.74712
2020-04-01,8.04597
2020-04-09,5.74712
2020-04-17,6.89655
2020-04-18,6.89655
2020-04-22,6.89655
2020-05-01,10.34482
2020-05-04,8.04597
2020-05-05,10.34482
2020-05-06,10.34482
2020-05-08,14.94252
2020-05-10,6.89655
2020-05-12,8.04597
2020-05-15,6.89655
2020-05-20,6.89655
2020-05-22,5.74712
2020-05-25,6.89655
2020-06-01,6.89655
2020-06-02,10.34482
2020-06-04,8.04597
2020-06-05,9.1954
2020-06-06,6.89655
2020-06-07,5.74712
2020-06-08,6.89655
2020-06-10,8.04597
2020-06-11,9.1954
2020-06-14,8.04597
2020-06-15,10.34482
2020-06-16,11.49425
2020-06-18,17.24137
2020-06-20,6.89655
2020-06-21,5.74712
2020-06-22,6.89655
2020-06-23,8.04597
2020-06-25,10.34482
2020-06-28,9.1954
2020-06-30,5.74712
2020-07-01,27.5862
2020-07-02,12.64367
2020-07-03,8.04597
2020-07-04,5.74712
2020-07-05,5.74712
2020-07-06,16.09195
2020-07-09,5.74712
2020-07-10,5.74712
2020-07-14,6.89655
2020-07-19,5.74712
2020-07-20,11.49425
2020-07-21,6.89655
2020-07-22,11.49425
2020-07-23,6.89655
2020-07-24,10.34482
2020-07-25,11.49425
2020-07-26,9.1954
2020-07-29,6.89655
2020-07-30,10.34482
2020-07-31,16.09195
2020-08-01,11.49425
2020-08-02,8.04597
2020-08-03,26.43678
2020-08-04,10.34482
2020-08-05,13.7931
2020-08-06,8.04597
2020-08-07,16.09195
2020-08-08,8.04597
2020-08-09,8.04597
2020-08-10,8.04597
2020-08-11,17.24137
2020-08-12,9.1954
2020-08-14,10.34482
2020-08-15,11.49425
2020-08-17,5.74712
2020-08-18,11.49425
2020-08-20,9.1954
2020-08-21,6.89655
2020-08-22,12.64367
2020-08-23,10.34482
2020-08-25,6.89655
2020-08-27,13.7931
2020-08-28,8.04597
2020-08-30,6.89655
2020-08-31,10.34482
2020-09-01,20.68965
2020-09-02,19.54022
2020-09-03,9.1954
2020-09-04,6.89655
2020-09-05,5.74712
2020-09-06,6.89655
2020-09-09,5.74712
2020-09-10,17.24137
2020-09-11,6.89655
2020-09-12,9.1954
2020-09-15,6.89655
2020-09-16,11.49425
2020-09-17,6.89655
2020-09-19,10.34482
2020-09-20,9.1954
2020-09-21,6.89655
2020-09-22,12.64367
2020-09-24,6.89655
2020-09-25,8.04597
2020-09-26,11.49425
2020-09-27,10.34482
2020-09-30,6.89655
2020-10-01,18.3908
2020-10-02,17.24137
2020-10-03,10.34482
2020-10-04,16.09195
2020-10-05,10.34482
2020-10-06,12.64367
2020-10-07,9.1954
2020-10-08,13.7931
2020-10-09,8.04597
2020-10-10,10.34482
2020-10-12,10.34482
2020-10-13,5.74712
2020-10-14,13.7931
2020-10-15,8.04597
2020-10-17,10.34482
2020-10-18,5.74712
2020-10-19,10.34482
2020-10-21,12.64367
2020-10-22,6.89655
2020-10-23,5.74712
2020-10-26,8.04597
2020-10-27,9.1954
2020-10-30,5.74712
2020-10-31,5.74712
2020-11-01,11.49425
2020-11-02,5.74712
2020-11-03,14.94252
2020-11-04,9.1954
2020-11-07,5.74712
2020-11-09,10.34482
2020-11-11,16.09195
2020-11-14,11.49425
2020-11-17,10.34482
2020-11-18,12.64367
2020-11-19,12.64367
2020-11-20,11.49425
2020-11-21,8.04597
2020-11-22,5.74712
