date,메리츠화재보험
2020-03-20,43.71257
2020-03-21,15.56886
2020-03-22,15.36926
2020-03-23,53.09381
2020-03-24,50.0998
2020-03-25,46.90618
2020-03-26,43.51297
2020-03-27,36.12774
2020-03-28,17.16566
2020-03-29,11.17764
2020-03-30,52.89421
2020-03-31,48.50299
2020-04-01,40.11976
2020-04-02,37.12574
2020-04-03,34.93013
2020-04-04,14.57085
2020-04-05,13.17365
2020-04-06,40.11976
2020-04-07,39.72055
2020-04-08,33.93213
2020-04-09,43.31337
2020-04-10,36.12774
2020-04-11,11.37724
2020-04-12,11.37724
2020-04-13,44.31137
2020-04-14,40.91816
2020-04-15,17.76447
2020-04-16,34.33133
2020-04-17,37.92415
2020-04-18,11.77644
2020-04-19,10.77844
2020-04-20,42.91417
2020-04-21,46.70658
2020-04-22,45.90818
2020-04-23,49.30139
2020-04-24,40.11976
2020-04-25,15.16966
2020-04-26,10.97804
2020-04-27,44.31137
2020-04-28,46.50698
2020-04-29,50.499
2020-04-30,16.16766
2020-05-01,18.36327
2020-05-02,10.97804
2020-05-03,13.17365
2020-05-04,49.10179
2020-05-05,21.55688
2020-05-06,53.29341
2020-05-07,45.10978
2020-05-08,38.32335
2020-05-09,16.56686
2020-05-10,13.17365
2020-05-11,51.6966
2020-05-12,53.29341
2020-05-13,42.31536
2020-05-14,46.10778
2020-05-15,44.91017
2020-05-16,16.76646
2020-05-17,13.37325
2020-05-18,48.90219
2020-05-19,46.30738
2020-05-20,44.71057
2020-05-21,48.50299
2020-05-22,39.32135
2020-05-23,20.15968
2020-05-24,13.57285
2020-05-25,51.6966
2020-05-26,47.30538
2020-05-27,43.71257
2020-05-28,36.92614
2020-05-29,35.52894
2020-05-30,15.16966
2020-05-31,13.97205
2020-06-01,43.31337
2020-06-02,37.12574
2020-06-03,36.32734
2020-06-04,35.52894
2020-06-05,34.33133
2020-06-06,8.98203
2020-06-07,9.78043
2020-06-08,41.11776
2020-06-09,31.13772
2020-06-10,38.32335
2020-06-11,38.32335
2020-06-12,32.73453
2020-06-13,11.57684
2020-06-14,16.56686
2020-06-15,44.71057
2020-06-16,37.92415
2020-06-17,36.32734
2020-06-18,36.72654
2020-06-19,34.73053
2020-06-20,11.97604
2020-06-21,7.98403
2020-06-22,39.72055
2020-06-23,33.73253
2020-06-24,37.12574
2020-06-25,41.91616
2020-06-26,36.12774
2020-06-27,13.37325
2020-06-28,11.37724
2020-06-29,37.32534
2020-06-30,37.92415
2020-07-01,37.92415
2020-07-02,33.53293
2020-07-03,36.32734
2020-07-04,12.17564
2020-07-05,12.17564
2020-07-06,37.52495
2020-07-07,38.52295
2020-07-08,40.11976
2020-07-09,36.12774
2020-07-10,33.53293
2020-07-11,12.77445
2020-07-12,10.97804
2020-07-13,40.91816
2020-07-14,39.12175
2020-07-15,38.92215
2020-07-16,37.52495
2020-07-17,35.32934
2020-07-18,12.57485
2020-07-19,8.58283
2020-07-20,41.71656
2020-07-21,34.53093
2020-07-22,37.52495
2020-07-23,39.52095
2020-07-24,40.91816
2020-07-25,14.77045
2020-07-26,12.17564
2020-07-27,44.71057
