date,신혼희망타운
2020-03-20,22.77839
2020-03-21,2.50812
2020-03-22,1.43794
2020-03-23,1.82496
2020-03-24,1.57051
2020-03-25,1.31179
2020-03-26,1.18457
2020-03-27,1.03168
2020-03-28,0.89163
2020-03-29,1.01992
2020-03-30,1.41335
2020-03-31,1.00068
2020-04-01,0.94295
2020-04-02,0.83711
2020-04-03,0.7163
2020-04-04,0.58266
2020-04-05,0.95471
2020-04-06,1.01992
2020-04-07,1.05948
2020-04-08,0.97288
2020-04-09,0.96861
2020-04-10,0.83069
2020-04-11,0.65108
2020-04-12,0.80396
2020-04-13,1.05841
2020-04-14,0.93439
2020-04-15,0.70774
2020-04-16,0.9376
2020-04-17,0.86811
2020-04-18,0.67995
2020-04-19,0.73768
2020-04-20,0.96433
2020-04-21,1.00389
2020-04-22,0.94936
2020-04-23,0.78579
2020-04-24,0.77724
2020-04-25,0.59442
2020-04-26,0.69278
2020-04-27,0.94722
2020-04-28,0.85207
2020-04-29,0.78579
2020-04-30,0.55593
2020-05-01,0.51637
2020-05-02,0.60618
2020-05-03,0.7473
2020-05-04,0.89484
2020-05-05,1.00602
2020-05-06,1.14822
2020-05-07,0.91301
2020-05-08,0.75692
2020-05-09,0.55593
2020-05-10,0.74302
2020-05-11,0.87666
2020-05-12,0.89911
2020-05-13,0.88522
2020-05-14,0.81893
2020-05-15,0.79648
2020-05-16,0.63718
2020-05-17,0.78686
2020-05-18,100.0
2020-05-19,38.11259
2020-05-20,3.59326
2020-05-21,2.5295
2020-05-22,1.86238
2020-05-23,1.28506
2020-05-24,1.74585
2020-05-25,2.10186
2020-05-26,1.99816
2020-05-27,1.7266
2020-05-28,1.79503
2020-05-29,1.17067
2020-05-30,0.84459
2020-05-31,0.88415
2020-06-01,1.13432
2020-06-02,1.06696
2020-06-03,0.96647
2020-06-04,0.86811
2020-06-05,0.78579
2020-06-06,0.66177
2020-06-07,0.7751
2020-06-08,1.15891
2020-06-09,0.98678
2020-06-10,1.14287
2020-06-11,0.95471
2020-06-12,1.07231
2020-06-13,0.68422
2020-06-14,0.81786
2020-06-15,1.45077
2020-06-16,1.37914
2020-06-17,1.53416
2020-06-18,1.29682
2020-06-19,1.0242
2020-06-20,0.84994
2020-06-21,1.21557
2020-06-22,1.48605
2020-06-23,1.36204
2020-06-24,1.42832
2020-06-25,1.38235
2020-06-26,1.42511
2020-06-27,0.9066
2020-06-28,1.00602
2020-06-29,1.7266
2020-06-30,1.48819
2020-07-01,1.95218
2020-07-02,2.12752
2020-07-03,1.94363
2020-07-04,1.16639
2020-07-05,1.19846
2020-07-06,2.07727
2020-07-07,1.61862
2020-07-08,1.60472
2020-07-09,1.42084
2020-07-10,1.86773
2020-07-11,1.2594
2020-07-12,1.15463
2020-07-13,1.91904
2020-07-14,1.32996
2020-07-15,1.35455
2020-07-16,1.26368
2020-07-17,1.09476
2020-07-18,0.80824
2020-07-19,0.84673
2020-07-20,1.32676
2020-07-21,1.07552
2020-07-22,1.03382
2020-07-23,1.00496
2020-07-24,0.91194
2020-07-25,0.70561
2020-07-26,0.98892
2020-07-27,1.36952
2020-07-28,1.19953
2020-07-29,1.25085
2020-07-30,1.11935
2020-07-31,0.93119
2020-08-01,0.76761
2020-08-02,0.88628
2020-08-03,1.23054
2020-08-04,1.52027
2020-08-05,1.08835
2020-08-06,1.02313
2020-08-07,0.95898
2020-08-08,0.73233
2020-08-09,0.91622
2020-08-10,1.29896
2020-08-11,1.34279
2020-08-12,1.32783
2020-08-13,1.21771
2020-08-14,0.97823
2020-08-15,0.75372
