date,명함
2020-03-20,69.68325
2020-03-21,41.12323
2020-03-22,35.16103
2020-03-23,78.25392
2020-03-24,76.76337
2020-03-25,72.90391
2020-03-26,74.74048
2020-03-27,73.32978
2020-03-28,39.36651
2020-03-29,37.29039
2020-03-30,73.96859
2020-03-31,75.29944
2020-04-01,82.85866
2020-04-02,84.00319
2020-04-03,71.81261
2020-04-04,38.51477
2020-04-05,38.16875
2020-04-06,84.53553
2020-04-07,83.81687
2020-04-08,85.01463
2020-04-09,83.60393
2020-04-10,73.5161
2020-04-11,41.25632
2020-04-12,41.46925
2020-04-13,87.03752
2020-04-14,77.42879
2020-04-15,49.98669
2020-04-16,78.20069
2020-04-17,76.28426
2020-04-18,43.94463
2020-04-19,43.54538
2020-04-20,90.63082
2020-04-21,89.0338
2020-04-22,88.28852
2020-04-23,85.78653
2020-04-24,78.20069
2020-04-25,43.25259
2020-04-26,41.41602
2020-04-27,89.83231
2020-04-28,86.39872
2020-04-29,75.93824
2020-04-30,44.39712
2020-05-01,54.64466
2020-05-02,35.34735
2020-05-03,37.02422
2020-05-04,75.05988
2020-05-05,43.09289
2020-05-06,93.45222
2020-05-07,93.34575
2020-05-08,73.14346
2020-05-09,43.03965
2020-05-10,42.37423
2020-05-11,91.40271
2020-05-12,90.84375
2020-05-13,86.98429
2020-05-14,86.10593
2020-05-15,80.03726
2020-05-16,43.59861
2020-05-17,42.00159
2020-05-18,87.6231
2020-05-19,91.26963
2020-05-20,87.6231
2020-05-21,87.96912
2020-05-22,78.33377
2020-05-23,40.67074
2020-05-24,43.11951
2020-05-25,90.57758
2020-05-26,93.45222
2020-05-27,90.63082
2020-05-28,90.57758
2020-05-29,72.21187
2020-05-30,40.1384
2020-05-31,39.60606
2020-06-01,89.27335
2020-06-02,97.63108
2020-06-03,90.04524
2020-06-04,91.16316
2020-06-05,76.8166
2020-06-06,38.7277
2020-06-07,41.01676
2020-06-08,84.642
2020-06-09,92.78679
2020-06-10,93.13281
2020-06-11,88.28852
2020-06-12,76.39073
2020-06-13,43.91801
2020-06-14,40.56428
2020-06-15,87.75618
2020-06-16,94.33058
2020-06-17,91.32286
2020-06-18,92.44077
2020-06-19,78.52009
2020-06-20,35.77322
2020-06-21,40.61751
2020-06-22,83.20468
2020-06-23,85.89299
2020-06-24,89.0338
2020-06-25,89.5129
2020-06-26,79.98402
2020-06-27,41.3894
2020-06-28,37.23715
2020-06-29,84.82832
2020-06-30,87.86265
2020-07-01,90.95022
2020-07-02,88.39499
2020-07-03,78.33377
2020-07-04,41.46925
2020-07-05,40.05855
2020-07-06,95.34202
2020-07-07,93.21266
2020-07-08,90.68405
2020-07-09,88.66116
2020-07-10,75.0865
2020-07-11,40.61751
2020-07-12,35.69337
2020-07-13,83.63055
2020-07-14,88.68778
2020-07-15,91.93505
2020-07-16,83.391
2020-07-17,74.07505
2020-07-18,36.70481
2020-07-19,36.62496
2020-07-20,86.5318
2020-07-21,88.47484
2020-07-22,89.75246
2020-07-23,81.90045
2020-07-24,75.2462
2020-07-25,39.44636
2020-07-26,32.10007
2020-07-27,84.93478
2020-07-28,79.07905
2020-07-29,79.37183
2020-07-30,73.80889
2020-07-31,67.15464
2020-08-01,37.05083
2020-08-02,32.23316
2020-08-03,72.82406
2020-08-04,77.00292
2020-08-05,78.94596
2020-08-06,74.82033
2020-08-07,66.99494
2020-08-08,36.41203
2020-08-09,33.67048
2020-08-10,76.4972
2020-08-11,78.78626
2020-08-12,75.67207
2020-08-13,76.94969
2020-08-14,61.93771
2020-08-15,35.79984
2020-08-16,29.59808
2020-08-17,51.61032
2020-08-18,76.55043
2020-08-19,76.36412
2020-08-20,74.95342
2020-08-21,63.69443
2020-08-22,37.02422
2020-08-23,33.13814
2020-08-24,72.13202
2020-08-25,74.36784
2020-08-26,71.33351
2020-08-27,68.13947
2020-08-28,61.69816
2020-08-29,35.56028
2020-08-30,37.98243
2020-08-31,73.6758
2020-09-01,81.76736
2020-09-02,79.638
2020-09-03,75.85839
2020-09-04,67.74021
2020-09-05,37.82273
2020-09-06,36.49188
2020-09-07,74.74048
2020-09-08,73.96859
2020-09-09,75.85839
2020-09-10,76.92307
2020-09-11,66.86185
2020-09-12,34.04311
2020-09-13,32.97844
2020-09-14,78.86611
2020-09-15,78.17407
2020-09-16,81.15517
2020-09-17,82.75219
2020-09-18,67.44743
