date,실비보험비갱신
2020-03-20,14.46264
2020-03-21,7.75069
2020-03-22,6.99161
2020-03-23,15.18178
2020-03-24,16.02077
2020-03-25,17.69876
2020-03-26,20.05593
2020-03-27,18.01837
2020-03-28,10.78705
2020-03-29,9.66839
2020-03-30,18.97722
2020-03-31,16.10067
2020-04-01,12.98441
2020-04-02,13.10427
2020-04-03,9.98801
2020-04-04,8.27007
2020-04-05,5.71314
2020-04-06,10.14782
2020-04-07,11.7459
2020-04-08,11.02676
2020-04-09,13.34398
2020-04-10,10.86695
2020-04-11,6.43228
2020-04-12,6.87175
2020-04-13,12.50499
2020-04-14,13.58369
2020-04-15,6.9117
2020-04-16,13.34398
2020-04-17,12.06552
2020-04-18,7.03156
2020-04-19,10.02796
2020-04-20,13.06432
2020-04-21,14.50259
2020-04-22,14.7423
2020-04-23,13.30403
2020-04-24,11.50619
2020-04-25,9.54854
2020-04-26,7.43108
2020-04-27,13.54374
2020-04-28,15.74111
2020-04-29,11.7459
2020-04-30,8.23012
2020-05-01,6.11266
2020-05-02,6.15261
2020-05-03,6.31242
2020-05-04,11.86576
2020-05-05,7.67079
2020-05-06,11.26648
2020-05-07,9.18897
2020-05-08,11.10667
2020-05-09,10.02796
2020-05-10,7.23132
2020-05-11,12.46504
2020-05-12,14.7423
2020-05-13,14.78226
2020-05-14,12.78465
2020-05-15,13.10427
2020-05-16,8.66959
2020-05-17,7.9105
2020-05-18,13.30403
2020-05-19,14.50259
2020-05-20,15.06192
2020-05-21,14.62245
2020-05-22,11.90571
2020-05-23,8.38993
2020-05-24,6.47223
2020-05-25,17.77866
2020-05-26,17.53895
2020-05-27,16.54015
2020-05-28,13.30403
2020-05-29,12.18537
2020-05-30,7.71074
2020-05-31,6.75189
2020-06-01,12.46504
2020-06-02,12.02556
2020-06-03,14.14302
2020-06-04,10.70715
2020-06-05,11.14662
2020-06-06,8.27007
2020-06-07,5.95285
2020-06-08,10.46743
2020-06-09,12.94446
2020-06-10,12.98441
2020-06-11,11.50619
2020-06-12,13.70355
2020-06-13,7.39113
2020-06-14,6.71194
2020-06-15,13.02437
2020-06-16,13.38393
2020-06-17,13.10427
2020-06-18,12.22532
2020-06-19,10.14782
2020-06-20,6.87175
2020-06-21,5.55333
2020-06-22,10.70715
2020-06-23,11.78585
2020-06-24,13.58369
2020-06-25,10.827
2020-06-26,12.50499
2020-06-27,7.79065
2020-06-28,4.47463
2020-06-29,11.46624
2020-06-30,11.7459
2020-07-01,15.54135
2020-07-02,11.666
2020-07-03,12.6648
2020-07-04,8.19017
2020-07-05,6.23252
2020-07-06,11.18657
2020-07-07,14.50259
2020-07-08,10.86695
2020-07-09,10.22772
2020-07-10,7.75069
2020-07-11,5.27367
2020-07-12,5.833
2020-07-13,11.86576
2020-07-14,9.90811
2020-07-15,12.14542
2020-07-16,12.34518
2020-07-17,9.66839
2020-07-18,8.27007
2020-07-19,8.54974
2020-07-20,13.90331
2020-07-21,11.98561
2020-07-22,17.33919
2020-07-23,12.54494
2020-07-24,11.14662
2020-07-25,8.23012
2020-07-26,6.07271
2020-07-27,13.14422
2020-07-28,13.38393
2020-07-29,11.50619
2020-07-30,11.50619
2020-07-31,10.46743
2020-08-01,8.34998
2020-08-02,6.35237
2020-08-03,12.54494
2020-08-04,11.54614
2020-08-05,15.02197
2020-08-06,12.54494
2020-08-07,11.10667
2020-08-08,8.94926
2020-08-09,5.63324
2020-08-10,13.58369
2020-08-11,13.58369
2020-08-12,13.02437
