date,해외선물거래
2020-11-07,19.88795
2020-11-08,12.88515
2020-11-09,26.05042
2020-11-10,37.53501
2020-11-11,26.61064
2020-11-12,22.40896
2020-11-13,27.73109
2020-11-14,13.44537
2020-11-15,14.56582
2020-11-16,20.16806
2020-11-17,29.97198
2020-11-18,32.49299
2020-11-19,35.85434
2020-11-20,36.41456
2020-11-21,18.20728
2020-11-22,18.48739
2020-11-23,27.73109
2020-11-24,27.73109
2020-11-25,40.05602
2020-11-26,31.65266
2020-11-27,26.89075
2020-11-28,14.28571
2020-11-29,14.0056
2020-11-30,20.72829
2020-12-01,28.0112
2020-12-02,28.0112
2020-12-03,27.45098
2020-12-04,28.85154
2020-12-05,19.88795
2020-12-06,12.88515
2020-12-07,21.0084
2020-12-08,31.37254
2020-12-09,28.57142
2020-12-10,35.57422
2020-12-11,23.80952
2020-12-12,20.44817
2020-12-13,8.12324
2020-12-14,21.0084
2020-12-15,30.53221
2020-12-16,31.37254
2020-12-17,29.97198
2020-12-18,28.85154
2020-12-19,23.52941
2020-12-20,18.48739
2020-12-21,28.85154
2020-12-22,30.53221
2020-12-23,30.81232
2020-12-24,28.0112
2020-12-25,16.52661
2020-12-26,14.0056
2020-12-27,13.44537
2020-12-28,27.45098
2020-12-29,21.0084
2020-12-30,32.49299
2020-12-31,27.17086
2021-01-01,18.7675
2021-01-02,8.68347
2021-01-03,10.36414
2021-01-04,22.40896
2021-01-05,40.89635
2021-01-06,36.97478
2021-01-07,33.33333
2021-01-08,29.41176
2021-01-09,23.24929
2021-01-10,18.48739
2021-01-11,32.21288
2021-01-12,38.65546
2021-01-13,38.93557
2021-01-14,45.37815
2021-01-15,37.53501
2021-01-16,19.04761
2021-01-17,17.36694
2021-01-18,31.93277
2021-01-19,28.29131
2021-01-20,30.2521
2021-01-21,27.45098
2021-01-22,24.36974
2021-01-23,20.44817
2021-01-24,15.96638
2021-01-25,30.2521
2021-01-26,31.65266
2021-01-27,31.65266
2021-01-28,29.13165
2021-01-29,30.2521
2021-01-30,23.52941
2021-01-31,17.36694
2021-02-01,33.33333
2021-02-02,33.33333
2021-02-03,31.09243
2021-02-04,24.36974
2021-02-05,25.7703
2021-02-06,14.56582
2021-02-07,10.08403
2021-02-08,22.40896
2021-02-09,29.13165
2021-02-10,17.36694
2021-02-11,12.32492
2021-02-12,9.5238
2021-02-13,12.60504
2021-02-14,10.36414
2021-02-15,22.40896
2021-02-16,22.68907
2021-02-17,29.13165
2021-02-18,28.29131
2021-02-19,25.7703
2021-02-20,20.44817
2021-02-21,14.56582
2021-02-22,21.56862
2021-02-23,26.05042
2021-02-24,31.09243
2021-02-25,27.45098
2021-02-26,23.24929
2021-02-27,21.28851
2021-02-28,11.20448
2021-03-01,17.08683
2021-03-02,24.08963
2021-03-03,22.96918
2021-03-04,17.64705
2021-03-05,20.72829
2021-03-06,14.28571
2021-03-07,14.56582
2021-03-08,22.40896
2021-03-09,22.40896
2021-03-10,29.97198
2021-03-11,34.45378
2021-03-12,18.20728
2021-03-13,12.04481
2021-03-14,7.56302
2021-03-15,18.48739
2021-03-16,24.64985
2021-03-17,19.60784
2021-03-18,23.52941
2021-03-19,20.44817
2021-03-20,15.96638
2021-03-21,11.20448
2021-03-22,21.56862
2021-03-23,28.29131
2021-03-24,21.56862
2021-03-25,34.17366
2021-03-26,22.96918
2021-03-27,11.7647
2021-03-28,10.08403
2021-03-29,25.21008
2021-03-30,21.28851
2021-03-31,21.84873
2021-04-01,24.64985
2021-04-02,25.7703
2021-04-03,10.92436
2021-04-04,7.84313
2021-04-05,14.56582
2021-04-06,20.72829
2021-04-07,26.05042
2021-04-08,30.2521
2021-04-09,26.33053
2021-04-10,14.28571
2021-04-11,10.64425
2021-04-12,19.04761
2021-04-13,26.61064
2021-04-14,25.7703
2021-04-15,20.44817
2021-04-16,21.84873
2021-04-17,12.88515
2021-04-18,10.08403
2021-04-19,22.96918
2021-04-20,23.80952
2021-04-21,29.13165
2021-04-22,29.13165
2021-04-23,30.2521
2021-04-24,23.80952
2021-04-25,18.48739
2021-04-26,27.45098
2021-04-27,23.80952
2021-04-28,32.7731
2021-04-29,25.7703
2021-04-30,26.05042
2021-05-01,14.28571
2021-05-02,7.28291
2021-05-03,15.68627
2021-05-04,19.60784
2021-05-05,24.08963
2021-05-06,24.36974
2021-05-07,21.28851
2021-05-08,16.52661
2021-05-09,9.80392
2021-05-10,19.32773
2021-05-11,29.13165
2021-05-12,31.65266
2021-05-13,31.93277
2021-05-14,26.05042
2021-05-15,21.28851
2021-05-16,10.64425
2021-05-17,31.37254
2021-05-18,21.0084
