date,노래방어플
2020-03-20,50.27027
2020-03-21,61.08108
2020-03-22,54.59459
2020-03-23,41.98198
2020-03-24,41.08108
2020-03-25,33.69369
2020-03-26,42.34234
2020-03-27,46.48648
2020-03-28,58.19819
2020-03-29,42.7027
2020-03-30,55.49549
2020-03-31,67.2072
2020-04-01,63.24324
2020-04-02,51.71171
2020-04-03,53.15315
2020-04-04,58.01801
2020-04-05,50.45045
2020-04-06,38.55855
2020-04-07,42.52252
2020-04-08,41.8018
2020-04-09,41.08108
2020-04-10,47.92792
2020-04-11,59.63963
2020-04-12,51.89189
2020-04-13,41.26126
2020-04-14,48.82882
2020-04-15,42.34234
2020-04-16,34.23423
2020-04-17,39.45945
2020-04-18,43.78378
2020-04-19,39.63963
2020-04-20,25.04504
2020-04-21,30.09009
2020-04-22,28.46846
2020-04-23,24.32432
2020-04-24,29.18918
2020-04-25,38.73873
2020-04-26,36.21621
2020-04-27,27.56756
2020-04-28,30.81081
2020-04-29,29.9099
2020-04-30,32.79279
2020-05-01,35.31531
2020-05-02,33.51351
2020-05-03,32.07207
2020-05-04,25.58558
2020-05-05,32.61261
2020-05-06,22.16216
2020-05-07,26.12612
2020-05-08,29.9099
2020-05-09,40.72072
2020-05-10,29.9099
2020-05-11,24.14414
2020-05-12,34.59459
2020-05-13,30.45045
2020-05-14,23.06306
2020-05-15,31.35135
2020-05-16,39.09909
2020-05-17,28.1081
2020-05-18,26.48648
2020-05-19,34.41441
2020-05-20,27.2072
2020-05-21,30.27027
2020-05-22,40.18018
2020-05-23,43.42342
2020-05-24,37.29729
2020-05-25,27.02702
2020-05-26,32.25225
2020-05-27,25.22522
2020-05-28,24.86486
2020-05-29,33.15315
2020-05-30,42.88288
2020-05-31,39.63963
2020-06-01,32.07207
2020-06-02,26.84684
2020-06-03,25.22522
2020-06-04,31.53153
2020-06-05,31.71171
2020-06-06,38.73873
2020-06-07,35.67567
2020-06-08,24.5045
2020-06-09,36.03603
2020-06-10,36.93693
2020-06-11,30.99099
2020-06-12,30.99099
2020-06-13,43.42342
2020-06-14,39.09909
2020-06-15,25.76576
2020-06-16,34.41441
2020-06-17,24.14414
2020-06-18,23.6036
2020-06-19,27.56756
2020-06-20,42.88288
2020-06-21,29.9099
2020-06-22,24.5045
2020-06-23,23.42342
2020-06-24,28.64864
2020-06-25,25.4054
2020-06-26,32.61261
2020-06-27,44.68468
2020-06-28,34.05405
2020-06-29,26.84684
2020-06-30,25.94594
2020-07-01,28.64864
2020-07-02,27.92792
2020-07-03,29.9099
2020-07-04,39.81981
2020-07-05,31.35135
2020-07-06,27.38738
2020-07-07,27.2072
2020-07-08,25.04504
2020-07-09,20.18018
2020-07-10,22.16216
2020-07-11,40.9009
2020-07-12,33.15315
2020-07-13,27.56756
2020-07-14,25.58558
2020-07-15,26.3063
2020-07-16,24.68468
2020-07-17,27.2072
2020-07-18,36.39639
2020-07-19,27.2072
2020-07-20,26.66666
2020-07-21,27.56756
2020-07-22,23.96396
2020-07-23,35.31531
2020-07-24,32.97297
2020-07-25,37.83783
2020-07-26,30.27027
2020-07-27,25.4054
2020-07-28,29.009
2020-07-29,29.54954
2020-07-30,28.64864
2020-07-31,29.9099
2020-08-01,34.05405
2020-08-02,52.61261
2020-08-03,40.36036
2020-08-04,33.51351
2020-08-05,34.59459
2020-08-06,33.87387
2020-08-07,31.71171
2020-08-08,39.81981
2020-08-09,38.55855
2020-08-10,27.56756
2020-08-11,32.61261
2020-08-12,31.17117
2020-08-13,26.12612
2020-08-14,69.36936
2020-08-15,86.84684
2020-08-16,100.0
2020-08-17,80.18018
2020-08-18,44.32432
2020-08-19,51.53153
2020-08-20,46.48648
2020-08-21,58.19819
2020-08-22,84.86486
2020-08-23,62.16216
2020-08-24,46.48648
2020-08-25,55.85585
2020-08-26,57.47747
2020-08-27,45.04504
2020-08-28,58.01801
2020-08-29,79.09909
2020-08-30,66.12612
2020-08-31,41.8018
2020-09-01,49.9099
2020-09-02,51.71171
2020-09-03,42.52252
2020-09-04,50.63063
2020-09-05,69.18918
2020-09-06,55.31531
2020-09-07,38.73873
2020-09-08,40.36036
2020-09-09,40.72072
2020-09-10,39.09909
2020-09-11,45.58558
2020-09-12,63.42342
2020-09-13,35.49549
2020-09-14,29.009
2020-09-15,34.23423
2020-09-16,38.37837
2020-09-17,37.83783
2020-09-18,36.93693
2020-09-19,54.95495
2020-09-20,37.47747
2020-09-21,28.28828
2020-09-22,33.33333
2020-09-23,34.95495
2020-09-24,30.45045
2020-09-25,27.92792
2020-09-26,43.24324
2020-09-27,36.03603
