date,카페인테리어소품
2020-11-07,43.29896
2020-11-08,53.09278
2020-11-09,53.09278
2020-11-10,51.03092
2020-11-11,43.81443
2020-11-12,63.40206
2020-11-13,53.60824
2020-11-14,58.76288
2020-11-15,71.13402
2020-11-16,56.70103
2020-11-17,50.51546
2020-11-18,68.04123
2020-11-19,59.27835
2020-11-20,62.88659
2020-11-21,58.24742
2020-11-22,64.94845
2020-11-23,51.03092
2020-11-24,59.27835
2020-11-25,62.37113
2020-11-26,56.18556
2020-11-27,58.76288
2020-11-28,59.79381
2020-11-29,74.2268
2020-11-30,67.52577
2020-12-01,73.71134
2020-12-02,65.46391
2020-12-03,67.52577
2020-12-04,52.57731
2020-12-05,59.27835
2020-12-06,65.46391
2020-12-07,62.37113
2020-12-08,57.73195
2020-12-09,40.72164
2020-12-10,53.60824
2020-12-11,52.06185
2020-12-12,52.57731
2020-12-13,58.24742
2020-12-14,46.90721
2020-12-15,45.36082
2020-12-16,46.39175
2020-12-17,38.14432
2020-12-18,43.29896
2020-12-19,51.54639
2020-12-20,43.29896
2020-12-21,45.36082
2020-12-22,39.69072
2020-12-23,39.69072
2020-12-24,24.2268
2020-12-25,41.75257
2020-12-26,41.75257
2020-12-27,61.3402
2020-12-28,38.65979
2020-12-29,42.26804
2020-12-30,40.20618
2020-12-31,36.08247
2021-01-01,32.98969
2021-01-02,45.87628
2021-01-03,41.23711
2021-01-04,37.62886
2021-01-05,36.08247
2021-01-06,30.41237
2021-01-07,28.35051
2021-01-08,39.17525
2021-01-09,46.90721
2021-01-10,45.36082
2021-01-11,45.36082
2021-01-12,55.6701
2021-01-13,54.63917
2021-01-14,43.29896
2021-01-15,36.08247
2021-01-16,36.59793
2021-01-17,59.27835
2021-01-18,61.3402
2021-01-19,55.15463
2021-01-20,69.58762
2021-01-21,52.57731
2021-01-22,44.32989
2021-01-23,48.4536
2021-01-24,54.63917
2021-01-25,55.15463
2021-01-26,46.90721
2021-01-27,52.57731
2021-01-28,67.0103
2021-01-29,52.06185
2021-01-30,28.35051
2021-01-31,50.51546
2021-02-01,46.90721
2021-02-02,55.15463
2021-02-03,51.54639
2021-02-04,45.36082
2021-02-05,34.53608
2021-02-06,56.70103
