date,2차전지관련주
2020-03-20,5.92005
2020-03-21,4.16653
2020-03-22,3.95081
2020-03-23,5.63037
2020-03-24,6.5888
2020-03-25,8.48716
2020-03-26,8.03722
2020-03-27,7.88622
2020-03-28,6.25905
2020-03-29,6.46861
2020-03-30,6.4871
2020-03-31,6.63502
2020-04-01,7.34383
2020-04-02,6.56414
2020-04-03,7.0942
2020-04-04,3.65496
2020-04-05,3.37144
2020-04-06,5.19276
2020-04-07,6.99867
2020-04-08,12.85093
2020-04-09,11.7754
2020-04-10,10.62282
2020-04-11,17.69237
2020-04-12,15.63376
2020-04-13,13.65835
2020-04-14,16.42885
2020-04-15,14.86948
2020-04-16,22.03765
2020-04-17,26.58017
2020-04-18,17.03596
2020-04-19,16.9959
2020-04-20,14.45036
2020-04-21,10.19137
2020-04-22,9.47332
2020-04-23,9.87703
2020-04-24,6.65659
2020-04-25,4.68735
2020-04-26,5.22666
2020-04-27,7.06955
2020-04-28,9.58118
2020-04-29,7.02332
2020-04-30,7.00175
2020-05-01,4.6627
2020-05-02,3.02012
2020-05-03,3.10949
2020-05-04,4.36068
2020-05-05,2.89377
2020-05-06,4.55483
2020-05-07,4.44697
2020-05-08,4.31754
2020-05-09,3.26666
2020-05-10,2.8876
2020-05-11,3.91691
2020-05-12,3.40226
2020-05-13,41.24318
2020-05-14,19.11306
2020-05-15,12.7215
2020-05-16,6.61653
2020-05-17,5.10955
2020-05-18,12.00345
2020-05-19,14.42571
2020-05-20,15.13451
2020-05-21,16.03439
2020-05-22,9.86471
2020-05-23,7.69207
2020-05-24,11.80005
2020-05-25,24.56161
2020-05-26,41.28016
2020-05-27,28.01627
2020-05-28,19.02678
2020-05-29,11.07276
2020-05-30,7.30685
2020-05-31,7.79376
2020-06-01,11.13747
2020-06-02,11.86785
2020-06-03,13.31319
2020-06-04,15.63068
2020-06-05,14.74313
2020-06-06,8.05879
2020-06-07,10.94024
2020-06-08,11.6737
2020-06-09,10.53037
2020-06-10,12.76772
2020-06-11,16.16998
2020-06-12,8.4964
2020-06-13,4.32062
2020-06-14,9.14974
2020-06-15,9.82464
2020-06-16,8.12968
2020-06-17,11.80621
2020-06-18,9.26684
2020-06-19,14.37948
2020-06-20,8.90012
2020-06-21,9.99106
2020-06-22,13.29162
2020-06-23,11.81238
2020-06-24,12.32395
2020-06-25,10.04037
2020-06-26,9.54112
2020-06-27,5.81836
2020-06-28,8.47175
2020-06-29,8.88779
2020-06-30,7.97251
2020-07-01,9.30999
2020-07-02,10.97722
2020-07-03,13.09439
2020-07-04,10.33313
2020-07-05,10.35779
2020-07-06,17.37495
2020-07-07,16.92502
2020-07-08,16.21005
2020-07-09,16.30866
2020-07-10,11.65521
2020-07-11,7.18974
2020-07-12,6.57955
2020-07-13,11.19603
2020-07-14,10.10508
2020-07-15,10.70603
2020-07-16,12.61363
2020-07-17,11.64904
2020-07-18,6.82609
2020-07-19,6.93087
2020-07-20,10.41326
2020-07-21,10.9125
2020-07-22,10.10816
2020-07-23,12.75848
2020-07-24,6.89697
2020-07-25,4.13263
2020-07-26,5.55332
2020-07-27,7.09729
2020-07-28,9.67364
2020-07-29,9.33156
2020-07-30,8.32074
2020-07-31,15.03898
2020-08-01,12.04351
2020-08-02,14.173
2020-08-03,32.49406
2020-08-04,26.76507
2020-08-05,37.56664
2020-08-06,40.07519
2020-08-07,54.34373
2020-08-08,37.76695
2020-08-09,40.06286
2020-08-10,47.61317
2020-08-11,37.19991
2020-08-12,28.21658
2020-08-13,26.05319
2020-08-14,22.26262
2020-08-15,14.07747
2020-08-16,9.63049
2020-08-17,11.5381
2020-08-18,15.24546
2020-08-19,14.30244
2020-08-20,15.88338
2020-08-21,15.78785
2020-08-22,6.73364
2020-08-23,6.12961
2020-08-24,10.81697
2020-08-25,10.9125
2020-08-26,12.94955
2020-08-27,14.41955
2020-08-28,10.93716
2020-08-29,6.22823
2020-08-30,7.34383
2020-08-31,10.88477
2020-09-01,11.35628
2020-09-02,11.83395
2020-09-03,11.99112
2020-09-04,10.21911
2020-09-05,5.87691
2020-09-06,5.87999
2020-09-07,10.57351
2020-09-08,10.15747
2020-09-09,7.98483
2020-09-10,8.72754
2020-09-11,7.06339
2020-09-12,4.76439
2020-09-13,5.32527
2020-09-14,10.80464
2020-09-15,10.75225
2020-09-16,9.27609
2020-09-17,9.20521
2020-09-18,10.12049
2020-09-19,7.10653
2020-09-20,8.61351
2020-09-21,12.64137
2020-09-22,13.40257
2020-09-23,15.26703
2020-09-24,8.81999
2020-09-25,5.49169
2020-09-26,4.28364
2020-09-27,7.08188
2020-09-28,8.05879
2020-09-29,5.91697
2020-09-30,4.14804
2020-10-01,3.98471
2020-10-02,3.04477
2020-10-03,4.04943
2020-10-04,4.17886
2020-10-05,6.05257
2020-10-06,6.08339
2020-10-07,5.44546
2020-10-08,4.44389
2020-10-09,3.06326
2020-10-10,2.7705
2020-10-11,2.93383
2020-10-12,4.0371
2020-10-13,3.78131
2020-10-14,3.27282
2020-10-15,3.72584
2020-10-16,3.07251
2020-10-17,1.5532
2020-10-18,1.4854
