date,미국채권ETF
2020-03-20,27.65151
2020-03-21,19.31818
2020-03-22,22.53787
2020-03-23,28.97727
2020-03-24,22.72727
2020-03-25,18.5606
2020-03-26,29.54545
2020-03-27,27.46212
2020-03-28,47.15909
2020-03-29,34.46969
2020-03-30,26.89393
2020-03-31,22.91666
2020-04-01,26.32575
2020-04-02,22.15909
2020-04-03,19.12878
2020-04-04,16.85606
2020-04-05,44.50757
2020-04-06,34.65909
2020-04-07,28.21969
2020-04-08,24.05303
2020-04-09,23.29545
2020-04-10,22.15909
2020-04-11,17.80303
2020-04-12,29.35606
2020-04-13,25.94696
2020-04-14,23.29545
2020-04-15,23.10606
2020-04-16,25.18939
2020-04-17,22.15909
2020-04-18,21.96969
2020-04-19,23.67424
2020-04-20,29.92424
2020-04-21,18.93939
2020-04-22,23.48484
2020-04-23,18.37121
2020-04-24,20.45454
2020-04-25,14.20454
2020-04-26,16.85606
2020-04-27,14.58333
2020-04-28,19.69696
2020-04-29,14.01515
2020-04-30,17.99242
2020-05-01,14.58333
2020-05-02,17.61363
2020-05-03,19.88636
2020-05-04,25.0
2020-05-05,22.15909
2020-05-06,23.86363
2020-05-07,18.37121
2020-05-08,15.15151
2020-05-09,16.28787
2020-05-10,14.01515
2020-05-11,14.39393
2020-05-12,16.85606
2020-05-13,17.99242
2020-05-14,16.85606
2020-05-15,21.21212
2020-05-16,18.18181
2020-05-17,17.61363
2020-05-18,24.24242
2020-05-19,23.10606
2020-05-20,17.80303
2020-05-21,14.58333
2020-05-22,18.5606
2020-05-23,14.58333
2020-05-24,14.58333
2020-05-25,14.77272
2020-05-26,19.31818
2020-05-27,16.09848
2020-05-28,17.23484
2020-05-29,12.87878
2020-05-30,12.87878
2020-05-31,16.09848
2020-06-01,15.90909
2020-06-02,15.71969
2020-06-03,16.28787
2020-06-04,15.90909
2020-06-05,19.12878
2020-06-06,14.20454
2020-06-07,14.77272
2020-06-08,19.88636
2020-06-09,19.12878
2020-06-10,22.34848
2020-06-11,20.64393
2020-06-12,25.75757
2020-06-13,22.91666
2020-06-14,12.68939
2020-06-15,19.50757
2020-06-16,21.96969
2020-06-17,13.63636
2020-06-18,11.93181
2020-06-19,13.25757
2020-06-20,10.03787
2020-06-21,15.3409
2020-06-22,10.98484
2020-06-23,15.5303
2020-06-24,17.23484
2020-06-25,20.07575
2020-06-26,10.60606
2020-06-27,11.55303
2020-06-28,8.71212
2020-06-29,11.36363
2020-06-30,14.20454
2020-07-01,9.84848
2020-07-02,11.36363
2020-07-03,12.12121
2020-07-04,9.0909
2020-07-05,14.01515
2020-07-06,17.80303
2020-07-07,15.3409
2020-07-08,19.88636
2020-07-09,14.96212
2020-07-10,11.74242
2020-07-11,8.90151
2020-07-12,8.14393
2020-07-13,15.71969
2020-07-14,13.06818
2020-07-15,16.47727
2020-07-16,10.79545
2020-07-17,11.36363
2020-07-18,11.93181
2020-07-19,12.68939
2020-07-20,12.68939
2020-07-21,13.63636
2020-07-22,12.5
2020-07-23,12.5
2020-07-24,13.82575
2020-07-25,9.0909
2020-07-26,13.25757
2020-07-27,16.47727
2020-07-28,15.71969
2020-07-29,13.82575
2020-07-30,16.47727
2020-07-31,23.29545
2020-08-01,13.44696
2020-08-02,14.96212
2020-08-03,17.23484
2020-08-04,18.18181
2020-08-05,14.01515
2020-08-06,14.96212
2020-08-07,16.47727
2020-08-08,12.68939
2020-08-09,14.58333
2020-08-10,17.04545
2020-08-11,24.43181
2020-08-12,21.96969
2020-08-13,14.20454
2020-08-14,14.77272
2020-08-15,10.60606
2020-08-16,11.17424
2020-08-17,14.01515
2020-08-18,14.20454
2020-08-19,12.3106
2020-08-20,9.0909
2020-08-21,11.93181
2020-08-22,8.71212
2020-08-23,8.33333
2020-08-24,14.20454
2020-08-25,16.09848
2020-08-26,23.67424
2020-08-27,20.64393
2020-08-28,18.5606
2020-08-29,11.74242
2020-08-30,14.96212
2020-08-31,17.99242
2020-09-01,14.77272
2020-09-02,18.37121
2020-09-03,18.37121
2020-09-04,30.30303
2020-09-05,22.34848
2020-09-06,15.15151
2020-09-07,15.15151
2020-09-08,15.3409
2020-09-09,18.75
2020-09-10,15.15151
2020-09-11,18.37121
2020-09-12,10.22727
2020-09-13,14.77272
2020-09-14,9.2803
2020-09-15,11.74242
2020-09-16,13.82575
2020-09-17,10.03787
2020-09-18,16.28787
2020-09-19,9.2803
2020-09-20,9.0909
2020-09-21,8.14393
2020-09-22,10.22727
2020-09-23,12.3106
2020-09-24,9.84848
2020-09-25,7.95454
2020-09-26,11.17424
2020-09-27,9.0909
2020-09-28,11.55303
2020-09-29,10.98484
2020-09-30,9.46969
2020-10-01,9.84848
2020-10-02,11.36363
2020-10-03,12.5
2020-10-04,8.14393
2020-10-05,11.17424
2020-10-06,12.68939
2020-10-07,8.71212
2020-10-08,13.25757
2020-10-09,7.00757
2020-10-10,8.90151
2020-10-11,11.93181
2020-10-12,14.39393
2020-10-13,10.22727
2020-10-14,8.33333
2020-10-15,9.2803
2020-10-16,10.60606
2020-10-17,5.87121
2020-10-18,7.38636
2020-10-19,8.71212
2020-10-20,9.65909
2020-10-21,10.03787
2020-10-22,8.33333
2020-10-23,10.03787
2020-10-24,7.95454
2020-10-25,7.19696
2020-10-26,9.0909
2020-10-27,7.95454
2020-10-28,8.71212
2020-10-29,7.00757
2020-10-30,5.11363
2020-10-31,8.52272
2020-11-01,5.87121
2020-11-02,7.57575
2020-11-03,5.30303
2020-11-04,7.57575
2020-11-05,8.33333
2020-11-06,7.95454
2020-11-07,6.0606
2020-11-08,6.81818
2020-11-09,8.33333
2020-11-10,7.95454
2020-11-11,12.87878
2020-11-12,12.87878
2020-11-13,7.19696
2020-11-14,6.0606
2020-11-15,6.62878
2020-11-16,7.95454
2020-11-17,8.90151
2020-11-18,8.71212
2020-11-19,15.90909
2020-11-20,13.63636
2020-11-21,12.12121
2020-11-22,9.2803
2020-11-23,15.3409
2020-11-24,18.75
2020-11-25,17.61363
2020-11-26,15.3409
2020-11-27,16.09848
2020-11-28,14.58333
2020-11-29,13.25757
2020-11-30,10.60606
2020-12-01,13.25757
2020-12-02,19.69696
2020-12-03,17.99242
2020-12-04,13.44696
2020-12-05,17.23484
2020-12-06,16.28787
2020-12-07,25.0
2020-12-08,24.8106
2020-12-09,16.28787
2020-12-10,16.85606
2020-12-11,18.37121
2020-12-12,13.25757
2020-12-13,15.15151
2020-12-14,16.09848
2020-12-15,15.15151
2020-12-16,14.96212
2020-12-17,16.66666
2020-12-18,17.42424
2020-12-19,17.80303
2020-12-20,20.45454
2020-12-21,18.75
2020-12-22,22.15909
2020-12-23,22.53787
2020-12-24,17.61363
2020-12-25,13.63636
2020-12-26,22.15909
2020-12-27,15.90909
2020-12-28,23.29545
2020-12-29,23.67424
2020-12-30,31.43939
2020-12-31,21.40151
2021-01-01,18.75
2021-01-02,19.31818
