date,미국선물지수
2020-03-20,49.59205
2020-03-21,14.4221
2020-03-22,11.16358
2020-03-23,82.26183
2020-03-24,54.86322
2020-03-25,74.53957
2020-03-26,54.7989
2020-03-27,44.40551
2020-03-28,10.63883
2020-03-29,8.14713
2020-03-30,66.27395
2020-03-31,37.17076
2020-04-01,44.1516
2020-04-02,47.43042
2020-04-03,32.25844
2020-04-04,6.55088
2020-04-05,4.85137
2020-04-06,31.69476
2020-04-07,37.7209
2020-04-08,33.63125
2020-04-09,29.53145
2020-04-10,16.7733
2020-04-11,2.80147
2020-04-12,2.72022
2020-04-13,27.60681
2020-04-14,18.05301
2020-04-15,15.24138
2020-04-16,21.82612
2020-04-17,17.60274
2020-04-18,4.23691
2020-04-19,2.83702
2020-04-20,22.39318
2020-04-21,25.03385
2020-04-22,24.63436
2020-04-23,21.19134
2020-04-24,16.84271
2020-04-25,3.052
2020-04-26,1.76382
2020-04-27,14.76911
2020-04-28,14.3984
2020-04-29,11.26345
2020-04-30,8.1539
2020-05-01,10.60836
2020-05-02,3.08924
2020-05-03,1.71643
2020-05-04,15.81352
2020-05-05,11.54445
2020-05-06,15.04671
2020-05-07,13.48093
2020-05-08,9.88387
2020-05-09,2.2124
2020-05-10,1.27632
2020-05-11,13.52495
2020-05-12,12.82415
2020-05-13,13.64174
2020-05-14,15.71704
2020-05-15,11.25668
2020-05-16,1.92971
2020-05-17,1.05795
2020-05-18,11.1585
2020-05-19,13.03913
2020-05-20,11.46489
2020-05-21,12.11151
2020-05-22,12.84277
2020-05-23,2.03297
2020-05-24,1.1409
2020-05-25,9.96851
2020-05-26,11.19405
2020-05-27,11.83898
2020-05-28,13.3726
2020-05-29,10.54235
2020-05-30,1.92125
2020-05-31,1.10535
2020-06-01,14.18681
2020-06-02,11.42595
2020-06-03,10.07515
2020-06-04,11.45642
2020-06-05,8.36549
2020-06-06,1.59455
2020-06-07,0.98009
2020-06-08,11.10941
2020-06-09,12.16399
2020-06-10,10.47464
2020-06-11,15.83722
2020-06-12,45.3162
2020-06-13,4.00331
2020-06-14,2.2581
2020-06-15,100.0
2020-06-16,30.96689
2020-06-17,23.34619
2020-06-18,21.63992
2020-06-19,16.01157
2020-06-20,3.4938
2020-06-21,2.03635
2020-06-22,17.83973
2020-06-23,18.14442
2020-06-24,19.86932
2020-06-25,34.3185
2020-06-26,18.13088
2020-06-27,4.72273
2020-06-28,3.02491
2020-06-29,54.31647
2020-06-30,23.52224
2020-07-01,22.49136
2020-07-02,17.23881
2020-07-03,12.86986
2020-07-04,2.92843
2020-07-05,1.75198
2020-07-06,15.34802
2020-07-07,17.3793
2020-07-08,16.43984
2020-07-09,13.09668
2020-07-10,13.03744
2020-07-11,2.17177
2020-07-12,1.13582
2020-07-13,12.30279
2020-07-14,18.11903
2020-07-15,13.83133
