date,ISA서민형
2020-03-20,0.0387
2020-03-24,0.03225
2020-03-27,0.0516
2020-03-28,0.0387
2020-03-30,0.04515
2020-04-01,0.04515
2020-04-07,0.0516
2020-04-09,0.0387
2020-04-10,0.05805
2020-04-12,0.03225
2020-04-20,0.03225
2020-04-21,0.08385
2020-04-22,0.14835
2020-04-23,0.0387
2020-04-27,0.07095
2020-04-28,0.1032
2020-04-29,0.03225
2020-04-30,0.03225
2020-05-03,0.04515
2020-05-05,0.04515
2020-05-07,0.07095
2020-05-08,0.0516
2020-05-10,0.03225
2020-05-14,0.0516
2020-05-18,0.0516
2020-05-22,0.03225
2020-05-23,0.03225
2020-05-25,0.03225
2020-05-26,0.0387
2020-05-27,0.08385
2020-05-28,0.0387
2020-05-29,0.03225
2020-06-01,0.0387
2020-06-02,0.0387
2020-06-03,0.03225
2020-06-07,0.04515
2020-06-08,0.03225
2020-06-10,0.0645
2020-06-19,0.0516
2020-06-24,0.04515
2020-06-26,0.03225
2020-06-28,0.04515
2020-07-01,0.0387
2020-07-02,0.0387
2020-07-06,0.0387
2020-07-07,0.07095
2020-07-08,0.03225
2020-07-22,0.1032
2020-07-23,0.04515
2020-07-24,0.0387
2020-07-27,0.0774
2020-08-03,0.03225
2020-08-07,0.03225
2020-08-10,0.03225
2020-08-12,0.03225
2020-08-15,0.0387
2020-08-18,0.0645
2020-08-19,0.04515
2020-08-21,0.0387
2020-09-01,0.0516
2020-09-02,0.0387
2020-09-04,0.0516
2020-09-07,0.04515
2020-09-08,0.04515
2020-09-10,0.03225
2020-09-21,0.03225
2020-09-28,0.03225
2020-10-07,0.0903
2020-10-12,0.05805
2020-10-13,0.07095
2020-10-19,0.08385
2020-10-20,0.04515
2020-10-22,0.03225
2020-10-26,0.0903
2020-10-27,0.0387
2020-10-29,0.0387
2020-11-02,0.0387
2020-11-03,0.03225
2020-11-06,0.0387
2020-11-07,0.0387
2020-11-09,0.03225
2020-11-10,0.1161
2020-11-11,0.03225
2020-11-13,0.03225
2020-11-15,0.0516
2020-11-17,0.0516
2020-11-18,0.0387
2020-11-19,0.0387
2020-11-21,0.0516
2020-11-22,0.04515
2020-11-23,0.03225
2020-11-24,0.0387
2020-11-25,0.0516
2020-11-27,0.0516
2020-11-28,0.0387
2020-11-29,0.03225
2020-11-30,0.1161
2020-12-01,0.09675
2020-12-02,0.0645
2020-12-03,0.09675
2020-12-04,0.08385
2020-12-06,0.0387
2020-12-07,0.0645
2020-12-08,0.08385
2020-12-10,0.05805
2020-12-11,0.12255
2020-12-12,0.0387
2020-12-13,0.07095
2020-12-14,0.129
2020-12-15,0.1419
2020-12-16,0.03225
2020-12-17,0.17415
2020-12-18,0.14835
2020-12-19,0.0387
2020-12-20,0.0516
2020-12-21,0.13545
2020-12-22,0.10965
2020-12-23,0.1032
2020-12-24,0.1032
2020-12-25,0.05805
2020-12-26,0.07095
2020-12-27,0.04515
2020-12-28,0.21931
2020-12-29,0.19351
2020-12-30,0.25156
2020-12-31,0.19996
2021-01-01,0.12255
2021-01-02,0.04515
2021-01-03,0.23866
2021-01-04,0.47087
2021-01-05,0.36767
2021-01-06,0.25156
2021-01-07,0.41282
2021-01-08,0.23866
2021-01-09,0.21931
2021-01-10,0.20641
2021-01-11,0.29026
2021-01-12,0.29026
2021-01-13,0.27091
2021-01-14,0.30961
2021-01-15,0.16125
2021-01-16,0.0645
2021-01-17,0.129
2021-01-18,0.21931
2021-01-19,0.21931
2021-01-20,0.34186
2021-01-21,0.29671
2021-01-22,0.19996
2021-01-23,0.17415
2021-01-24,0.20641
2021-01-25,0.42572
2021-01-26,0.38702
2021-01-27,0.30961
2021-01-28,0.25801
2021-01-29,0.18706
2021-01-30,0.13545
2021-01-31,0.12255
2021-02-01,0.27091
