date,월드메르디앙
2020-03-20,4.71447
2020-03-21,5.54448
2020-03-22,5.61088
2020-03-23,5.87649
2020-03-24,5.89309
2020-03-25,5.62749
2020-03-26,5.37848
2020-03-27,4.73107
2020-03-28,5.07968
2020-03-29,5.39508
2020-03-30,4.93027
2020-03-31,5.77689
2020-04-01,5.62749
2020-04-02,5.54448
2020-04-03,6.09229
2020-04-04,5.22908
2020-04-05,5.90969
2020-04-06,6.10889
2020-04-07,6.4907
2020-04-08,6.5737
2020-04-09,6.04249
2020-04-10,5.47808
2020-04-11,6.10889
2020-04-12,5.57768
2020-04-13,5.42828
2020-04-14,5.29548
2020-04-15,6.00929
2020-04-16,6.4741
2020-04-17,6.00929
2020-04-18,6.24169
2020-04-19,5.94289
2020-04-20,6.04249
2020-04-21,6.8725
2020-04-22,6.14209
2020-04-23,5.87649
2020-04-24,6.05909
2020-04-25,6.07569
2020-04-26,6.14209
2020-04-27,6.8061
2020-04-28,7.02191
2020-04-29,6.3579
2020-04-30,5.62749
2020-05-01,6.00929
2020-05-02,6.12549
2020-05-03,5.95949
2020-05-04,7.17131
2020-05-05,6.6235
2020-05-06,6.4077
2020-05-07,6.7895
2020-05-08,6.09229
2020-05-09,5.82669
2020-05-10,5.85989
2020-05-11,6.24169
2020-05-12,7.08831
2020-05-13,5.37848
2020-05-14,6.02589
2020-05-15,5.27888
2020-05-16,5.94289
2020-05-17,5.42828
2020-05-18,6.5239
2020-05-19,6.88911
2020-05-20,6.8227
2020-05-21,6.5073
2020-05-22,5.85989
2020-05-23,6.90571
2020-05-24,6.3745
2020-05-25,6.3081
2020-05-26,7.58632
2020-05-27,7.30411
2020-05-28,6.7563
2020-05-29,6.4741
2020-05-30,6.95551
2020-05-31,6.2583
2020-06-01,7.37051
2020-06-02,7.00531
2020-06-03,6.5737
2020-06-04,6.7895
2020-06-05,6.4575
2020-06-06,6.5737
2020-06-07,6.7729
2020-06-08,7.33731
2020-06-09,7.63612
2020-06-10,8.00132
2020-06-11,7.61952
2020-06-12,7.81872
2020-06-13,7.80212
2020-06-14,7.55312
2020-06-15,8.76494
2020-06-16,7.91832
2020-06-17,8.13413
2020-06-18,7.68592
2020-06-19,7.98472
2020-06-20,8.73173
2020-06-21,7.95152
2020-06-22,8.25033
2020-06-23,7.86852
2020-06-24,7.95152
2020-06-25,8.88114
2020-06-26,12.03519
2020-06-27,8.34993
2020-06-28,8.00132
2020-06-29,8.30013
2020-06-30,8.33333
2020-07-01,7.51992
2020-07-02,8.28353
2020-07-03,7.78552
2020-07-04,8.28353
2020-07-05,7.08831
2020-07-06,8.33333
2020-07-07,7.37051
2020-07-08,8.44953
2020-07-09,7.28751
2020-07-10,7.45351
2020-07-11,7.81872
2020-07-12,6.6567
2020-07-13,7.10491
2020-07-14,7.88512
2020-07-15,7.32071
2020-07-16,7.27091
2020-07-17,6.98871
2020-07-18,7.32071
2020-07-19,7.05511
2020-07-20,7.08831
2020-07-21,7.70252
2020-07-22,7.22111
