date,TIGER차이나전기차SOLACTIVE
2020-12-03,0.04969
2020-12-06,0.04586
2020-12-07,0.05351
2020-12-08,0.41282
2020-12-09,0.28668
2020-12-10,0.1873
2020-12-11,0.58101
2020-12-12,0.29815
2020-12-13,0.28668
2020-12-14,0.82947
2020-12-15,1.06647
2020-12-16,1.31111
2020-12-17,1.39902
2020-12-18,1.94564
2020-12-19,0.6804
2020-12-20,0.60012
2020-12-21,2.38905
2020-12-22,2.88597
2020-12-23,2.71014
2020-12-24,2.23997
2020-12-25,0.65364
2020-12-26,0.65746
2020-12-27,0.73773
2020-12-28,2.31642
2020-12-29,3.82248
2020-12-30,3.39054
2020-12-31,1.30346
2021-01-01,1.12381
2021-01-02,1.22701
2021-01-03,1.08176
2021-01-04,6.66641
2021-01-05,6.62436
2021-01-06,7.47295
2021-01-07,9.15484
2021-01-08,10.87878
2021-01-09,2.87833
2021-01-10,3.13825
2021-01-11,10.07988
2021-01-12,8.15335
2021-01-13,10.20603
2021-01-14,9.77409
2021-01-15,9.10133
2021-01-16,1.90741
2021-01-17,2.28202
2021-01-18,8.23745
2021-01-19,10.39333
2021-01-20,10.33981
2021-01-21,11.83823
2021-01-22,12.88941
2021-01-23,8.45915
2021-01-24,15.95504
2021-01-25,48.54172
2021-01-26,38.82496
2021-01-27,40.69798
2021-01-28,29.94533
2021-01-29,27.3384
2021-01-30,6.91105
2021-01-31,6.67023
2021-02-01,28.99736
2021-02-02,31.53931
2021-02-03,30.6869
2021-02-04,27.80092
2021-02-05,28.83299
2021-02-06,6.91487
2021-02-07,6.27269
2021-02-08,27.17403
2021-02-09,24.00519
2021-02-10,22.82405
2021-02-11,5.5426
2021-02-12,4.75134
2021-02-13,4.36909
2021-02-14,4.64049
2021-02-15,28.56542
2021-02-16,26.68475
2021-02-17,24.24983
2021-02-18,30.10588
2021-02-19,27.97293
2021-02-20,4.81632
2021-02-21,4.01743
2021-02-22,26.93704
2021-02-23,25.54948
2021-02-24,33.87102
2021-02-25,39.35629
2021-02-26,29.76185
2021-02-27,5.69167
2021-02-28,4.2009
2021-03-01,7.09835
2021-03-02,28.62658
2021-03-03,24.1084
2021-03-04,27.21608
2021-03-05,25.366
2021-03-06,4.92718
2021-03-07,4.18179
2021-03-08,31.38641
2021-03-09,28.25197
2021-03-10,23.99755
2021-03-11,24.1428
2021-03-12,23.25981
2021-03-13,3.58166
2021-03-14,2.67956
2021-03-15,22.12453
2021-03-16,23.07633
2021-03-17,21.49
2021-03-18,20.8784
2021-03-19,17.10561
2021-03-20,3.39818
2021-03-21,2.81717
2021-03-22,17.25086
2021-03-23,23.1222
2021-03-24,23.37448
2021-03-25,23.28657
2021-03-26,23.25599
2021-03-27,4.98834
2021-03-28,3.64664
2021-03-29,19.54053
2021-03-30,18.74928
2021-03-31,16.79981
2021-04-01,18.00772
2021-04-02,19.67814
2021-04-03,3.03122
2021-04-04,2.58017
2021-04-05,17.07121
2021-04-06,20.08715
2021-04-07,20.67199
2021-04-08,17.29673
2021-04-09,19.19269
2021-04-10,3.29498
2021-04-11,2.87068
2021-04-12,22.50296
2021-04-13,21.62761
2021-04-14,20.3853
2021-04-15,17.12855
2021-04-16,17.13237
2021-04-17,2.97006
2021-04-18,2.26291
2021-04-19,23.89434
2021-04-20,22.61763
2021-04-21,16.80363
2021-04-22,18.56198
2021-04-23,16.02385
2021-04-24,2.49608
2021-04-25,1.88066
2021-04-26,17.25469
2021-04-27,16.65838
2021-04-28,15.54986
2021-04-29,16.11176
2021-04-30,15.00324
2021-05-01,2.10618
2021-05-02,1.61308
2021-05-03,15.50399
2021-05-04,15.16761
2021-05-05,2.94713
2021-05-06,15.28993
2021-05-07,14.9115
2021-05-08,2.1941
2021-05-09,1.94946
2021-05-10,16.23026
2021-05-11,14.07438
2021-05-12,12.64095
2021-05-13,11.75031
2021-05-14,12.49569
2021-05-15,1.93799
2021-05-16,1.55957
2021-05-17,18.64989
2021-05-18,15.77156
2021-05-19,3.09238
2021-05-20,23.12602
2021-05-21,21.31416
2021-05-22,2.50754
2021-05-23,2.78659
2021-05-24,19.04361
2021-05-25,21.72699
2021-05-26,21.78433
2021-05-27,20.49615
2021-05-28,30.50724
2021-05-29,5.87515
2021-05-30,3.71927
2021-05-31,33.15622
2021-06-01,29.85742
2021-06-02,26.9141
2021-06-03,25.90879
2021-06-04,31.50873
2021-06-05,5.43939
2021-06-06,4.15886
2021-06-07,28.41252
2021-06-08,26.86441
2021-06-09,23.07633
2021-06-10,28.34371
2021-06-11,32.25029
2021-06-12,5.68021
2021-06-13,3.74985
2021-06-14,26.61977
2021-06-15,33.28236
2021-06-16,52.81908
2021-06-17,36.95959
2021-06-18,35.55674
2021-06-19,5.55406
2021-06-20,3.92951
2021-06-21,32.36114
2021-06-22,29.5478
2021-06-23,30.64103
2021-06-24,29.9568
2021-06-25,28.34371
2021-06-26,3.44023
2021-06-27,2.75983
2021-06-28,30.9086
2021-06-29,29.73892
2021-06-30,30.07148
2021-07-01,29.1235
2021-07-02,27.65567
2021-07-03,4.36145
2021-07-04,3.47463
2021-07-05,27.84297
2021-07-06,34.98337
2021-07-07,47.50965
2021-07-08,55.54451
2021-07-09,53.1287
2021-07-10,8.16864
2021-07-11,6.14655
2021-07-12,64.09923
2021-07-13,64.03424
2021-07-14,59.70719
2021-07-15,58.02912
2021-07-16,48.74813
2021-07-17,6.47528
2021-07-18,7.06012
2021-07-19,49.65406
2021-07-20,47.03566
2021-07-21,50.47972
2021-07-22,52.98727
2021-07-23,45.63663
2021-07-24,6.23447
2021-07-25,4.74752
2021-07-26,45.36141
2021-07-27,47.22678
2021-07-28,55.24253
2021-07-29,54.02698
2021-07-30,51.95137
2021-07-31,6.67023
2021-08-01,5.60376
2021-08-02,53.96964
2021-08-03,53.77852
2021-08-04,60.88452
2021-08-05,56.65303
2021-08-06,61.63755
2021-08-07,9.94228
2021-08-08,7.82462
2021-08-09,74.77925
2021-08-10,61.73311
2021-08-11,59.40139
2021-08-12,59.25232
2021-08-13,59.68808
2021-08-14,7.19773
2021-08-15,5.52731
2021-08-16,12.683
2021-08-17,65.07396
2021-08-18,60.05122
2021-08-19,60.05504
2021-08-20,51.42387
2021-08-21,6.28034
2021-08-22,4.83161
2021-08-23,47.42173
2021-08-24,53.05607
2021-08-25,49.3712
2021-08-26,48.04097
2021-08-27,45.91949
2021-08-28,6.55173
2021-08-29,4.82015
2021-08-30,51.32449
2021-08-31,53.33893
2021-09-01,62.6658
2021-09-02,48.78636
2021-09-03,68.81617
2021-09-04,9.37273
2021-09-05,7.15568
2021-09-06,56.70654
2021-09-07,62.68109
2021-09-08,51.86346
