date,테스주가
2020-03-20,15.14572
2020-03-21,1.17853
2020-03-22,1.01927
2020-03-23,12.72495
2020-03-24,16.86574
2020-03-25,20.76763
2020-03-26,16.02165
2020-03-27,15.00238
2020-03-28,1.2263
2020-03-29,0.74852
2020-03-30,13.77607
2020-03-31,13.96719
2020-04-01,14.68386
2020-04-02,14.41312
2020-04-03,14.68386
2020-04-04,0.95556
2020-04-05,0.78037
2020-04-06,13.792
2020-04-07,24.43064
2020-04-08,21.26134
2020-04-09,15.78276
2020-04-10,14.73164
2020-04-11,1.27408
2020-04-12,0.84408
2020-04-13,12.04013
2020-04-14,13.44163
2020-04-15,1.62446
2020-04-16,13.90348
2020-04-17,18.21946
2020-04-18,1.67224
2020-04-19,1.27408
2020-04-20,15.71906
2020-04-21,12.66125
2020-04-22,15.08201
2020-04-23,12.50199
2020-04-24,10.59085
2020-04-25,1.1626
2020-04-26,0.57333
2020-04-27,11.06864
2020-04-28,10.51122
2020-04-29,14.74757
2020-04-30,1.68816
2020-05-01,1.91113
2020-05-02,0.57333
2020-05-03,1.56075
2020-05-04,13.77607
2020-05-05,1.40149
2020-05-06,15.43239
2020-05-07,17.63019
2020-05-08,16.77018
2020-05-09,1.75187
2020-05-10,1.95891
2020-05-11,14.54053
2020-05-12,12.99569
2020-05-13,12.47013
2020-05-14,10.57493
2020-05-15,15.05016
2020-05-16,1.29001
2020-05-17,1.35371
2020-05-18,15.73498
2020-05-19,18.31501
2020-05-20,29.55884
2020-05-21,30.51441
2020-05-22,20.83134
2020-05-23,2.54817
2020-05-24,2.64373
2020-05-25,19.78021
2020-05-26,18.63354
2020-05-27,16.19684
2020-05-28,18.69724
2020-05-29,18.5539
2020-05-30,1.97483
2020-05-31,1.38557
2020-06-01,21.11801
2020-06-02,21.77098
2020-06-03,20.03503
2020-06-04,17.8213
2020-06-05,14.69979
2020-06-06,1.59261
2020-06-07,1.30594
2020-06-08,13.52126
2020-06-09,12.70903
2020-06-10,13.8557
2020-06-11,11.92865
2020-06-12,12.97977
2020-06-13,1.27408
2020-06-14,2.16594
2020-06-15,19.47762
2020-06-16,20.89504
2020-06-17,24.35101
2020-06-18,22.3921
2020-06-19,21.40468
2020-06-20,1.67224
2020-06-21,2.16594
2020-06-22,30.83293
2020-06-23,31.34257
2020-06-24,28.38031
2020-06-25,22.86988
2020-06-26,22.47173
2020-06-27,1.59261
2020-06-28,1.35371
2020-06-29,18.72909
2020-06-30,20.30578
2020-07-01,22.5195
2020-07-02,18.21946
2020-07-03,17.37537
2020-07-04,1.24223
2020-07-05,0.93964
2020-07-06,20.24207
2020-07-07,20.75171
2020-07-08,15.44831
2020-07-09,16.86574
2020-07-10,18.20353
2020-07-11,1.19445
2020-07-12,1.25816
2020-07-13,20.05096
2020-07-14,17.025
2020-07-15,17.40723
2020-07-16,16.13314
2020-07-17,21.75505
2020-07-18,2.18187
2020-07-19,1.72001
2020-07-20,20.19429
2020-07-21,17.93279
2020-07-22,16.16499
2020-07-23,37.44226
2020-07-24,37.47412
2020-07-25,3.7267
2020-07-26,2.81892
2020-07-27,30.13218
2020-07-28,39.46488
2020-07-29,35.18076
2020-07-30,31.70887
2020-07-31,27.39289
2020-08-01,3.45596
2020-08-02,2.58002
2020-08-03,25.49769
2020-08-04,23.47507
2020-08-05,23.8573
2020-08-06,28.90587
2020-08-07,23.80952
2020-08-08,2.24558
2020-08-09,2.61188
2020-08-10,28.14142
2020-08-11,31.53368
2020-08-12,28.76254
2020-08-13,25.24287
2020-08-14,21.80283
2020-08-15,1.59261
2020-08-16,0.93964
2020-08-17,2.85077
2020-08-18,18.66539
2020-08-19,20.75171
2020-08-20,16.91352
2020-08-21,18.66539
2020-08-22,1.73594
2020-08-23,1.0989
2020-08-24,20.33763
2020-08-25,19.57318
2020-08-26,21.02245
2020-08-27,17.8213
2020-08-28,19.25465
2020-08-29,1.49705
2020-08-30,1.4652
2020-08-31,17.91686
