date,18K금시세
2020-03-20,58.86303
2020-03-21,44.8165
2020-03-22,37.40874
2020-03-23,44.71916
2020-03-24,43.78467
2020-03-25,45.84834
2020-03-26,43.56079
2020-03-27,40.23167
2020-03-28,36.29903
2020-03-29,33.88494
2020-03-30,40.57237
2020-03-31,41.72101
2020-04-01,36.9999
2020-04-02,36.75654
2020-04-03,36.63973
2020-04-04,34.1575
2020-04-05,31.84074
2020-04-06,38.88834
2020-04-07,39.30692
2020-04-08,40.81573
2020-04-09,38.06093
2020-04-10,43.32716
2020-04-11,37.86625
2020-04-12,49.80044
2020-04-13,54.87199
2020-04-14,57.33476
2020-04-15,46.38372
2020-04-16,50.82254
2020-04-17,49.17745
2020-04-18,47.04565
2020-04-19,38.8202
2020-04-20,46.03329
2020-04-21,49.19692
2020-04-22,47.14299
2020-04-23,48.38898
2020-04-24,49.40134
2020-04-25,44.0475
2020-04-26,42.06171
2020-04-27,61.6373
2020-04-28,51.4358
2020-04-29,43.45371
2020-04-30,40.69891
2020-05-01,42.40241
2020-05-02,39.34585
2020-05-03,37.69103
2020-05-04,45.31295
2020-05-05,45.25455
2020-05-06,56.64362
2020-05-07,44.00856
2020-05-08,42.87939
2020-05-09,39.00515
2020-05-10,34.79022
2020-05-11,42.54842
2020-05-12,40.88387
2020-05-13,39.82283
2020-05-14,41.99357
2020-05-15,40.77679
2020-05-16,40.13433
2020-05-17,36.86362
2020-05-18,50.64732
2020-05-19,51.28005
2020-05-20,48.94383
2020-05-21,46.04302
2020-05-22,42.344
2020-05-23,41.51659
2020-05-24,37.23352
2020-05-25,45.34215
2020-05-26,43.69706
2020-05-27,42.57763
2020-05-28,42.43161
2020-05-29,37.7397
2020-05-30,37.19458
2020-05-31,37.46714
2020-06-01,44.50501
2020-06-02,41.50686
2020-06-03,40.77679
2020-06-04,37.92465
2020-06-05,37.46714
2020-06-06,35.59816
2020-06-07,32.54161
2020-06-08,38.23615
2020-06-09,37.86625
2020-06-10,38.55738
2020-06-11,37.51581
2020-06-12,36.48398
2020-06-13,36.14328
2020-06-14,35.238
2020-06-15,42.85018
2020-06-16,39.92991
2020-06-17,37.96359
2020-06-18,35.5787
2020-06-19,36.59106
2020-06-20,36.13355
2020-06-21,32.22038
2020-06-22,44.24218
2020-06-23,43.29796
2020-06-24,39.40426
2020-06-25,40.183
2020-06-26,38.89808
2020-06-27,37.66183
2020-06-28,33.92387
2020-06-29,39.8131
2020-06-30,38.38216
2020-07-01,42.78205
2020-07-02,43.21035
2020-07-03,38.49897
2020-07-04,37.45741
2020-07-05,38.64499
2020-07-06,46.78282
2020-07-07,42.27586
2020-07-08,42.22719
2020-07-09,43.69706
2020-07-10,38.4795
2020-07-11,37.24325
2020-07-12,36.43531
2020-07-13,45.91648
2020-07-14,60.80015
2020-07-15,54.39501
2020-07-16,49.52788
2020-07-17,47.12352
2020-07-18,43.87228
2020-07-19,38.46977
2020-07-20,49.01197
2020-07-21,46.42266
2020-07-22,54.07378
2020-07-23,56.93565
2020-07-24,62.94169
2020-07-25,90.2268
2020-07-26,53.02248
2020-07-27,79.03241
2020-07-28,92.52409
2020-07-29,100.0
2020-07-30,64.34342
2020-07-31,60.97537
2020-08-01,55.05694
2020-08-02,46.8607
2020-08-03,55.40737
2020-08-04,53.11982
2020-08-05,82.52701
2020-08-06,68.98666
2020-08-07,63.33106
2020-08-08,52.90567
2020-08-09,49.07037
2020-08-10,58.05509
2020-08-11,56.6923
2020-08-12,85.33047
2020-08-13,63.50627
2020-08-14,51.19244
2020-08-15,45.8386
2020-08-16,41.18563
2020-08-17,48.45712
2020-08-18,58.42499
2020-08-19,52.38975
2020-08-20,50.03406
2020-08-21,48.14562
2020-08-22,43.92095
2020-08-23,39.17064
2020-08-24,49.20665
2020-08-25,46.10143
2020-08-26,44.73863
2020-08-27,47.19166
2020-08-28,45.16694
2020-08-29,41.78915
2020-08-30,37.79811
2020-08-31,45.8094
2020-09-01,43.11301
2020-09-02,40.42636
2020-09-03,38.67419
2020-09-04,42.44135
2020-09-05,38.87861
2020-09-06,36.007
2020-09-07,41.11749
2020-09-08,40.98121
2020-09-09,42.29533
2020-09-10,40.22194
2020-09-11,37.82731
2020-09-12,36.20169
2020-09-13,34.05042
2020-09-14,39.48213
2020-09-15,38.02199
2020-09-16,37.63262
2020-09-17,36.61053
2020-09-18,37.79811
2020-09-19,33.846
2020-09-20,29.86469
2020-09-21,40.04672
2020-09-22,46.38372
2020-09-23,46.30585
2020-09-24,42.12012
2020-09-25,42.47055
2020-09-26,38.59632
2020-09-27,33.77786
2020-09-28,42.44135
2020-09-29,43.51211
2020-09-30,24.91969
2020-10-01,25.87364
2020-10-02,28.48242
2020-10-03,33.30088
2020-10-04,31.46111
2020-10-05,39.4724
2020-10-06,37.01937
2020-10-07,34.33271
2020-10-08,33.26194
2020-10-09,31.92835
2020-10-10,32.74603
2020-10-11,29.55319
2020-10-12,35.79285
2020-10-13,34.48846
2020-10-14,34.12829
2020-10-15,33.85573
2020-10-16,32.29825
2020-10-17,31.27616
2020-10-18,29.12489
2020-10-19,36.90256
2020-10-20,33.95308
2020-10-21,32.43453
2020-10-22,31.93809
2020-10-23,33.69999
2020-10-24,30.07884
2020-10-25,28.15146
2020-10-26,34.51766
2020-10-27,33.36902
