date,자동차담보대출
2020-03-20,62.19578
2020-03-21,26.93347
2020-03-22,27.04164
2020-03-23,78.52893
2020-03-24,75.0676
2020-03-25,64.41319
2020-03-26,63.16928
2020-03-27,47.37696
2020-03-28,21.90373
2020-03-29,20.17306
2020-03-30,67.65819
2020-03-31,59.49161
2020-04-01,55.70578
2020-04-02,51.27095
2020-04-03,50.08112
2020-04-04,20.65981
2020-04-05,23.52623
2020-04-06,65.38669
2020-04-07,54.24553
2020-04-08,51.91995
2020-04-09,54.3537
2020-04-10,50.08112
2020-04-11,23.85073
2020-04-12,24.82422
2020-04-13,69.06435
2020-04-14,57.16603
2020-04-15,27.79881
2020-04-16,66.19794
2020-04-17,54.29962
2020-04-18,21.84964
2020-04-19,24.06706
2020-04-20,74.04002
2020-04-21,65.22444
2020-04-22,57.22011
2020-04-23,54.94862
2020-04-24,50.02704
2020-04-25,23.03948
2020-04-26,22.49864
2020-04-27,72.63385
2020-04-28,58.40995
2020-04-29,48.29637
2020-04-30,22.33639
2020-05-01,22.01189
2020-05-02,17.19848
2020-05-03,18.00973
2020-05-04,57.22011
2020-05-05,27.04164
2020-05-06,65.71119
2020-05-07,53.16387
2020-05-08,43.21254
2020-05-09,22.98539
2020-05-10,23.30989
2020-05-11,60.95186
2020-05-12,58.03136
2020-05-13,55.48945
2020-05-14,54.0292
2020-05-15,45.15954
2020-05-16,21.63331
2020-05-17,24.06706
2020-05-18,67.82044
2020-05-19,55.11087
2020-05-20,66.19794
2020-05-21,58.84261
2020-05-22,44.51054
2020-05-23,18.65873
2020-05-24,23.47214
2020-05-25,68.36127
2020-05-26,55.81395
2020-05-27,51.48729
2020-05-28,48.35045
2020-05-29,41.04921
2020-05-30,16.54948
2020-05-31,20.01081
2020-06-01,52.62303
2020-06-02,45.64629
2020-06-03,44.83504
2020-06-04,36.45213
2020-06-05,34.39697
2020-06-06,16.33315
2020-06-07,15.35965
2020-06-08,51.91995
2020-06-09,50.7842
2020-06-10,53.97512
2020-06-11,46.02487
2020-06-12,43.96971
2020-06-13,19.84856
2020-06-14,21.09248
2020-06-15,67.71227
2020-06-16,53.59653
2020-06-17,48.89129
2020-06-18,51.27095
2020-06-19,44.67279
2020-06-20,21.52514
2020-06-21,22.28231
2020-06-22,68.2531
2020-06-23,54.3537
2020-06-24,55.43537
2020-06-25,59.59978
2020-06-26,44.83504
2020-06-27,21.30881
2020-06-28,21.09248
2020-06-29,62.03353
2020-06-30,52.0822
2020-07-01,49.4862
2020-07-02,43.15846
2020-07-03,41.48188
2020-07-04,19.19956
2020-07-05,20.11898
2020-07-06,61.97944
2020-07-07,58.84261
2020-07-08,50.7842
2020-07-09,50.7842
2020-07-10,41.64413
2020-07-11,19.30773
2020-07-12,24.28339
2020-07-13,62.52028
2020-07-14,61.22228
2020-07-15,64.62952
2020-07-16,46.02487
2020-07-17,41.31963
2020-07-18,14.06165
2020-07-19,17.19848
2020-07-20,67.98269
2020-07-21,55.0027
2020-07-22,58.40995
2020-07-23,54.84045
2020-07-24,53.92103
2020-07-25,20.55164
2020-07-26,22.17414
2020-07-27,66.79286
2020-07-28,64.62952
2020-07-29,52.29853
2020-07-30,51.48729
2020-07-31,41.59004
2020-08-01,19.52406
2020-08-02,18.55056
2020-08-03,64.62952
2020-08-04,53.10978
2020-08-05,50.18929
2020-08-06,43.42888
2020-08-07,40.88696
2020-08-08,20.22714
2020-08-09,20.17306
2020-08-10,64.03461
2020-08-11,51.97404
2020-08-12,48.45862
2020-08-13,46.45754
2020-08-14,54.13737
2020-08-15,19.95673
2020-08-16,17.25256
2020-08-17,31.90914
2020-08-18,68.63169
2020-08-19,59.81611
2020-08-20,63.43969
2020-08-21,52.24445
2020-08-22,23.52623
2020-08-23,24.28339
2020-08-24,66.84694
2020-08-25,65.17036
2020-08-26,55.48945
2020-08-27,56.67928
2020-08-28,45.70037
2020-08-29,20.01081
2020-08-30,20.65981
2020-08-31,58.30178
2020-09-01,55.48945
2020-09-02,50.51379
2020-09-03,47.70146
2020-09-04,44.83504
2020-09-05,20.82206
2020-09-06,20.60573
2020-09-07,62.35803
2020-09-08,53.81287
2020-09-09,57.43645
2020-09-10,59.16711
2020-09-11,50.40562
2020-09-12,21.79556
2020-09-13,32.72038
2020-09-14,74.25635
2020-09-15,66.68469
2020-09-16,49.75662
2020-09-17,50.4597
2020-09-18,41.26554
2020-09-19,24.06706
2020-09-20,22.55273
2020-09-21,64.95402
2020-09-22,54.3537
2020-09-23,55.48945
2020-09-24,53.59653
2020-09-25,47.75554
2020-09-26,23.52623
2020-09-27,16.44131
2020-09-28,50.4597
2020-09-29,35.47863
2020-09-30,13.68307
2020-10-01,11.79015
2020-10-02,11.79015
2020-10-03,15.14332
2020-10-04,21.90373
2020-10-05,66.08977
2020-10-06,53.75878
2020-10-07,46.72796
2020-10-08,40.77879
2020-10-09,20.33531
2020-10-10,20.76798
2020-10-11,20.87614
2020-10-12,71.66035
2020-10-13,56.3007
2020-10-14,56.08436
2020-10-15,57.32828
2020-10-16,41.42779
2020-10-17,20.49756
2020-10-18,21.52514
2020-10-19,61.43861
2020-10-20,52.0822
2020-10-21,51.64954
2020-10-22,44.40237
2020-10-23,39.4808
2020-10-24,18.00973
2020-10-25,19.68631
2020-10-26,79.6106
2020-10-27,57.00378
2020-10-28,53.92103
2020-10-29,51.97404
2020-10-30,43.48296
2020-10-31,18.49648
2020-11-01,22.87723
2020-11-02,61.27636
2020-11-03,49.1617
2020-11-04,47.53921
2020-11-05,43.86154
2020-11-06,44.13196
2020-11-07,20.49756
2020-11-08,18.1179
2020-11-09,55.48945
2020-11-10,49.8107
2020-11-11,50.4597
2020-11-12,45.86262
2020-11-13,45.86262
2020-11-14,19.4159
2020-11-15,22.12006
2020-11-16,61.76311
2020-11-17,52.24445
2020-11-18,59.65386
2020-11-19,55.16495
2020-11-20,44.56462
2020-11-21,20.55164
2020-11-22,21.57923
2020-11-23,64.25094
2020-11-24,62.57436
2020-11-25,62.30394
2020-11-26,57.70686
2020-11-27,44.88912
2020-11-28,20.01081
2020-11-29,21.79556
2020-11-30,63.76419
2020-12-01,55.16495
2020-12-02,51.16279
2020-12-03,49.97295
2020-12-04,47.05246
2020-12-05,19.63223
2020-12-06,21.63331
2020-12-07,58.8967
2020-12-08,52.13628
2020-12-09,49.43212
2020-12-10,48.35045
2020-12-11,43.10438
2020-12-12,23.63439
2020-12-13,25.09464
2020-12-14,62.30394
