date,카드이벤트
2020-03-20,1.70068
2020-03-22,2.04081
2020-03-23,2.04081
2020-03-27,2.38095
2020-03-28,2.38095
2020-03-29,3.06122
2020-03-31,2.72108
2020-04-03,2.72108
2020-04-05,2.38095
2020-04-06,3.74149
2020-04-07,2.04081
2020-04-08,5.44217
2020-04-09,2.38095
2020-04-10,1.70068
2020-04-11,4.7619
2020-04-13,1.70068
2020-04-14,2.04081
2020-04-15,2.72108
2020-04-17,3.06122
2020-04-20,3.40136
2020-04-21,4.08163
2020-04-22,1.70068
2020-04-23,2.72108
2020-04-24,3.74149
2020-04-29,1.70068
2020-05-01,4.08163
2020-05-02,3.06122
2020-05-03,2.38095
2020-05-04,1.70068
2020-05-06,3.74149
2020-05-07,2.38095
2020-05-08,4.08163
2020-05-09,1.70068
2020-05-10,7.14285
2020-05-11,8.16326
2020-05-12,5.10204
2020-05-13,5.10204
2020-05-14,3.74149
2020-05-15,1.70068
2020-05-20,3.06122
2020-05-21,4.42176
2020-05-22,5.44217
2020-05-24,3.06122
2020-05-26,1.70068
2020-05-27,2.04081
2020-05-28,5.10204
2020-05-29,5.44217
2020-05-30,1.70068
2020-05-31,2.04081
2020-06-01,3.06122
2020-06-02,5.78231
2020-06-03,4.42176
2020-06-04,4.08163
2020-06-05,2.38095
2020-06-06,6.12244
2020-06-07,5.44217
2020-06-08,8.16326
2020-06-09,5.10204
2020-06-10,8.16326
2020-06-11,7.82312
2020-06-12,7.14285
2020-06-13,8.16326
2020-06-14,7.14285
2020-06-15,7.48299
2020-06-16,5.44217
2020-06-17,7.48299
2020-06-18,5.78231
2020-06-19,3.40136
2020-06-20,4.42176
2020-06-21,2.72108
2020-06-22,4.7619
2020-06-23,7.82312
2020-06-24,7.14285
2020-06-25,8.84353
2020-06-26,5.78231
2020-06-27,3.40136
2020-06-28,5.10204
2020-06-29,6.46258
2020-06-30,6.46258
2020-07-01,18.70748
2020-07-02,13.60544
2020-07-03,7.48299
2020-07-04,4.42176
2020-07-05,5.10204
2020-07-06,7.48299
2020-07-07,6.46258
2020-07-08,5.10204
2020-07-09,12.24489
2020-07-10,6.80272
2020-07-11,2.72108
2020-07-12,3.06122
2020-07-13,3.06122
2020-07-14,3.74149
2020-07-15,8.84353
2020-07-16,4.7619
2020-07-17,2.72108
2020-07-18,2.72108
2020-07-19,3.74149
2020-07-20,4.42176
2020-07-21,9.86394
2020-07-22,8.5034
2020-07-23,6.46258
2020-07-24,1.70068
2020-07-25,5.78231
2020-07-26,5.10204
2020-07-27,7.82312
