date,배당ETF
2020-03-20,10.55555
2020-03-21,21.11111
2020-03-22,17.5
2020-03-23,16.38888
2020-03-24,11.11111
2020-03-25,12.5
2020-03-26,12.22222
2020-03-27,11.94444
2020-03-28,8.88888
2020-03-29,10.83333
2020-03-30,8.61111
2020-03-31,9.44444
2020-04-01,6.38888
2020-04-02,7.22222
2020-04-03,14.16666
2020-04-04,9.44444
2020-04-05,8.05555
2020-04-06,7.77777
2020-04-07,9.72222
2020-04-08,10.0
2020-04-09,8.61111
2020-04-10,11.11111
2020-04-11,5.0
2020-04-12,8.61111
2020-04-13,7.77777
2020-04-14,5.27777
2020-04-15,5.83333
2020-04-16,9.44444
2020-04-17,10.0
2020-04-18,6.11111
2020-04-19,5.83333
2020-04-20,10.55555
2020-04-21,7.22222
2020-04-22,6.66666
2020-04-23,7.22222
2020-04-24,4.16666
2020-04-25,7.5
2020-04-26,12.5
2020-04-27,10.55555
2020-04-28,11.11111
2020-04-29,9.72222
2020-04-30,6.66666
2020-05-01,7.77777
2020-05-02,6.66666
2020-05-03,6.94444
2020-05-04,7.5
2020-05-05,3.88888
2020-05-06,6.38888
2020-05-07,11.38888
2020-05-08,8.88888
2020-05-09,6.94444
2020-05-10,11.11111
2020-05-11,4.16666
2020-05-12,8.88888
2020-05-13,4.72222
2020-05-14,6.66666
2020-05-15,8.61111
2020-05-16,6.94444
2020-05-17,6.38888
2020-05-18,5.27777
2020-05-19,8.05555
2020-05-20,7.77777
2020-05-21,7.77777
2020-05-22,6.94444
2020-05-23,8.61111
2020-05-24,8.33333
2020-05-25,11.11111
2020-05-26,6.94444
2020-05-27,7.5
2020-05-28,7.77777
2020-05-29,6.11111
2020-05-30,5.55555
2020-05-31,6.38888
2020-06-01,8.61111
2020-06-02,10.0
2020-06-03,6.94444
2020-06-04,8.88888
2020-06-05,8.61111
2020-06-06,7.5
2020-06-07,1.94444
2020-06-08,15.83333
2020-06-09,6.38888
2020-06-10,10.55555
2020-06-11,10.27777
2020-06-12,6.94444
2020-06-13,6.94444
2020-06-14,8.05555
2020-06-15,8.33333
2020-06-16,6.94444
2020-06-17,6.94444
2020-06-18,10.27777
2020-06-19,7.5
2020-06-20,3.33333
2020-06-21,5.0
2020-06-22,5.83333
2020-06-23,5.83333
2020-06-24,7.22222
2020-06-25,5.0
2020-06-26,5.0
2020-06-27,4.44444
2020-06-28,3.61111
2020-06-29,5.0
2020-06-30,6.11111
2020-07-01,6.38888
2020-07-02,6.38888
2020-07-03,3.88888
2020-07-04,2.77777
2020-07-05,7.77777
2020-07-06,9.44444
2020-07-07,7.77777
2020-07-08,5.27777
2020-07-09,6.66666
2020-07-10,6.11111
2020-07-11,5.0
2020-07-12,3.88888
2020-07-13,6.66666
2020-07-14,7.77777
2020-07-15,8.88888
2020-07-16,7.77777
2020-07-17,6.11111
2020-07-18,4.72222
2020-07-19,5.27777
2020-07-20,5.55555
2020-07-21,13.61111
2020-07-22,10.83333
2020-07-23,6.11111
2020-07-24,8.33333
2020-07-25,3.05555
2020-07-26,6.94444
2020-07-27,8.61111
2020-07-28,8.05555
2020-07-29,7.22222
2020-07-30,10.27777
2020-07-31,8.33333
2020-08-01,3.33333
2020-08-02,5.0
2020-08-03,9.16666
2020-08-04,9.16666
2020-08-05,6.38888
2020-08-06,9.44444
2020-08-07,6.66666
2020-08-08,7.77777
2020-08-09,8.33333
2020-08-10,5.83333
2020-08-11,11.11111
2020-08-12,9.44444
2020-08-13,13.05555
2020-08-14,10.0
2020-08-15,5.27777
2020-08-16,7.22222
2020-08-17,5.83333
2020-08-18,3.33333
2020-08-19,9.44444
2020-08-20,7.5
2020-08-21,7.5
2020-08-22,7.5
2020-08-23,9.16666
2020-08-24,7.77777
2020-08-25,7.5
2020-08-26,9.72222
2020-08-27,8.61111
2020-08-28,8.05555
2020-08-29,8.88888
2020-08-30,6.66666
2020-08-31,11.11111
2020-09-01,9.44444
2020-09-02,12.5
2020-09-03,8.61111
2020-09-04,6.38888
2020-09-05,8.05555
2020-09-06,7.22222
2020-09-07,7.5
2020-09-08,9.44444
2020-09-09,9.44444
2020-09-10,9.72222
2020-09-11,8.88888
2020-09-12,2.5
2020-09-13,4.44444
2020-09-14,8.61111
2020-09-15,11.38888
2020-09-16,12.77777
2020-09-17,9.72222
2020-09-18,10.0
2020-09-19,9.16666
2020-09-20,12.77777
2020-09-21,11.94444
2020-09-22,9.44444
2020-09-23,7.22222
2020-09-24,5.0
2020-09-25,9.44444
2020-09-26,5.83333
2020-09-27,6.94444
2020-09-28,8.05555
2020-09-29,10.27777
2020-09-30,9.72222
2020-10-01,8.05555
2020-10-02,6.66666
2020-10-03,11.11111
2020-10-04,8.61111
2020-10-05,12.5
2020-10-06,13.33333
2020-10-07,12.5
2020-10-08,8.61111
2020-10-09,7.22222
2020-10-10,8.05555
2020-10-11,16.94444
2020-10-12,13.05555
2020-10-13,9.72222
2020-10-14,11.38888
2020-10-15,7.5
2020-10-16,6.94444
2020-10-17,5.83333
2020-10-18,10.27777
2020-10-19,10.0
2020-10-20,14.44444
2020-10-21,8.05555
2020-10-22,17.5
2020-10-23,10.83333
