date,주식시장시간
2020-03-20,7.9007
2020-03-21,2.00979
2020-03-22,0.99364
2020-03-23,10.12862
2020-03-24,5.17769
2020-03-25,13.2065
2020-03-26,7.34156
2020-03-27,9.20767
2020-03-28,1.72936
2020-03-29,1.00403
2020-03-30,10.91107
2020-03-31,5.07209
2020-04-01,4.77088
2020-04-02,3.60413
2020-04-03,3.59201
2020-04-04,1.06462
2020-04-05,0.5124
2020-04-06,3.64048
2020-04-07,3.85514
2020-04-08,3.61971
2020-04-09,2.98786
2020-04-10,3.38082
2020-04-11,0.97633
2020-04-12,0.62665
2020-04-13,3.25272
2020-04-14,2.89784
2020-04-15,3.08999
2020-04-16,2.43737
2020-04-17,2.93766
2020-04-18,0.68897
2020-04-19,0.59895
2020-04-20,3.5522
2020-04-21,2.91515
2020-04-22,2.9567
2020-04-23,2.6503
2020-04-24,2.31966
2020-04-25,0.68551
2020-04-26,0.42757
2020-04-27,2.45295
2020-04-28,2.39236
2020-04-29,2.67107
2020-04-30,1.74494
2020-05-01,1.39872
2020-05-02,0.38776
2020-05-03,0.41892
2020-05-04,2.96016
2020-05-05,0.55568
2020-05-06,2.32831
2020-05-07,1.97171
2020-05-08,1.95613
2020-05-09,0.45008
2020-05-10,0.2787
2020-05-11,2.35601
2020-05-12,2.07904
2020-05-13,2.25215
2020-05-14,2.46161
2020-05-15,2.43391
2020-05-16,0.49682
2020-05-17,0.32198
2020-05-18,2.47546
2020-05-19,2.94112
2020-05-20,2.45815
2020-05-21,2.44776
2020-05-22,2.47199
2020-05-23,0.50201
2020-05-24,0.33583
2020-05-25,2.64857
2020-05-26,2.7282
2020-05-27,2.75762
2020-05-28,2.48411
2020-05-29,2.5222
2020-05-30,0.57126
2020-05-31,0.37737
2020-06-01,2.74204
2020-06-02,2.8511
2020-06-03,3.38601
2020-06-04,2.85457
2020-06-05,2.55162
2020-06-06,0.75475
2020-06-07,0.45181
2020-06-08,3.06403
2020-06-09,3.09692
2020-06-10,2.48065
2020-06-11,2.75589
2020-06-12,3.24752
2020-06-13,0.54183
2020-06-14,0.35833
2020-06-15,3.86206
2020-06-16,3.62317
2020-06-17,3.31157
2020-06-18,2.6001
2020-06-19,2.82168
2020-06-20,0.60068
2020-06-21,0.44489
2020-06-22,2.94458
2020-06-23,2.31793
2020-06-24,2.42352
2020-06-25,2.34389
