date,나스닥100선물
2020-03-20,2.48749
2020-03-21,0.94278
2020-03-22,0.46413
2020-03-23,3.52454
2020-03-24,4.02494
2020-03-25,4.41656
2020-03-26,3.50279
2020-03-27,3.02414
2020-03-28,0.81224
2020-03-29,0.60918
2020-03-30,3.46653
2020-03-31,2.39321
2020-04-01,2.99514
2020-04-02,3.09667
2020-04-03,2.00884
2020-04-04,0.61643
2020-04-05,0.30459
2020-04-06,2.22641
2020-04-07,2.78482
2020-04-08,2.87185
2020-04-09,2.23366
2020-04-10,1.41417
2020-04-11,0.32634
2020-04-12,0.35535
2020-04-13,2.49474
2020-04-14,2.00884
2020-04-15,1.24737
2020-04-16,2.20465
2020-04-17,1.94357
2020-04-18,0.52215
2020-04-19,0.29008
2020-04-20,1.85655
2020-04-21,2.47298
2020-04-22,1.94357
2020-04-23,1.59547
2020-04-24,1.45043
2020-04-25,0.3626
2020-04-26,0.14504
2020-04-27,1.45768
2020-04-28,1.3779
2020-04-29,1.28363
2020-04-30,0.74697
2020-05-01,1.37065
2020-05-02,0.44963
2020-05-03,0.23206
2020-05-04,1.26187
2020-05-05,1.16759
2020-05-06,1.50119
2020-05-07,1.42142
2020-05-08,1.05881
2020-05-09,0.34085
2020-05-10,0.10878
2020-05-11,1.07331
2020-05-12,1.17484
2020-05-13,1.43592
2020-05-14,1.3779
2020-05-15,1.02255
2020-05-16,0.23932
2020-05-17,0.10153
2020-05-18,0.90651
2020-05-19,0.97904
2020-05-20,1.17484
2020-05-21,1.24011
2020-05-22,1.32714
2020-05-23,0.30459
2020-05-24,0.06526
2020-05-25,0.77598
2020-05-26,0.95728
2020-05-27,0.8485
2020-05-28,0.97178
2020-05-29,1.03705
2020-05-30,0.32634
2020-05-31,0.15954
2020-06-01,1.16034
2020-06-02,1.02255
2020-06-03,0.89926
2020-06-04,0.94278
2020-06-05,1.05156
2020-06-06,0.1958
2020-06-07,0.07252
2020-06-08,0.85575
2020-06-09,0.91377
2020-06-10,1.24011
2020-06-11,1.60272
2020-06-12,1.87105
2020-06-13,0.44963
2020-06-14,0.15229
2020-06-15,2.50199
2020-06-16,2.21916
2020-06-17,1.95083
2020-06-18,1.97258
2020-06-19,1.35615
2020-06-20,0.37711
2020-06-21,0.23206
2020-06-22,1.53745
2020-06-23,1.79853
2020-06-24,1.91456
2020-06-25,3.29973
2020-06-26,1.92907
2020-06-27,0.45688
2020-06-28,0.22481
2020-06-29,2.35695
2020-06-30,1.74776
2020-07-01,1.6825
2020-07-02,1.5302
2020-07-03,1.41417
2020-07-04,0.29733
2020-07-05,0.10153
2020-07-06,0.98629
2020-07-07,1.5302
2020-07-08,1.42867
2020-07-09,1.26912
2020-07-10,1.49394
2020-07-11,0.3481
2020-07-12,0.13053
2020-07-13,1.13858
2020-07-14,2.16839
2020-07-15,1.90731
2020-07-16,2.08862
2020-07-17,1.66799
2020-07-18,0.37711
2020-07-19,0.10153
2020-07-20,1.45768
2020-07-21,1.41417
2020-07-22,1.45043
2020-07-23,1.70425
2020-07-24,2.2119
2020-07-25,0.43512
2020-07-26,0.14504
2020-07-27,1.7115
2020-07-28,1.3489
2020-07-29,1.57371
2020-07-30,1.697
2020-07-31,1.79128
2020-08-01,0.32634
2020-08-02,0.07977
2020-08-03,1.13858
2020-08-04,1.32714
2020-08-05,1.30538
2020-08-06,1.59547
2020-08-07,1.93632
2020-08-08,0.41337
2020-08-09,0.14504
2020-08-10,1.5157
2020-08-11,1.29088
2020-08-12,2.07411
2020-08-13,1.55921
2020-08-14,1.60997
2020-08-15,0.32634
2020-08-16,0.06526
2020-08-17,1.20385
2020-08-18,2.30618
2020-08-19,1.52295
2020-08-20,2.30618
2020-08-21,1.8783
2020-08-22,0.24657
2020-08-23,0.15229
2020-08-24,1.58822
2020-08-25,1.5447
2020-08-26,1.5447
2020-08-27,1.46493
2020-08-28,1.3634
2020-08-29,0.21756
2020-08-30,0.08702
2020-08-31,1.29813
2020-09-01,1.57371
2020-09-02,1.31989
2020-09-03,1.98709
2020-09-04,3.99593
2020-09-05,0.88476
2020-09-06,0.25382
2020-09-07,2.10312
2020-09-08,3.26347
2020-09-09,4.01044
