date,가압류
2020-03-20,44.20803
2020-03-21,25.1773
2020-03-22,23.28605
2020-03-23,45.86288
2020-03-24,47.63593
2020-03-25,46.5721
2020-03-26,44.68085
2020-03-27,40.42553
2020-03-28,22.69503
2020-03-29,23.04964
2020-03-30,46.09929
2020-03-31,47.51773
2020-04-01,39.95271
2020-04-02,44.79905
2020-04-03,44.68085
2020-04-04,25.53191
2020-04-05,20.33096
2020-04-06,46.92671
2020-04-07,46.4539
2020-04-08,44.91725
2020-04-09,54.13711
2020-04-10,41.60756
2020-04-11,24.34988
2020-04-12,22.81323
2020-04-13,47.04491
2020-04-14,45.15366
2020-04-15,24.82269
2020-04-16,43.97163
2020-04-17,42.31678
2020-04-18,28.7234
2020-04-19,22.22222
2020-04-20,52.12765
2020-04-21,51.18203
2020-04-22,41.84397
2020-04-23,45.86288
2020-04-24,42.78959
2020-04-25,22.69503
2020-04-26,22.57683
2020-04-27,49.88179
2020-04-28,50.1182
2020-04-29,43.38061
2020-04-30,27.18676
2020-05-01,23.64066
2020-05-02,21.27659
2020-05-03,22.81323
2020-05-04,40.89834
2020-05-05,24.94089
2020-05-06,47.39952
2020-05-07,51.06382
2020-05-08,41.60756
2020-05-09,24.82269
2020-05-10,23.16784
2020-05-11,44.32624
2020-05-12,54.84633
2020-05-13,47.63593
2020-05-14,45.27186
2020-05-15,42.55319
2020-05-16,25.76832
2020-05-17,25.53191
2020-05-18,51.89125
2020-05-19,53.6643
2020-05-20,50.47281
2020-05-21,49.52718
2020-05-22,43.1442
2020-05-23,22.69503
2020-05-24,22.69503
2020-05-25,52.83687
2020-05-26,48.46335
2020-05-27,50.94562
2020-05-28,52.60047
2020-05-29,43.026
2020-05-30,20.80378
2020-05-31,19.38534
2020-06-01,41.72576
2020-06-02,46.21749
2020-06-03,51.65484
2020-06-04,44.32624
2020-06-05,43.97163
2020-06-06,23.40425
2020-06-07,20.56737
2020-06-08,45.39007
2020-06-09,46.6903
2020-06-10,44.91725
2020-06-11,45.98108
2020-06-12,43.61702
2020-06-13,23.04964
2020-06-14,23.75886
2020-06-15,43.73522
2020-06-16,44.20803
2020-06-17,45.98108
2020-06-18,40.54373
2020-06-19,39.5981
2020-06-20,25.53191
2020-06-21,23.16784
2020-06-22,51.06382
2020-06-23,56.14657
2020-06-24,52.95508
2020-06-25,43.73522
2020-06-26,39.71631
2020-06-27,23.16784
2020-06-28,23.87706
2020-06-29,38.88888
2020-06-30,46.6903
2020-07-01,43.85342
2020-07-02,45.03546
2020-07-03,39.71631
2020-07-04,17.9669
2020-07-05,16.90307
2020-07-06,40.54373
2020-07-07,44.44444
2020-07-08,43.61702
2020-07-09,45.15366
2020-07-10,37.11583
2020-07-11,21.04018
2020-07-12,21.15839
2020-07-13,44.68085
2020-07-14,45.15366
2020-07-15,43.026
2020-07-16,44.91725
2020-07-17,41.60756
2020-07-18,19.14893
2020-07-19,18.79432
2020-07-20,41.72576
2020-07-21,42.67139
2020-07-22,43.73522
2020-07-23,40.30732
2020-07-24,41.84397
2020-07-25,18.55791
2020-07-26,17.9669
2020-07-27,43.85342
2020-07-28,55.08274
2020-07-29,40.07092
2020-07-30,40.30732
2020-07-31,36.52482
2020-08-01,21.7494
2020-08-02,15.13002
2020-08-03,36.52482
2020-08-04,40.54373
2020-08-05,38.77068
2020-08-06,43.38061
2020-08-07,36.99763
2020-08-08,21.15839
2020-08-09,21.86761
2020-08-10,38.17966
2020-08-11,38.65248
2020-08-12,40.07092
2020-08-13,42.31678
2020-08-14,40.07092
2020-08-15,21.27659
2020-08-16,17.37588
2020-08-17,23.28605
2020-08-18,39.24349
2020-08-19,41.48936
2020-08-20,40.66193
2020-08-21,37.11583
2020-08-22,24.70449
2020-08-23,21.86761
2020-08-24,43.38061
2020-08-25,41.13475
2020-08-26,45.39007
2020-08-27,41.72576
2020-08-28,36.99763
2020-08-29,22.81323
2020-08-30,22.45862
2020-08-31,45.15366
2020-09-01,42.78959
2020-09-02,44.08983
2020-09-03,44.91725
2020-09-04,43.026
2020-09-05,24.11347
2020-09-06,19.97635
2020-09-07,41.60756
2020-09-08,44.32624
2020-09-09,40.54373
2020-09-10,48.46335
2020-09-11,43.26241
2020-09-12,22.93144
2020-09-13,18.79432
2020-09-14,45.39007
2020-09-15,47.75413
2020-09-16,56.61938
2020-09-17,44.44444
2020-09-18,44.08983
2020-09-19,23.87706
2020-09-20,24.23167
2020-09-21,40.78014
2020-09-22,45.27186
2020-09-23,48.22695
2020-09-24,46.33569
2020-09-25,42.55319
2020-09-26,25.65011
2020-09-27,21.86761
2020-09-28,43.85342
2020-09-29,35.22458
2020-09-30,16.78486
2020-10-01,15.13002
