date,티스토리수익
2020-03-20,14.02524
2020-03-21,10.93969
2020-03-22,8.97615
2020-03-23,15.14726
2020-03-24,11.92145
2020-03-25,12.62272
2020-03-26,10.65918
2020-03-27,10.79943
2020-03-28,10.09817
2020-03-29,14.30575
2020-03-30,15.14726
2020-03-31,12.90322
2020-04-01,15.70827
2020-04-02,14.446
2020-04-03,10.23842
2020-04-04,11.92145
2020-04-05,10.23842
2020-04-06,14.02524
2020-04-07,13.18373
2020-04-08,10.79943
2020-04-09,10.79943
2020-04-10,7.29312
2020-04-11,7.57363
2020-04-12,10.37868
2020-04-13,10.65918
2020-04-14,12.06171
2020-04-15,9.81767
2020-04-16,9.1164
2020-04-17,11.64095
2020-04-18,10.65918
2020-04-19,12.34221
2020-04-20,12.34221
2020-04-21,10.37868
2020-04-22,11.5007
2020-04-23,8.69565
2020-04-24,9.53716
2020-04-25,5.18934
2020-04-26,9.95792
2020-04-27,9.81767
2020-04-28,9.67741
2020-04-29,10.51893
2020-04-30,8.41514
2020-05-01,8.41514
2020-05-02,7.57363
2020-05-03,7.15287
2020-05-04,10.93969
2020-05-05,12.48246
2020-05-06,10.37868
2020-05-07,9.53716
2020-05-08,10.65918
2020-05-09,7.15287
2020-05-10,9.25666
2020-05-11,11.5007
2020-05-12,7.43338
2020-05-13,7.71388
2020-05-14,9.25666
2020-05-15,8.97615
2020-05-16,11.92145
2020-05-17,9.39691
2020-05-18,14.30575
2020-05-19,10.09817
2020-05-20,9.67741
2020-05-21,9.95792
2020-05-22,9.1164
2020-05-23,7.01262
2020-05-24,11.07994
2020-05-25,11.7812
2020-05-26,9.67741
2020-05-27,11.92145
2020-05-28,8.69565
2020-05-29,9.25666
2020-05-30,7.29312
2020-05-31,10.23842
2020-06-01,11.92145
2020-06-02,10.09817
2020-06-03,7.99438
2020-06-04,7.29312
2020-06-05,7.57363
2020-06-06,7.15287
2020-06-07,6.31136
2020-06-08,7.43338
2020-06-09,6.1711
2020-06-10,7.99438
2020-06-11,5.8906
2020-06-12,6.03085
2020-06-13,5.75035
2020-06-14,7.57363
2020-06-15,6.87237
2020-06-16,7.57363
2020-06-17,9.81767
2020-06-18,6.1711
2020-06-19,6.31136
2020-06-20,6.1711
2020-06-21,9.81767
2020-06-22,11.22019
2020-06-23,10.37868
2020-06-24,8.69565
2020-06-25,9.1164
2020-06-26,5.04908
2020-06-27,6.31136
2020-06-28,6.03085
2020-06-29,12.90322
2020-06-30,9.25666
2020-07-01,9.95792
2020-07-02,6.45161
2020-07-03,5.18934
2020-07-04,5.04908
2020-07-05,6.31136
2020-07-06,9.81767
2020-07-07,8.13464
2020-07-08,7.85413
2020-07-09,5.46984
2020-07-10,6.1711
2020-07-11,5.46984
2020-07-12,8.97615
2020-07-13,13.46423
2020-07-14,9.39691
2020-07-15,9.53716
2020-07-16,7.85413
2020-07-17,8.69565
2020-07-18,7.43338
2020-07-19,11.07994
2020-07-20,8.97615
2020-07-21,10.09817
2020-07-22,6.87237
2020-07-23,6.87237
2020-07-24,7.71388
2020-07-25,4.62833
2020-07-26,8.41514
2020-07-27,9.39691
2020-07-28,7.15287
2020-07-29,7.71388
2020-07-30,8.69565
2020-07-31,7.99438
2020-08-01,6.59186
2020-08-02,5.61009
2020-08-03,11.07994
2020-08-04,10.37868
2020-08-05,8.41514
2020-08-06,8.41514
2020-08-07,8.13464
2020-08-08,5.46984
2020-08-09,8.27489
2020-08-10,7.71388
2020-08-11,11.7812
2020-08-12,14.86676
2020-08-13,12.06171
2020-08-14,11.07994
2020-08-15,7.71388
2020-08-16,7.01262
2020-08-17,8.69565
2020-08-18,8.97615
2020-08-19,7.85413
2020-08-20,11.07994
2020-08-21,8.69565
2020-08-22,5.75035
2020-08-23,10.37868
2020-08-24,11.36044
2020-08-25,9.67741
2020-08-26,11.07994
2020-08-27,10.37868
2020-08-28,6.87237
2020-08-29,6.31136
2020-08-30,11.7812
2020-08-31,9.25666
2020-09-01,9.67741
2020-09-02,10.09817
2020-09-03,9.81767
2020-09-04,6.87237
2020-09-05,5.32959
2020-09-06,7.71388
2020-09-07,10.65918
2020-09-08,8.8359
2020-09-09,6.45161
2020-09-10,7.85413
2020-09-11,7.01262
2020-09-12,7.29312
2020-09-13,6.59186
2020-09-14,8.13464
2020-09-15,7.71388
2020-09-16,7.15287
2020-09-17,8.13464
2020-09-18,7.01262
2020-09-19,9.53716
2020-09-20,14.446
2020-09-21,13.88499
2020-09-22,17.6718
2020-09-23,14.02524
2020-09-24,12.34221
2020-09-25,13.32398
2020-09-26,12.06171
2020-09-27,11.22019
2020-09-28,13.18373
2020-09-29,14.30575
2020-09-30,10.23842
2020-10-01,9.1164
2020-10-02,10.65918
2020-10-03,11.92145
2020-10-04,13.04347
2020-10-05,12.90322
2020-10-06,11.7812
2020-10-07,7.71388
2020-10-08,9.25666
2020-10-09,4.62833
2020-10-10,6.1711
2020-10-11,8.97615
2020-10-12,11.64095
2020-10-13,7.29312
2020-10-14,5.75035
2020-10-15,6.59186
2020-10-16,7.43338
2020-10-17,6.59186
2020-10-18,7.43338
2020-10-19,11.92145
2020-10-20,10.37868
2020-10-21,8.69565
2020-10-22,10.93969
2020-10-23,7.57363
2020-10-24,5.8906
2020-10-25,7.99438
2020-10-26,11.7812
2020-10-27,11.5007
2020-10-28,10.23842
2020-10-29,8.97615
2020-10-30,7.29312
2020-10-31,5.46984
2020-11-01,9.53716
2020-11-02,13.18373
2020-11-03,12.90322
2020-11-04,9.53716
2020-11-05,9.95792
2020-11-06,8.97615
2020-11-07,9.1164
2020-11-08,10.23842
2020-11-09,11.36044
2020-11-10,9.25666
2020-11-11,10.37868
2020-11-12,11.22019
2020-11-13,12.90322
2020-11-14,6.73211
2020-11-15,10.37868
2020-11-16,10.37868
2020-11-17,9.25666
2020-11-18,10.51893
2020-11-19,8.55539
2020-11-20,6.31136
2020-11-21,3.92706
2020-11-22,7.85413
2020-11-23,9.39691
2020-11-24,9.81767
2020-11-25,11.36044
2020-11-26,11.64095
2020-11-27,8.41514
2020-11-28,9.95792
2020-11-29,10.37868
2020-11-30,12.48246
2020-12-01,13.88499
2020-12-02,10.09817
2020-12-03,11.07994
2020-12-04,9.39691
2020-12-05,6.87237
2020-12-06,9.95792
