date,QQQ주가
2020-03-25,0.18903
2020-03-31,0.30245
2020-04-05,0.37807
2020-04-18,0.22684
2020-04-21,0.22684
2020-04-26,0.26465
2020-04-27,0.18903
2020-04-30,0.45368
2020-05-02,0.22684
2020-05-06,0.45368
2020-05-07,0.18903
2020-05-11,0.26465
2020-05-12,0.26465
2020-05-13,0.49149
2020-05-14,0.34026
2020-05-15,0.18903
2020-05-19,0.18903
2020-05-20,0.26465
2020-05-21,0.18903
2020-05-22,0.30245
2020-05-23,0.34026
2020-05-24,0.22684
2020-05-25,0.64272
2020-05-26,0.37807
2020-05-27,0.18903
2020-05-28,0.68052
2020-05-29,0.34026
2020-05-30,0.37807
2020-06-01,0.41587
2020-06-02,0.45368
2020-06-03,0.86956
2020-06-04,0.22684
2020-06-05,0.49149
2020-06-06,0.79395
2020-06-07,0.37807
2020-06-08,0.37807
2020-06-09,1.20982
2020-06-10,1.32325
2020-06-11,0.94517
2020-06-12,1.5879
2020-06-13,0.86956
2020-06-14,0.49149
2020-06-15,0.98298
2020-06-16,0.98298
2020-06-17,0.5293
2020-06-18,1.0586
2020-06-19,1.0964
2020-06-20,0.75614
2020-06-21,0.37807
2020-06-22,0.86956
2020-06-23,1.47448
2020-06-24,1.0586
2020-06-25,1.17202
2020-06-26,0.75614
2020-06-27,0.64272
2020-06-28,0.34026
2020-06-29,0.5293
2020-06-30,0.75614
2020-07-01,0.83175
2020-07-02,0.83175
2020-07-03,0.68052
2020-07-04,0.37807
2020-07-05,0.64272
2020-07-06,1.24763
2020-07-07,1.70132
2020-07-08,2.155
2020-07-09,1.92816
2020-07-10,1.66351
2020-07-11,1.47448
2020-07-12,0.86956
2020-07-13,1.66351
2020-07-14,1.92816
2020-07-15,2.57088
2020-07-16,1.47448
2020-07-17,1.96597
2020-07-18,0.5293
2020-07-19,0.30245
2020-07-20,0.71833
2020-07-21,1.13421
2020-07-22,1.20982
2020-07-23,1.13421
2020-07-24,1.0586
2020-07-25,0.37807
2020-07-26,0.49149
2020-07-27,1.0586
2020-07-28,0.68052
2020-07-29,0.86956
2020-07-30,1.32325
2020-07-31,0.94517
2020-08-01,0.68052
2020-08-03,0.60491
2020-08-04,1.70132
2020-08-05,1.0586
2020-08-06,1.17202
2020-08-07,2.19281
2020-08-08,1.92816
2020-08-09,0.79395
2020-08-10,1.28544
2020-08-11,2.72211
2020-08-12,3.7051
2020-08-13,3.28922
2020-08-14,3.13799
2020-08-15,1.85255
2020-08-16,1.02079
2020-08-17,2.19281
2020-08-18,4.19659
2020-08-19,4.95274
2020-08-20,4.65028
2020-08-21,6.57844
2020-08-22,4.80151
2020-08-23,4.27221
2020-08-24,5.86011
2020-08-25,7.06994
2020-08-26,7.03213
2020-08-27,9.07372
2020-08-28,9.90548
2020-08-29,5.97353
2020-08-30,3.10018
2020-08-31,5.02835
2020-09-01,10.39697
2020-09-02,9.52741
2020-09-03,10.20793
2020-09-04,11.00189
2020-09-05,7.03213
2020-09-06,2.19281
2020-09-07,3.89413
2020-09-08,8.9603
2020-09-09,14.10207
2020-09-10,11.34215
2020-09-11,11.94706
2020-09-12,8.16635
2020-09-13,3.78071
2020-09-14,7.18336
2020-09-15,12.1361
2020-09-16,10.69943
2020-09-17,9.14933
2020-09-18,10.28355
2020-09-19,9.4896
2020-09-20,3.7051
2020-09-21,6.80529
2020-09-22,12.6654
2020-09-23,10.24574
2020-09-24,12.06049
2020-09-25,10.69943
2020-09-26,6.99432
2020-09-27,3.10018
2020-09-28,6.20037
2020-09-29,11.79584
2020-09-30,10.51039
2020-10-01,8.84688
2020-10-02,9.22495
2020-10-03,9.67863
2020-10-04,5.33081
2020-10-05,8.9603
2020-10-06,13.34593
2020-10-07,11.79584
2020-10-08,12.55198
2020-10-09,11.83364
2020-10-10,10.13232
2020-10-11,5.21739
2020-10-12,11.41776
2020-10-13,19.05482
