date,개인사업자정책자금
2020-03-23,0.10552
2020-03-24,0.56986
2020-03-25,0.48543
2020-03-26,0.21105
2020-04-01,0.12663
2020-04-22,0.10552
2020-05-04,0.10552
2020-05-11,0.10552
2020-05-12,0.10552
2020-05-27,0.14774
2020-06-10,0.10552
2020-06-17,0.10552
2020-07-17,0.10552
2020-07-21,0.10552
2020-07-23,0.10552
2020-07-27,0.12663
2020-08-03,0.10552
2020-08-10,0.10552
2020-08-31,0.21105
2020-12-03,0.12663
2020-12-07,0.12663
2021-01-20,0.12663
2021-01-21,0.10552
2021-02-16,0.10552
2021-03-03,0.10552
2021-05-19,0.10552
2021-05-20,0.10552
2021-07-14,0.12663
2021-08-05,0.10552
2021-08-09,0.10552
2021-08-12,0.10552
2021-08-20,0.10552
2021-10-28,0.10552
2021-12-22,0.14774
2021-12-31,0.16884
2022-01-06,0.12663
2022-01-11,0.42211
2022-01-12,0.27437
2022-01-13,0.25327
2022-01-20,0.16884
2022-01-27,0.10552
2022-03-28,0.10552
2022-05-26,0.10552
2022-06-12,0.10552
2022-06-14,0.10552
2022-06-26,0.10552
2022-06-29,0.10552
2022-07-04,0.10552
2022-07-06,0.12663
2022-07-08,0.16884
2022-07-20,0.10552
2022-07-25,0.12663
2022-07-27,0.16884
2022-09-07,0.21105
2022-09-15,0.14774
2022-09-20,0.10552
2022-10-07,0.12663
2022-11-17,0.10552
2022-12-06,0.16884
2022-12-07,0.12663
2022-12-08,0.14774
2022-12-12,0.16884
2022-12-15,0.14774
2022-12-23,0.10552
2022-12-29,0.10552
2022-12-30,0.16884
2023-01-02,0.10552
2023-01-04,0.25327
2023-01-06,0.23216
2023-01-08,0.14774
2023-01-09,0.14774
2023-01-10,0.14774
2023-01-11,0.33769
2023-01-12,0.23216
2023-01-13,0.14774
2023-01-16,0.27437
2023-01-17,0.27437
2023-01-18,0.14774
2023-01-19,0.12663
2023-01-21,0.10552
2023-01-25,0.27437
2023-01-26,0.23216
2023-01-30,0.16884
2023-01-31,0.12663
2023-02-01,0.3799
2023-02-02,0.59096
2023-02-03,0.82313
2023-02-04,0.29548
2023-02-05,0.16884
2023-02-06,0.52764
2023-02-07,0.69649
2023-02-08,0.82313
2023-02-09,0.94976
2023-02-10,0.14774
2023-02-11,0.31658
2023-02-12,0.16884
2023-02-13,0.3588
2023-02-14,0.7176
2023-02-15,0.56986
2023-02-16,0.56986
2023-02-17,0.61207
2023-02-18,0.29548
2023-02-19,0.33769
2023-02-20,0.84423
2023-02-21,0.69649
2023-02-22,0.90755
2023-02-23,0.90755
2023-02-24,0.61207
2023-02-25,0.44322
2023-02-26,0.25327
2023-02-27,0.56986
2023-02-28,0.40101
2023-03-01,0.46433
2023-03-02,0.42211
2023-03-03,0.50654
2023-03-04,0.18995
2023-03-05,0.21105
2023-03-06,0.67539
2023-03-07,0.29548
2023-03-08,0.29548
2023-03-09,0.46433
2023-03-10,0.3799
2023-03-11,0.31658
2023-03-12,0.33769
2023-03-13,0.59096
2023-03-14,0.44322
2023-03-15,0.75981
2023-03-16,0.61207
2023-03-17,0.40101
2023-03-18,0.33769
2023-03-19,0.42211
2023-03-20,1.49852
2023-03-21,0.54875
2023-03-22,0.33769
2023-03-23,0.59096
2023-03-24,0.3799
2023-03-25,0.40101
2023-03-26,0.29548
2023-03-27,0.69649
2023-03-28,0.3588
2023-03-29,0.3799
2023-03-30,0.61207
2023-03-31,0.52764
2023-04-01,0.29548
